echinops_telfairi ENSETEG00000016694
loxodonta_africana ENSLAFG00000025562
cavia_porcellus ENSCPOG00000008148
cavia_aperea ENSCAPG00000006101
chinchilla_lanigera ENSCLAG00000005687
octodon_degus ENSODEG00000010692
heterocephalus_glaber_male ENSHGLG00100002216
heterocephalus_glaber_female ENSHGLG00000005309
mus_musculus ENSMUSG00000039193
mus_spicilegus ENSMSIG00000023326
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0022789
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0021877
mus_pahari MGP_PahariEiJ_G0020864
rattus_norvegicus ENSRNOG00000005810
meriones_unguiculatus ENSMUGG00000000822
cricetulus_griseus_crigri-picr ENSCGRG00015020436
cricetulus_griseus_crigri ENSCGRG00000002924
cricetulus_griseus_chok1gshd ENSCGRG00001015608
mesocricetus_auratus ENSMAUG00000015158
microtus_ochrogaster ENSMOCG00000018697
peromyscus_maniculatus_bairdii ENSPEMG00000021965
nannospalax_galili ENSNGAG00000000382
otolemur_garnettii ENSOGAG00000010216
equus_asinus_asinus ENSEASG00005008325
equus_caballus ENSECAG00000019830
panthera_tigris_altaica ENSPTIG00000010809
panthera_pardus ENSPPRG00000002475
felis_catus ENSFCAG00000005995
bos_taurus ENSBTAG00000008223
bos_mutus ENSBMUG00000018499
bison_bison_bison ENSBBBG00000018278
ovis_aries ENSOARG00000010638
capra_hircus ENSCHIG00000012340
tursiops_truncatus ENSTTRG00000000540
sus_scrofa ENSSSCG00000026213
vicugna_pacos ENSVPAG00000004952
myotis_lucifugus ENSMLUG00000016643
pteropus_vampyrus ENSPVAG00000014388
dipodomys_ordii ENSDORG00000010094
castor_canadensis ENSCCNG00000025603
spermophilus_dauricus ENSSDAG00000002516
marmota_marmota_marmota ENSMMMG00000018816
urocitellus_parryii ENSUPAG00010001525
ictidomys_tridecemlineatus ENSSTOG00000026976
carlito_syrichta ENSTSYG00000037242
sorex_araneus ENSSARG00000004715
mustela_putorius_furo ENSMPUG00000005233
ailuropoda_melanoleuca ENSAMEG00000007643
pan_paniscus ENSPPAG00000037512
pan_troglodytes ENSPTRG00000011816
homo_sapiens ENSG00000091106
gorilla_gorilla ENSGGOG00000002746
pongo_abelii ENSPPYG00000012506
nomascus_leucogenys ENSNLEG00000015720
macaca_mulatta ENSMMUG00000021754
macaca_fascicularis ENSMFAG00000038409
macaca_nemestrina ENSMNEG00000028339
mandrillus_leucophaeus ENSMLEG00000030297
cercocebus_atys ENSCATG00000044664
theropithecus_gelada ENSTGEG00000025928
papio_anubis ENSPANG00000009690
chlorocebus_sabaeus ENSCSAG00000011541
rhinopithecus_bieti ENSRBIG00000007965
rhinopithecus_roxellana ENSRROG00000033699
colobus_angolensis_palliatus ENSCANG00000043851
piliocolobus_tephrosceles ENSPTEG00000011983
oryctolagus_cuniculus ENSOCUG00000024277
calidris_pygmaea ENSCPGG00000000175
calidris_pugnax ENSCPUG00000002602
crocodylus_porosus ENSCPRG00005013358
anolis_carolinensis ENSACAG00000008534
notechis_scutatus ENSNSUG00000008514
xenopus_tropicalis ENSXETG00000018490
latimeria_chalumnae ENSLACG00000012551
lepisosteus_oculatus ENSLOCG00000016573
calidris_pugnax ENSCPUG00000008502
calidris_pygmaea ENSCPGG00000011814
anas_platyrhynchos_platyrhynchos ENSAPLG00000015074
manacus_vitellinus ENSMVIG00005018024
lepidothrix_coronata ENSLCOG00000006923
taeniopygia_guttata ENSTGUG00000013806
taeniopygia_guttata ENSTGUG00000010697
lonchura_striata_domestica ENSLSDG00000001133
serinus_canaria ENSSCAG00000003138
junco_hyemalis ENSJHYG00000007859
zonotrichia_albicollis ENSZALG00000013514
ficedula_albicollis ENSFALG00000004327
cyanistes_caeruleus ENSCCEG00000014189
parus_major ENSPMJG00000000562
gallus_gallus ENSGALG00000037678
meleagris_gallopavo ENSMGAG00000006729
dromaius_novaehollandiae ENSDNVG00000002785
nothoprocta_perdicaria ENSNPEG00000006719
crocodylus_porosus ENSCPRG00005009886
chelonoidis_abingdonii ENSCABG00000007435
gopherus_agassizii ENSGAGG00000007959
chrysemys_picta_bellii ENSCPBG00000021857
pelodiscus_sinensis ENSPSIG00000013666
pogona_vitticeps ENSPVIG00000006955
anolis_carolinensis ENSACAG00000029198
xenopus_tropicalis ENSXETG00000004294
monopterus_albus ENSMALG00000015550
mastacembelus_armatus ENSMAMG00000006191
gasterosteus_aculeatus ENSGACG00000008954
pundamilia_nyererei ENSPNYG00000020164
haplochromis_burtoni ENSHBUG00000004010
maylandia_zebra ENSMZEG00005027221
astatotilapia_calliptera ENSACLG00000005142
oreochromis_niloticus ENSONIG00000012106
neolamprologus_brichardi ENSNBRG00000016281
amphilophus_citrinellus ENSACIG00000022871
poecilia_formosa ENSPFOG00000008790
poecilia_latipinna ENSPLAG00000020147
poecilia_mexicana ENSPMEG00000010225
poecilia_reticulata ENSPREG00000021398
xiphophorus_couchianus ENSXCOG00000006860
xiphophorus_maculatus ENSXMAG00000023757
cyprinodon_variegatus ENSCVAG00000000571
oryzias_latipes_asm223469v1 ENSORLG00015001098
oryzias_latipes ENSORLG00020008136
oryzias_latipes ENSORLG00000027336
oryzias_melastigma ENSOMEG00000017843
seriola_dumerili ENSSDUG00000012272
seriola_lalandi_dorsalis ENSSLDG00000006395
scophthalmus_maximus ENSSMAG00000002379
anabas_testudineus ENSATEG00000021946
takifugu_rubripes ENSTRUG00000023078
tetraodon_nigroviridis ENSTNIG00000015079
mola_mola ENSMMOG00000006773
labrus_bergylta ENSLBEG00000007810
amphiprion_ocellaris ENSAOCG00000021234
amphiprion_percula ENSAPEG00000002074
acanthochromis_polyacanthus ENSAPOG00000004694
stegastes_partitus ENSSPAG00000006905
kryptolebias_marmoratus ENSKMAG00000004735
periophthalmus_magnuspinnatus ENSPMGG00000000530
hippocampus_comes ENSHCOG00000000839
esox_lucius ENSELUG00000009218
astyanax_mexicanus ENSAMXG00000031614
pygocentrus_nattereri ENSPNAG00000023585
ictalurus_punctatus ENSIPUG00000008876
danio_rerio ENSDARG00000055655
scleropages_formosus ENSSFOG00015004219
