paramormyrops_kingsleyae ENSPKIG00000012556
scleropages_formosus ENSSFOG00015003570
hippocampus_comes ENSHCOG00000011793
periophthalmus_magnuspinnatus ENSPMGG00000016896
tetraodon_nigroviridis ENSTNIG00000007985
takifugu_rubripes ENSTRUG00000005848
cynoglossus_semilaevis ENSCSEG00000021497
gasterosteus_aculeatus ENSGACG00000017549
kryptolebias_marmoratus ENSKMAG00000021503
scophthalmus_maximus ENSSMAG00000005226
acanthochromis_polyacanthus ENSAPOG00000020858
stegastes_partitus ENSSPAG00000009631
xiphophorus_maculatus ENSXMAG00000006533
xiphophorus_couchianus ENSXCOG00000019937
gambusia_affinis ENSGAFG00000001772
poecilia_latipinna ENSPLAG00000018267
poecilia_mexicana ENSPMEG00000009612
poecilia_reticulata ENSPREG00000019488
poecilia_formosa ENSPFOG00000009610
fundulus_heteroclitus ENSFHEG00000019178
cyprinodon_variegatus ENSCVAG00000018747
oryzias_latipes_asm223469v1 ENSORLG00015021234
oryzias_latipes ENSORLG00020021426
oryzias_latipes ENSORLG00000005878
oryzias_melastigma ENSOMEG00000011969
haplochromis_burtoni ENSHBUG00000010359
pundamilia_nyererei ENSPNYG00000012925
maylandia_zebra ENSMZEG00005004106
neolamprologus_brichardi ENSNBRG00000011126
astatotilapia_calliptera ENSACLG00000000432
oreochromis_niloticus ENSONIG00000014886
amphilophus_citrinellus ENSACIG00000022042
monopterus_albus ENSMALG00000005122
anabas_testudineus ENSATEG00000012213
mola_mola ENSMMOG00000011434
labrus_bergylta ENSLBEG00000023002
mastacembelus_armatus ENSMAMG00000013136
seriola_lalandi_dorsalis ENSSLDG00000006457
seriola_dumerili ENSSDUG00000007079
gadus_morhua ENSGMOG00000011750
esox_lucius ENSELUG00000009056
pygocentrus_nattereri ENSPNAG00000021029
astyanax_mexicanus ENSAMXG00000032413
pygocentrus_nattereri ENSPNAG00000029183
astyanax_mexicanus ENSAMXG00000005208
ictalurus_punctatus ENSIPUG00000005871
danio_rerio ENSDARG00000012353
takifugu_rubripes ENSTRUG00000017701
tetraodon_nigroviridis ENSTNIG00000008704
gasterosteus_aculeatus ENSGACG00000001845
mola_mola ENSMMOG00000013442
labrus_bergylta ENSLBEG00000017856
monopterus_albus ENSMALG00000017957
mastacembelus_armatus ENSMAMG00000013010
anabas_testudineus ENSATEG00000020666
scophthalmus_maximus ENSSMAG00000011883
cynoglossus_semilaevis ENSCSEG00000001172
seriola_dumerili ENSSDUG00000002788
seriola_lalandi_dorsalis ENSSLDG00000002745
xiphophorus_maculatus ENSXMAG00000004624
xiphophorus_maculatus ENSXMAG00000021619
gambusia_affinis ENSGAFG00000016775
poecilia_formosa ENSPFOG00000002160
poecilia_latipinna ENSPLAG00000013188
poecilia_mexicana ENSPMEG00000008263
poecilia_reticulata ENSPREG00000022749
fundulus_heteroclitus ENSFHEG00000012963
cyprinodon_variegatus ENSCVAG00000014103
kryptolebias_marmoratus ENSKMAG00000021921
oryzias_latipes ENSORLG00020013212
oryzias_latipes ENSORLG00000019029
oryzias_latipes_asm223469v1 ENSORLG00015010224
oryzias_latipes_asm223469v1 ENSORLG00015010684
oryzias_melastigma ENSOMEG00000009026
astatotilapia_calliptera ENSACLG00000013466
pundamilia_nyererei ENSPNYG00000008270
maylandia_zebra ENSMZEG00005019876
haplochromis_burtoni ENSHBUG00000014472
neolamprologus_brichardi ENSNBRG00000003702
amphilophus_citrinellus ENSACIG00000012694
amphiprion_percula ENSAPEG00000008477
amphiprion_ocellaris ENSAOCG00000003706
acanthochromis_polyacanthus ENSAPOG00000006009
stegastes_partitus ENSSPAG00000017383
hippocampus_comes ENSHCOG00000008103
periophthalmus_magnuspinnatus ENSPMGG00000021275
gadus_morhua ENSGMOG00000000281
esox_lucius ENSELUG00000011832
lepisosteus_oculatus ENSLOCG00000012346
phascolarctos_cinereus ENSPCIG00000013491
notamacropus_eugenii ENSMEUG00000000529
sarcophilus_harrisii ENSSHAG00000014432
monodelphis_domestica ENSMODG00000005472
choloepus_hoffmanni ENSCHOG00000000064
dasypus_novemcinctus ENSDNOG00000047690
loxodonta_africana ENSLAFG00000003360
procavia_capensis ENSPCAG00000001813
