fundulus_heteroclitus ENSFHEG00000022034
cyprinodon_variegatus ENSCVAG00000003938
xiphophorus_maculatus ENSXMAG00000011346
xiphophorus_couchianus ENSXCOG00000000381
gambusia_affinis ENSGAFG00000007977
poecilia_mexicana ENSPMEG00000023262
poecilia_latipinna ENSPLAG00000017188
poecilia_formosa ENSPFOG00000003842
poecilia_reticulata ENSPREG00000008391
kryptolebias_marmoratus ENSKMAG00000013309
neolamprologus_brichardi ENSNBRG00000015405
periophthalmus_magnuspinnatus ENSPMGG00000006394
hippocampus_comes ENSHCOG00000008672
kryptolebias_marmoratus ENSKMAG00000020357
cyprinodon_variegatus ENSCVAG00000022593
oryzias_melastigma ENSOMEG00000015135
oryzias_latipes ENSORLG00000001854
labrus_bergylta ENSLBEG00000005023
takifugu_rubripes ENSTRUG00000019616
xiphophorus_couchianus ENSXCOG00000016851
amphilophus_citrinellus ENSACIG00000010716
poecilia_reticulata ENSPREG00000022203
mola_mola ENSMMOG00000019699
periophthalmus_magnuspinnatus ENSPMGG00000022640
seriola_lalandi_dorsalis ENSSLDG00000005553
gadus_morhua ENSGMOG00000019177
