echinops_telfairi ENSETEG00000019367
junco_hyemalis ENSJHYG00000008610
xenopus_tropicalis ENSXETG00000008121
propithecus_coquereli ENSPCOG00000026076
microcebus_murinus ENSMICG00000009563
prolemur_simus ENSPSMG00000018702
otolemur_garnettii ENSOGAG00000012589
pan_paniscus ENSPPAG00000038958
pan_troglodytes ENSPTRG00000010473
gorilla_gorilla ENSGGOG00000001935
homo_sapiens ENSG00000079999
pongo_abelii ENSPPYG00000009553
nomascus_leucogenys ENSNLEG00000012241
colobus_angolensis ENSCANG00000042310
piliocolobus_tephrosceles ENSPTEG00000033716
rhinopithecus_roxellana ENSRROG00000041020
rhinopithecus_bieti ENSRBIG00000033212
cercocebus_atys ENSCATG00000030706
mandrillus_leucophaeus ENSMLEG00000036747
macaca_mulatta ENSMMUG00000005218
macaca_fascicularis ENSMFAG00000044381
macaca_nemestrina ENSMNEG00000041263
theropithecus_gelada ENSTGEG00000024979
papio_anubis ENSPANG00000003566
chlorocebus_sabaeus ENSCSAG00000007107
callithrix_jacchus ENSCJAG00000006677
cebus_capucinus ENSCCAG00000028133
saimiri_boliviensis ENSSBOG00000026559
aotus_nancymaae ENSANAG00000023114
myotis_lucifugus ENSMLUG00000015137
pteropus_vampyrus ENSPVAG00000003694
sus_scrofa ENSSSCG00000023667
vicugna_pacos ENSVPAG00000004060
bos_indicus ENSBIXG00000028096
bos_indicus ENSBIXG00005026956
bos_taurus ENSBTAG00000003543
bos_mutus ENSBMUG00000013793
bison_bison ENSBBBG00000003432
ovis_aries ENSOARG00000016335
capra_hircus ENSCHIG00000012093
tursiops_truncatus ENSTTRG00000008011
ursus_americanus ENSUAMG00000018620
ursus_maritimus ENSUMAG00000025092
ailuropoda_melanoleuca ENSAMEG00000011445
neovison_vison ENSNVIG00000024081
mustela_putorius ENSMPUG00000006665
canis_lupus ENSCAFG00020024476
canis_lupus ENSCAFG00000017784
vulpes_vulpes ENSVVUG00000017341
panthera_pardus ENSPPRG00000023110
panthera_tigris ENSPTIG00000008038
felis_catus ENSFCAG00000012518
loxodonta_africana ENSLAFG00000017907
procavia_capensis ENSPCAG00000014140
choloepus_hoffmanni ENSCHOG00000009196
ictidomys_tridecemlineatus ENSSTOG00000010114
urocitellus_parryii ENSUPAG00010001991
spermophilus_dauricus ENSSDAG00000005751
