neovison_vison ENSNVIG00000024231
canis_lupus ENSCAFG00020001642
panthera_tigris ENSPTIG00000010271
panthera_pardus ENSPPRG00000002606
equus_caballus ENSECAG00000031558
ovis_aries ENSOARG00000010672
capra_hircus ENSCHIG00000012228
bos_indicus ENSBIXG00005020558
bos_indicus ENSBIXG00000005704
bos_taurus ENSBTAG00000054194
bos_mutus ENSBMUG00000012310
bison_bison ENSBBBG00000022793
tursiops_truncatus ENSTTRG00000003556
vicugna_pacos ENSVPAG00000010725
homo_sapiens ENSG00000198574
pan_troglodytes ENSPTRG00000024320
gorilla_gorilla ENSGGOG00000014121
pongo_abelii ENSPPYG00000000584
nomascus_leucogenys ENSNLEG00000032972
rhinopithecus_bieti ENSRBIG00000037629
rhinopithecus_roxellana ENSRROG00000027314
piliocolobus_tephrosceles ENSPTEG00000024815
colobus_angolensis ENSCANG00000037392
theropithecus_gelada ENSTGEG00000009087
papio_anubis ENSPANG00000015265
chlorocebus_sabaeus ENSCSAG00000002739
cercocebus_atys ENSCATG00000030003
macaca_nemestrina ENSMNEG00000038294
macaca_fascicularis ENSMFAG00000040797
macaca_mulatta ENSMMUG00000008511
mandrillus_leucophaeus ENSMLEG00000037190
saimiri_boliviensis ENSSBOG00000023916
cebus_capucinus ENSCCAG00000037866
aotus_nancymaae ENSANAG00000001807
carlito_syrichta ENSTSYG00000007905
propithecus_coquereli ENSPCOG00000000648
microcebus_murinus ENSMICG00000000048
prolemur_simus ENSPSMG00000003675
mus_spicilegus ENSMSIG00000012861
mus_caroli MGP_CAROLIEiJ_G0014839
mus_musculus ENSMUSG00000102418
mus_pahari MGP_PahariEiJ_G0028076
rattus_norvegicus ENSRNOG00000031599
mus_musculus ENSMUSG00000073494
mus_spicilegus ENSMSIG00000012848
mus_caroli MGP_CAROLIEiJ_G0014838
mus_pahari MGP_PahariEiJ_G0028075
rattus_norvegicus ENSRNOG00000038432
meriones_unguiculatus ENSMUGG00000010030
cricetulus_griseus ENSCGRG00000001306
cricetulus_griseus ENSCGRG00015006830
chinchilla_lanigera ENSCLAG00000005824
castor_canadensis ENSCCNG00000007302
urocitellus_parryii ENSUPAG00010006548
spermophilus_dauricus ENSSDAG00000011790
marmota_marmota ENSMMMG00000021878
choloepus_hoffmanni ENSCHOG00000012135
echinops_telfairi ENSETEG00000002158
