panthera_pardus ENSPPRG00000012280
ailuropoda_melanoleuca ENSAMEG00000011364
nannospalax_galili ENSNGAG00000016778
nannospalax_galili ENSNGAG00000005548
cavia_porcellus ENSCPOG00000034456
cavia_aperea ENSCAPG00000012998
octodon_degus ENSODEG00000019631
ictidomys_tridecemlineatus ENSSTOG00000000156
ochotona_princeps ENSOPRG00000004398
piliocolobus_tephrosceles ENSPTEG00000027045
theropithecus_gelada ENSTGEG00000017925
piliocolobus_tephrosceles ENSPTEG00000026954
loxodonta_africana ENSLAFG00000013745
