echinops_telfairi ENSETEG00000008001
ornithorhynchus_anatinus ENSOANG00000001039
ailuropoda_melanoleuca ENSAMEG00000018373
ursus_maritimus ENSUMAG00000023474
mustela_putorius_furo ENSMPUG00000002211
neovison_vison ENSNVIG00000001680
canis_lupus_familiaris ENSCAFG00000015943
canis_lupus_dingo ENSCAFG00020012669
vulpes_vulpes ENSVVUG00000000755
panthera_pardus ENSPPRG00000023644
panthera_tigris_altaica ENSPTIG00000018291
felis_catus ENSFCAG00000013524
pteropus_vampyrus ENSPVAG00000004099
myotis_lucifugus ENSMLUG00000006308
bos_mutus ENSBMUG00000008833
bos_taurus ENSBTAG00000005848
bison_bison_bison ENSBBBG00000001204
capra_hircus ENSCHIG00000014891
ovis_aries ENSOARG00000020893
tursiops_truncatus ENSTTRG00000008552
sus_scrofa ENSSSCG00000035798
vicugna_pacos ENSVPAG00000012394
equus_caballus ENSECAG00000012671
equus_asinus_asinus ENSEASG00005009792
microcebus_murinus ENSMICG00000017806
propithecus_coquereli ENSPCOG00000019280
prolemur_simus ENSPSMG00000014622
pan_troglodytes ENSPTRG00000007101
pan_paniscus ENSPPAG00000034279
gorilla_gorilla ENSGGOG00000026231
homo_sapiens ENSG00000166450
pongo_abelii ENSPPYG00000006500
nomascus_leucogenys ENSNLEG00000006624
piliocolobus_tephrosceles ENSPTEG00000026507
colobus_angolensis_palliatus ENSCANG00000013487
rhinopithecus_roxellana ENSRROG00000027887
rhinopithecus_bieti ENSRBIG00000016104
macaca_fascicularis ENSMFAG00000038722
macaca_mulatta ENSMMUG00000003653
macaca_nemestrina ENSMNEG00000043514
cercocebus_atys ENSCATG00000035941
papio_anubis ENSPANG00000017295
theropithecus_gelada ENSTGEG00000017044
mandrillus_leucophaeus ENSMLEG00000039567
cebus_capucinus ENSCCAG00000023400
saimiri_boliviensis_boliviensis ENSSBOG00000023518
callithrix_jacchus ENSCJAG00000002222
aotus_nancymaae ENSANAG00000026849
carlito_syrichta ENSTSYG00000001957
urocitellus_parryii ENSUPAG00010003066
ictidomys_tridecemlineatus ENSSTOG00000009243
spermophilus_dauricus ENSSDAG00000007035
marmota_marmota_marmota ENSMMMG00000015217
microcebus_murinus ENSMICG00000045671
otolemur_garnettii ENSOGAG00000005449
heterocephalus_glaber_female ENSHGLG00000009677
heterocephalus_glaber_male ENSHGLG00100007291
fukomys_damarensis ENSFDAG00000012185
chinchilla_lanigera ENSCLAG00000009566
octodon_degus ENSODEG00000006148
cavia_porcellus ENSCPOG00000001715
cavia_aperea ENSCAPG00000013314
castor_canadensis ENSCCNG00000027823
cricetulus_griseus_chok1gshd ENSCGRG00001019030
cricetulus_griseus_crigri-picr ENSCGRG00015015938
cricetulus_griseus_crigri ENSCGRG00000015015
mesocricetus_auratus ENSMAUG00000021146
microtus_ochrogaster ENSMOCG00000021980
peromyscus_maniculatus_bairdii ENSPEMG00000021228
mus_spicilegus ENSMSIG00000030011
mus_musculus ENSMUSG00000036030
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0033559
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0032421
mus_pahari MGP_PahariEiJ_G0015285
rattus_norvegicus ENSRNOG00000055251
meriones_unguiculatus ENSMUGG00000012479
nannospalax_galili ENSNGAG00000016273
dipodomys_ordii ENSDORG00000012398
ursus_americanus ENSUAMG00000005832
erinaceus_europaeus ENSEEUG00000005096
oryctolagus_cuniculus ENSOCUG00000027152
ochotona_princeps ENSOPRG00000014340
jaculus_jaculus ENSJJAG00000011718
procavia_capensis ENSPCAG00000003666
chlorocebus_sabaeus ENSCSAG00000011752
loxodonta_africana ENSLAFG00000016070
tupaia_belangeri ENSTBEG00000010820
dasypus_novemcinctus ENSDNOG00000017361
choloepus_hoffmanni ENSCHOG00000013923
chelonoidis_abingdonii ENSCABG00000016547
gopherus_agassizii ENSGAGG00000013104
chrysemys_picta_bellii ENSCPBG00000004188
pelodiscus_sinensis ENSPSIG00000017154
dromaius_novaehollandiae ENSDNVG00000018629
pogona_vitticeps ENSPVIG00000019343
anolis_carolinensis ENSACAG00000007452
notechis_scutatus ENSNSUG00000013408
salvator_merianae ENSSMRG00000004720
sphenodon_punctatus ENSSPUG00000004500
manacus_vitellinus ENSMVIG00005016261
lepidothrix_coronata ENSLCOG00000005014
parus_major ENSPMJG00000018469
cyanistes_caeruleus ENSCCEG00000019896
lonchura_striata_domestica ENSLSDG00000014350
taeniopygia_guttata ENSTGUG00000006429
