ursus_maritimus ENSUMAG00000019117
ursus_americanus ENSUAMG00000025922
ailuropoda_melanoleuca ENSAMEG00000005388
neovison_vison ENSNVIG00000014862
mustela_putorius_furo ENSMPUG00000001108
canis_lupus_familiaris ENSCAFG00000011163
canis_lupus_dingo ENSCAFG00020001661
vulpes_vulpes ENSVVUG00000007771
panthera_pardus ENSPPRG00000001145
panthera_tigris_altaica ENSPTIG00000005273
felis_catus ENSFCAG00000012369
myotis_lucifugus ENSMLUG00000016864
equus_asinus_asinus ENSEASG00005018721
equus_caballus ENSECAG00000015651
sus_scrofa ENSSSCG00000025086
sus_scrofa ENSSSCG00000035522
vicugna_pacos ENSVPAG00000009293
pan_troglodytes ENSPTRG00000021631
pan_paniscus ENSPPAG00000039779
gorilla_gorilla ENSGGOG00000015466
homo_sapiens ENSG00000062096
pongo_abelii ENSPPYG00000020096
nomascus_leucogenys ENSNLEG00000008517
theropithecus_gelada ENSTGEG00000012714
papio_anubis ENSPANG00000001629
mandrillus_leucophaeus ENSMLEG00000033547
macaca_mulatta ENSMMUG00000000443
macaca_fascicularis ENSMFAG00000038297
macaca_nemestrina ENSMNEG00000041423
cercocebus_atys ENSCATG00000037426
chlorocebus_sabaeus ENSCSAG00000015554
rhinopithecus_bieti ENSRBIG00000032370
rhinopithecus_roxellana ENSRROG00000039053
colobus_angolensis_palliatus ENSCANG00000030287
cebus_capucinus ENSCCAG00000025353
callithrix_jacchus ENSCJAG00000015810
aotus_nancymaae ENSANAG00000033998
saimiri_boliviensis_boliviensis ENSSBOG00000033504
otolemur_garnettii ENSOGAG00000014227
tupaia_belangeri ENSTBEG00000010408
choloepus_hoffmanni ENSCHOG00000014011
loxodonta_africana ENSLAFG00000026223
procavia_capensis ENSPCAG00000005476
phascolarctos_cinereus ENSPCIG00000003366
notamacropus_eugenii ENSMEUG00000007101
sarcophilus_harrisii ENSSHAG00000007607
monodelphis_domestica ENSMODG00000025479
