cavia_porcellus ENSCPOG00000036159
cavia_aperea ENSCAPG00000011662
octodon_degus ENSODEG00000014576
chinchilla_lanigera ENSCLAG00000014434
fukomys_damarensis ENSFDAG00000006267
heterocephalus_glaber_female ENSHGLG00000004169
mus_spicilegus ENSMSIG00000005729
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0015769
mus_musculus ENSMUSG00000087236
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0014970
mus_pahari MGP_PahariEiJ_G0028201
rattus_norvegicus ENSRNOG00000050602
meriones_unguiculatus ENSMUGG00000005203
meriones_unguiculatus ENSMUGG00000004903
cricetulus_griseus_chok1gshd ENSCGRG00001022967
cricetulus_griseus_crigri ENSCGRG00000013495
cricetulus_griseus_crigri-picr ENSCGRG00015013311
mesocricetus_auratus ENSMAUG00000011576
microtus_ochrogaster ENSMOCG00000022053
peromyscus_maniculatus_bairdii ENSPEMG00000014020
nannospalax_galili ENSNGAG00000013723
jaculus_jaculus ENSJJAG00000009428
spermophilus_dauricus ENSSDAG00000011119
ictidomys_tridecemlineatus ENSSTOG00000021998
macaca_mulatta ENSMMUG00000009100
theropithecus_gelada ENSTGEG00000018443
bos_mutus ENSBMUG00000010228
bos_taurus ENSBTAG00000049714
bison_bison_bison ENSBBBG00000002173
capra_hircus ENSCHIG00000011366
sus_scrofa ENSSSCG00000034481
mustela_putorius_furo ENSMPUG00000015819
mustela_putorius_furo ENSMPUG00000015817
mustela_putorius_furo ENSMPUG00000015818
ursus_maritimus ENSUMAG00000013333
canis_lupus_familiaris ENSCAFG00000032742
panthera_tigris_altaica ENSPTIG00000002516
panthera_pardus ENSPPRG00000009605
felis_catus ENSFCAG00000024485
equus_caballus ENSECAG00000038309
dasypus_novemcinctus ENSDNOG00000049576
monodelphis_domestica ENSMODG00000024676
sarcophilus_harrisii ENSSHAG00000008717
ornithorhynchus_anatinus ENSOANG00000010243
apteryx_owenii ENSAOWG00000004169
apteryx_haastii ENSAHAG00000016582
apteryx_rowi ENSARWG00000000786
chelonoidis_abingdonii ENSCABG00000019102
gopherus_agassizii ENSGAGG00000015161
chrysemys_picta_bellii ENSCPBG00000016985
dromaius_novaehollandiae ENSDNVG00000006768
nothoprocta_perdicaria ENSNPEG00000001573
numida_meleagris ENSNMEG00000000894
notechis_scutatus ENSNSUG00000016670
prolemur_simus ENSPSMG00000006664
phascolarctos_cinereus ENSPCIG00000003346
gallus_gallus ENSGALG00000010635
coturnix_japonica ENSCJPG00005013800
meleagris_gallopavo ENSMGAG00000011388
anser_brachyrhynchus ENSABRG00000019135
pelodiscus_sinensis ENSPSIG00000005576
crocodylus_porosus ENSCPRG00005013782
sphenodon_punctatus ENSSPUG00000011711
pogona_vitticeps ENSPVIG00000023272
latimeria_chalumnae ENSLACG00000017202
danio_rerio ENSDARG00000076687
danio_rerio ENSDARG00000091585
pygocentrus_nattereri ENSPNAG00000016808
astyanax_mexicanus ENSAMXG00000035199
ictalurus_punctatus ENSIPUG00000015815
amphiprion_ocellaris ENSAOCG00000019364
amphiprion_percula ENSAPEG00000003759
acanthochromis_polyacanthus ENSAPOG00000023963
oreochromis_niloticus ENSONIG00000017138
poecilia_mexicana ENSPMEG00000012327
poecilia_formosa ENSPFOG00000016514
poecilia_latipinna ENSPLAG00000000646
poecilia_reticulata ENSPREG00000011136
xiphophorus_maculatus ENSXMAG00000005546
gambusia_affinis ENSGAFG00000008651
fundulus_heteroclitus ENSFHEG00000019389
kryptolebias_marmoratus ENSKMAG00000019502
tetraodon_nigroviridis ENSTNIG00000017707
cynoglossus_semilaevis ENSCSEG00000008379
seriola_lalandi_dorsalis ENSSLDG00000024672
seriola_dumerili ENSSDUG00000001952
astatotilapia_calliptera ENSACLG00000010976
haplochromis_burtoni ENSHBUG00000019398
pundamilia_nyererei ENSPNYG00000017834
neolamprologus_brichardi ENSNBRG00000002754
amphilophus_citrinellus ENSACIG00000005934
oryzias_latipes ENSORLG00000026130
oryzias_latipes ENSORLG00020003899
oryzias_latipes_asm223469v1 ENSORLG00015002141
oryzias_melastigma ENSOMEG00000004905
scophthalmus_maximus ENSSMAG00000005611
hippocampus_comes ENSHCOG00000018271
monopterus_albus ENSMALG00000007454
mastacembelus_armatus ENSMAMG00000020609
anabas_testudineus ENSATEG00000020040
gasterosteus_aculeatus ENSGACG00000016247
takifugu_rubripes ENSTRUG00000021597
labrus_bergylta ENSLBEG00000004207
gadus_morhua ENSGMOG00000010428
esox_lucius ENSELUG00000002061
paramormyrops_kingsleyae ENSPKIG00000007191
scleropages_formosus ENSSFOG00015019185
lepisosteus_oculatus ENSLOCG00000016637
caenorhabditis_elegans_strain_n2 WBGene00006874
