crocodylus_porosus ENSCPRG00005005130
gopherus_agassizii ENSGAGG00000016043
theropithecus_gelada ENSTGEG00000015397
theropithecus_gelada ENSTGEG00000015368
mandrillus_leucophaeus ENSMLEG00000027779
macaca_fascicularis ENSMFAG00000032436
piliocolobus_tephrosceles ENSPTEG00000008320
piliocolobus_tephrosceles ENSPTEG00000008271
piliocolobus_tephrosceles ENSPTEG00000008665
piliocolobus_tephrosceles ENSPTEG00000008620
prolemur_simus ENSPSMG00000003157
panthera_tigris_altaica ENSPTIG00000013267
canis_lupus_dingo ENSCAFG00020016898
