anas_platyrhynchos_platyrhynchos ENSAPLG00000017483
anser_brachyrhynchus ENSABRG00000011838
meleagris_gallopavo ENSMGAG00000012747
coturnix_japonica ENSCJPG00005011894
gallus_gallus ENSGALG00000026431
taeniopygia_guttata ENSTGUG00000015889
lonchura_striata_domestica ENSLSDG00000013324
serinus_canaria ENSSCAG00000007597
parus_major ENSPMJG00000019083
cyanistes_caeruleus ENSCCEG00000002793
lepidothrix_coronata ENSLCOG00000010174
ficedula_albicollis ENSFALG00000006319
junco_hyemalis ENSJHYG00000006646
calidris_pygmaea ENSCPGG00000010230
calidris_pugnax ENSCPUG00000020013
apteryx_rowi ENSARWG00000014142
apteryx_owenii ENSAOWG00000007655
crocodylus_porosus ENSCPRG00005015589
gopherus_agassizii ENSGAGG00000019047
chelonoidis_abingdonii ENSCABG00000008335
chrysemys_picta_bellii ENSCPBG00000012982
pogona_vitticeps ENSPVIG00000017511
anolis_carolinensis ENSACAG00000017975
salvator_merianae ENSSMRG00000000704
ornithorhynchus_anatinus ENSOANG00000008693
ornithorhynchus_anatinus ENSOANG00000012642
chinchilla_lanigera ENSCLAG00000007089
octodon_degus ENSODEG00000010908
cavia_porcellus ENSCPOG00000007483
cavia_aperea ENSCAPG00000002982
heterocephalus_glaber_female ENSHGLG00000011159
heterocephalus_glaber_male ENSHGLG00100018450
fukomys_damarensis ENSFDAG00000009579
marmota_marmota_marmota ENSMMMG00000011696
spermophilus_dauricus ENSSDAG00000009576
urocitellus_parryii ENSUPAG00010022178
ictidomys_tridecemlineatus ENSSTOG00000029011
cricetulus_griseus_crigri ENSCGRG00000018360
cricetulus_griseus_chok1gshd ENSCGRG00001007027
cricetulus_griseus_crigri-picr ENSCGRG00015016136
mesocricetus_auratus ENSMAUG00000017320
microtus_ochrogaster ENSMOCG00000022144
peromyscus_maniculatus_bairdii ENSPEMG00000015854
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0017627
mus_spicilegus ENSMSIG00000011156
mus_musculus ENSMUSG00000000632
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0016784
mus_pahari MGP_PahariEiJ_G0017921
rattus_norvegicus ENSRNOG00000009350
meriones_unguiculatus ENSMUGG00000023480
nannospalax_galili ENSNGAG00000017680
jaculus_jaculus ENSJJAG00000019170
dipodomys_ordii ENSDORG00000001220
oryctolagus_cuniculus ENSOCUG00000015254
ochotona_princeps ENSOPRG00000014554
papio_anubis ENSPANG00000023373
theropithecus_gelada ENSTGEG00000009452
cercocebus_atys ENSCATG00000041098
mandrillus_leucophaeus ENSMLEG00000027746
macaca_fascicularis ENSMFAG00000038743
macaca_nemestrina ENSMNEG00000027543
macaca_mulatta ENSMMUG00000021557
chlorocebus_sabaeus ENSCSAG00000007067
piliocolobus_tephrosceles ENSPTEG00000031969
colobus_angolensis_palliatus ENSCANG00000036575
rhinopithecus_roxellana ENSRROG00000044778
rhinopithecus_bieti ENSRBIG00000033582
pan_troglodytes ENSPTRG00000008942
pan_paniscus ENSPPAG00000015343
homo_sapiens ENSG00000063015
gorilla_gorilla ENSGGOG00000012350
pongo_abelii ENSPPYG00000008117
nomascus_leucogenys ENSNLEG00000003213
cebus_capucinus ENSCCAG00000037681
saimiri_boliviensis_boliviensis ENSSBOG00000027912
callithrix_jacchus ENSCJAG00000013338
aotus_nancymaae ENSANAG00000033610
carlito_syrichta ENSTSYG00000035651
propithecus_coquereli ENSPCOG00000018382
prolemur_simus ENSPSMG00000025071
microcebus_murinus ENSMICG00000032547
otolemur_garnettii ENSOGAG00000007954
sorex_araneus ENSSARG00000011034
sorex_araneus ENSSARG00000007965
erinaceus_europaeus ENSEEUG00000014882
myotis_lucifugus ENSMLUG00000013522
tursiops_truncatus ENSTTRG00000004111
vicugna_pacos ENSVPAG00000006639
capra_hircus ENSCHIG00000010605
ovis_aries ENSOARG00000005328
bos_mutus ENSBMUG00000008271
bos_taurus ENSBTAG00000015979
bison_bison_bison ENSBBBG00000019382
sus_scrofa ENSSSCG00000035445
equus_caballus ENSECAG00000017142
equus_asinus_asinus ENSEASG00005009840
ursus_maritimus ENSUMAG00000011502
ursus_americanus ENSUAMG00000015071
ailuropoda_melanoleuca ENSAMEG00000004437
neovison_vison ENSNVIG00000016442
mustela_putorius_furo ENSMPUG00000014118
canis_lupus_familiaris ENSCAFG00000018854
canis_lupus_dingo ENSCAFG00020011667
vulpes_vulpes ENSVVUG00000017721
panthera_tigris_altaica ENSPTIG00000017956
panthera_pardus ENSPPRG00000020768
felis_catus ENSFCAG00000007044
dasypus_novemcinctus ENSDNOG00000000584
choloepus_hoffmanni ENSCHOG00000012923
pteropus_vampyrus ENSPVAG00000001800
tupaia_belangeri ENSTBEG00000002631
loxodonta_africana ENSLAFG00000013857
procavia_capensis ENSPCAG00000007600
echinops_telfairi ENSETEG00000004269
phascolarctos_cinereus ENSPCIG00000017962
notamacropus_eugenii ENSMEUG00000004264
sarcophilus_harrisii ENSSHAG00000015289
monodelphis_domestica ENSMODG00000019317
xenopus_tropicalis ENSXETG00000014343
takifugu_rubripes ENSTRUG00000000207
tetraodon_nigroviridis ENSTNIG00000003508
mola_mola ENSMMOG00000009709
labrus_bergylta ENSLBEG00000025291
maylandia_zebra ENSMZEG00005020389
astatotilapia_calliptera ENSACLG00000021962
haplochromis_burtoni ENSHBUG00000008589
pundamilia_nyererei ENSPNYG00000000853
neolamprologus_brichardi ENSNBRG00000006837
oreochromis_niloticus ENSONIG00000008319
amphilophus_citrinellus ENSACIG00000011628
kryptolebias_marmoratus ENSKMAG00000014845
amphiprion_percula ENSAPEG00000006514
amphiprion_ocellaris ENSAOCG00000000812
acanthochromis_polyacanthus ENSAPOG00000017585
stegastes_partitus ENSSPAG00000011327
gasterosteus_aculeatus ENSGACG00000013701
scophthalmus_maximus ENSSMAG00000015409
cynoglossus_semilaevis ENSCSEG00000004502
seriola_lalandi_dorsalis ENSSLDG00000002212
seriola_dumerili ENSSDUG00000019660
gadus_morhua ENSGMOG00000014007
esox_lucius ENSELUG00000016987
pygocentrus_nattereri ENSPNAG00000009752
astyanax_mexicanus ENSAMXG00000008924
ictalurus_punctatus ENSIPUG00000006059
danio_rerio ENSDARG00000079414
scleropages_formosus ENSSFOG00015012923
paramormyrops_kingsleyae ENSPKIG00000000994
takifugu_rubripes ENSTRUG00000010496
tetraodon_nigroviridis ENSTNIG00000010762
gasterosteus_aculeatus ENSGACG00000020306
cynoglossus_semilaevis ENSCSEG00000011612
mastacembelus_armatus ENSMAMG00000009882
monopterus_albus ENSMALG00000000473
anabas_testudineus ENSATEG00000009906
amphiprion_ocellaris ENSAOCG00000015065
amphiprion_percula ENSAPEG00000008069
acanthochromis_polyacanthus ENSAPOG00000009297
stegastes_partitus ENSSPAG00000000597
haplochromis_burtoni ENSHBUG00000020593
pundamilia_nyererei ENSPNYG00000018729
