latimeria_chalumnae ENSLACG00000006234
eptatretus_burgeri ENSEBUG00000016293
petromyzon_marinus ENSPMAG00000007171
eptatretus_burgeri ENSEBUG00000014548
astyanax_mexicanus ENSAMXG00000018596
pygocentrus_nattereri ENSPNAG00000026029
ictalurus_punctatus ENSIPUG00000010497
danio_rerio ENSDARG00000012833
esox_lucius ENSELUG00000017269
gadus_morhua ENSGMOG00000007098
scleropages_formosus ENSSFOG00015011551
paramormyrops_kingsleyae ENSPKIG00000009067
paramormyrops_kingsleyae ENSPKIG00000022881
scleropages_formosus ENSSFOG00015022318
ciona_savignyi ENSCSAVG00000007298
ciona_intestinalis ENSCING00000001109
