junco_hyemalis ENSJHYG00000001156
zonotrichia_albicollis ENSZALG00000014010
serinus_canaria ENSSCAG00000008857
taeniopygia_guttata ENSTGUG00000005586
lonchura_striata ENSLSDG00000016335
ficedula_albicollis ENSFALG00000014547
cyanistes_caeruleus ENSCCEG00000000684
parus_major ENSPMJG00000016473
lepidothrix_coronata ENSLCOG00000003494
manacus_vitellinus ENSMVIG00005011271
melopsittacus_undulatus ENSMUNG00000014162
calidris_pygmaea ENSCPGG00000007000
calidris_pugnax ENSCPUG00000018330
coturnix_japonica ENSCJPG00005014580
meleagris_gallopavo ENSMGAG00000001010
numida_meleagris ENSNMEG00000015340
anser_brachyrhynchus ENSABRG00000017205
apteryx_owenii ENSAOWG00000011511
apteryx_rowi ENSARWG00000002448
apteryx_haastii ENSAHAG00000017881
nothoprocta_perdicaria ENSNPEG00000002162
dromaius_novaehollandiae ENSDNVG00000000780
crocodylus_porosus ENSCPRG00005008987
gopherus_agassizii ENSGAGG00000023369
chelonoidis_abingdonii ENSCABG00000019480
chrysemys_picta ENSCPBG00000019163
pelodiscus_sinensis ENSPSIG00000001919
pogona_vitticeps ENSPVIG00000012725
notechis_scutatus ENSNSUG00000010905
salvator_merianae ENSSMRG00000021966
sarcophilus_harrisii ENSSHAG00000006254
xenopus_tropicalis ENSXETG00000007230
latimeria_chalumnae ENSLACG00000017445
erpetoichthys_calabaricus ENSECRG00000018422
erpetoichthys_calabaricus ENSECRG00000018441
lepisosteus_oculatus ENSLOCG00000017400
callorhinchus_milii ENSCMIG00000010420
