dromaius_novaehollandiae ENSDNVG00000015877
apteryx_rowi ENSARWG00000003179
calidris_pygmaea ENSCPGG00000006210
calidris_pugnax ENSCPUG00000005974
melopsittacus_undulatus ENSMUNG00000004714
lepidothrix_coronata ENSLCOG00000002006
manacus_vitellinus ENSMVIG00005012419
lonchura_striata ENSLSDG00000006861
serinus_canaria ENSSCAG00000014608
junco_hyemalis ENSJHYG00000009795
zonotrichia_albicollis ENSZALG00000018002
ficedula_albicollis ENSFALG00000004823
parus_major ENSPMJG00000010093
cyanistes_caeruleus ENSCCEG00000015101
gallus_gallus ENSGALG00000028638
meleagris_gallopavo ENSMGAG00000014095
coturnix_japonica ENSCJPG00005016718
numida_meleagris ENSNMEG00000016905
anas_platyrhynchos ENSAPLG00000027352
crocodylus_porosus ENSCPRG00005007828
