apteryx_owenii ENSAOWG00000013088
apteryx_haastii ENSAHAG00000011170
apteryx_rowi ENSARWG00000004967
dromaius_novaehollandiae ENSDNVG00000006114
nothoprocta_perdicaria ENSNPEG00000010843
calidris_pygmaea ENSCPGG00000009186
calidris_pugnax ENSCPUG00000017395
parus_major ENSPMJG00000008445
cyanistes_caeruleus ENSCCEG00000000324
ficedula_albicollis ENSFALG00000004396
lonchura_striata_domestica ENSLSDG00000011023
serinus_canaria ENSSCAG00000012632
junco_hyemalis ENSJHYG00000017658
manacus_vitellinus ENSMVIG00005008242
lepidothrix_coronata ENSLCOG00000007614
taeniopygia_guttata ENSTGUG00000003816
melopsittacus_undulatus ENSMUNG00000005003
anas_platyrhynchos_platyrhynchos ENSAPLG00000007383
anser_brachyrhynchus ENSABRG00000022863
coturnix_japonica ENSCJPG00005016881
meleagris_gallopavo ENSMGAG00000009497
gallus_gallus ENSGALG00000028895
numida_meleagris ENSNMEG00000021382
sphenodon_punctatus ENSSPUG00000003047
gopherus_agassizii ENSGAGG00000006834
chelonoidis_abingdonii ENSCABG00000017067
chrysemys_picta_bellii ENSCPBG00000021797
pelodiscus_sinensis ENSPSIG00000017703
crocodylus_porosus ENSCPRG00005002326
anolis_carolinensis ENSACAG00000001229
pogona_vitticeps ENSPVIG00000011432
notechis_scutatus ENSNSUG00000000194
salvator_merianae ENSSMRG00000014009
xenopus_tropicalis ENSXETG00000010322
latimeria_chalumnae ENSLACG00000003192
lepisosteus_oculatus ENSLOCG00000003380
lepisosteus_oculatus ENSLOCG00000003398
