rhinopithecus_roxellana ENSRROG00000034738
callithrix_jacchus ENSCJAG00000045273
carlito_syrichta ENSTSYG00000029340
fukomys_damarensis ENSFDAG00000005034
cavia_aperea ENSCAPG00000009473
octodon_degus ENSODEG00000003546
mesocricetus_auratus ENSMAUG00000009666
microtus_ochrogaster ENSMOCG00000013981
nannospalax_galili ENSNGAG00000000620
jaculus_jaculus ENSJJAG00000022956
ornithorhynchus_anatinus ENSOANG00000032277
sphenodon_punctatus ENSSPUG00000015458
monopterus_albus ENSMALG00000011524
periophthalmus_magnuspinnatus ENSPMGG00000001171
cynoglossus_semilaevis ENSCSEG00000014256
hippocampus_comes ENSHCOG00000017462
oryzias_latipes_asm223469v1 ENSORLG00015006744
oryzias_latipes ENSORLG00020018488
oryzias_melastigma ENSOMEG00000001394
xiphophorus_couchianus ENSXCOG00000001339
xiphophorus_maculatus ENSXMAG00000020894
labrus_bergylta ENSLBEG00000007575
amphilophus_citrinellus ENSACIG00000010411
esox_lucius ENSELUG00000002688
