pelodiscus_sinensis ENSPSIG00000003314
chelonoidis_abingdonii ENSCABG00000017978
parus_major ENSPMJG00000010472
manacus_vitellinus ENSMVIG00005014991
anolis_carolinensis ENSACAG00000002613
lonchura_striata_domestica ENSLSDG00000004960
taeniopygia_guttata ENSTGUG00000004821
junco_hyemalis ENSJHYG00000009372
zonotrichia_albicollis ENSZALG00000004628
ficedula_albicollis ENSFALG00000006740
lepidothrix_coronata ENSLCOG00000004177
calidris_pugnax ENSCPUG00000009816
anser_brachyrhynchus ENSABRG00000008034
anas_platyrhynchos_platyrhynchos ENSAPLG00000015125
gallus_gallus ENSGALG00000011419
coturnix_japonica ENSCJPG00005010633
numida_meleagris ENSNMEG00000018867
apteryx_owenii ENSAOWG00000001748
apteryx_haastii ENSAHAG00000011501
apteryx_rowi ENSARWG00000014860
nothoprocta_perdicaria ENSNPEG00000016201
dromaius_novaehollandiae ENSDNVG00000014093
crocodylus_porosus ENSCPRG00005006529
chrysemys_picta_bellii ENSCPBG00000027195
gopherus_agassizii ENSGAGG00000000928
phascolarctos_cinereus ENSPCIG00000014565
monodelphis_domestica ENSMODG00000019009
ornithorhynchus_anatinus ENSOANG00000008570
ornithorhynchus_anatinus ENSOANG00000031296
macaca_mulatta ENSMMUG00000008094
gorilla_gorilla ENSGGOG00000005916
homo_sapiens ENSG00000120875
pan_paniscus ENSPPAG00000036541
pan_troglodytes ENSPTRG00000020129
pongo_abelii ENSPPYG00000018482
nomascus_leucogenys ENSNLEG00000016740
rhinopithecus_roxellana ENSRROG00000022122
rhinopithecus_bieti ENSRBIG00000040063
piliocolobus_tephrosceles ENSPTEG00000031480
colobus_angolensis_palliatus ENSCANG00000031762
theropithecus_gelada ENSTGEG00000004666
papio_anubis ENSPANG00000016692
cercocebus_atys ENSCATG00000031537
mandrillus_leucophaeus ENSMLEG00000044011
macaca_fascicularis ENSMFAG00000003869
macaca_nemestrina ENSMNEG00000039817
chlorocebus_sabaeus ENSCSAG00000015851
cebus_capucinus ENSCCAG00000036753
saimiri_boliviensis_boliviensis ENSSBOG00000028520
callithrix_jacchus ENSCJAG00000038284
aotus_nancymaae ENSANAG00000021136
carlito_syrichta ENSTSYG00000014419
prolemur_simus ENSPSMG00000005503
microcebus_murinus ENSMICG00000006088
propithecus_coquereli ENSPCOG00000014789
otolemur_garnettii ENSOGAG00000028754
cavia_aperea ENSCAPG00000007458
cavia_porcellus ENSCPOG00000036262
octodon_degus ENSODEG00000005526
chinchilla_lanigera ENSCLAG00000002370
heterocephalus_glaber_male ENSHGLG00100011651
heterocephalus_glaber_female ENSHGLG00000003738
heterocephalus_glaber_male ENSHGLG00100008242
heterocephalus_glaber_female ENSHGLG00000005376
fukomys_damarensis ENSFDAG00000014885
cricetulus_griseus_crigri ENSCGRG00000015508
cricetulus_griseus_chok1gshd ENSCGRG00001022778
cricetulus_griseus_crigri-picr ENSCGRG00015024810
mesocricetus_auratus ENSMAUG00000018224
microtus_ochrogaster ENSMOCG00000017211
peromyscus_maniculatus_bairdii ENSPEMG00000025997
mus_musculus ENSMUSG00000031530
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0032092
mus_spicilegus ENSMSIG00000025661
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0030976
mus_pahari MGP_PahariEiJ_G0021444
rattus_norvegicus ENSRNOG00000011921
nannospalax_galili ENSNGAG00000000194
jaculus_jaculus ENSJJAG00000015845
ictidomys_tridecemlineatus ENSSTOG00000009708
marmota_marmota_marmota ENSMMMG00000008613
spermophilus_dauricus ENSSDAG00000015092
urocitellus_parryii ENSUPAG00010017014
castor_canadensis ENSCCNG00000022126
dipodomys_ordii ENSDORG00000030024
oryctolagus_cuniculus ENSOCUG00000003720
ochotona_princeps ENSOPRG00000008747
ursus_americanus ENSUAMG00000013131
ailuropoda_melanoleuca ENSAMEG00000006062
canis_lupus_dingo ENSCAFG00020000979
canis_lupus_familiaris ENSCAFG00000030240
vulpes_vulpes ENSVVUG00000019739
mustela_putorius_furo ENSMPUG00000011376
neovison_vison ENSNVIG00000006667
panthera_pardus ENSPPRG00000009209
panthera_tigris_altaica ENSPTIG00000020987
felis_catus ENSFCAG00000028649
capra_hircus ENSCHIG00000011289
ovis_aries ENSOARG00000010272
bos_mutus ENSBMUG00000007856
bos_taurus ENSBTAG00000044208
bison_bison_bison ENSBBBG00000007057
erinaceus_europaeus ENSEEUG00000004051
myotis_lucifugus ENSMLUG00000007291
sorex_araneus ENSSARG00000014002
sus_scrofa ENSSSCG00000015850
equus_asinus_asinus ENSEASG00005016971
equus_caballus ENSECAG00000004592
loxodonta_africana ENSLAFG00000012618
choloepus_hoffmanni ENSCHOG00000009775
echinops_telfairi ENSETEG00000008609
procavia_capensis ENSPCAG00000016971
vicugna_pacos ENSVPAG00000006702
dasypus_novemcinctus ENSDNOG00000010346
serinus_canaria ENSSCAG00000012277
cyanistes_caeruleus ENSCCEG00000011935
manacus_vitellinus ENSMVIG00005014993
melopsittacus_undulatus ENSMUNG00000010829
calidris_pygmaea ENSCPGG00000004065
meleagris_gallopavo ENSMGAG00000008806
pogona_vitticeps ENSPVIG00000008176
notechis_scutatus ENSNSUG00000015203
salvator_merianae ENSSMRG00000005951
sphenodon_punctatus ENSSPUG00000004425
xenopus_tropicalis ENSXETG00000008156
pygocentrus_nattereri ENSPNAG00000010055
astyanax_mexicanus ENSAMXG00000003615
ictalurus_punctatus ENSIPUG00000004498
danio_rerio ENSDARG00000044688
esox_lucius ENSELUG00000002163
paramormyrops_kingsleyae ENSPKIG00000021994
scleropages_formosus ENSSFOG00015019120
lepisosteus_oculatus ENSLOCG00000012199
periophthalmus_magnuspinnatus ENSPMGG00000005156
hippocampus_comes ENSHCOG00000004893
tetraodon_nigroviridis ENSTNIG00000013231
takifugu_rubripes ENSTRUG00000011369
mola_mola ENSMMOG00000021237
scophthalmus_maximus ENSSMAG00000018022
gasterosteus_aculeatus ENSGACG00000017739
labrus_bergylta ENSLBEG00000022129
mastacembelus_armatus ENSMAMG00000006038
monopterus_albus ENSMALG00000011943
anabas_testudineus ENSATEG00000021696
seriola_dumerili ENSSDUG00000019860
seriola_lalandi_dorsalis ENSSLDG00000014927
amphiprion_ocellaris ENSAOCG00000007515
amphiprion_percula ENSAPEG00000002683
acanthochromis_polyacanthus ENSAPOG00000020056
stegastes_partitus ENSSPAG00000021329
astatotilapia_calliptera ENSACLG00000024134
maylandia_zebra ENSMZEG00005016720
pundamilia_nyererei ENSPNYG00000011292
haplochromis_burtoni ENSHBUG00000023178
neolamprologus_brichardi ENSNBRG00000009930
oreochromis_niloticus ENSONIG00000004039
amphilophus_citrinellus ENSACIG00000000306
fundulus_heteroclitus ENSFHEG00000012073
cyprinodon_variegatus ENSCVAG00000014711
poecilia_mexicana ENSPMEG00000019019
poecilia_formosa ENSPFOG00000004804
poecilia_latipinna ENSPLAG00000004381
poecilia_reticulata ENSPREG00000005876
xiphophorus_couchianus ENSXCOG00000005258
xiphophorus_maculatus ENSXMAG00000021873
gambusia_affinis ENSGAFG00000005589
kryptolebias_marmoratus ENSKMAG00000014251
oryzias_latipes ENSORLG00020010201
oryzias_latipes ENSORLG00000011362
oryzias_latipes_asm223469v1 ENSORLG00015023230
oryzias_melastigma ENSOMEG00000021565
cynoglossus_semilaevis ENSCSEG00000019921
gadus_morhua ENSGMOG00000008869
petromyzon_marinus ENSPMAG00000003172
eptatretus_burgeri ENSEBUG00000014588
