meleagris_gallopavo ENSMGAG00000003601
calidris_pygmaea ENSCPGG00000007909
serinus_canaria ENSSCAG00000004223
calidris_pugnax ENSCPUG00000015174
calidris_pygmaea ENSCPGG00000016684
melopsittacus_undulatus ENSMUNG00000013612
taeniopygia_guttata ENSTGUG00000002273
lonchura_striata_domestica ENSLSDG00000005845
serinus_canaria ENSSCAG00000016482
zonotrichia_albicollis ENSZALG00000003354
cyanistes_caeruleus ENSCCEG00000014625
parus_major ENSPMJG00000015861
ficedula_albicollis ENSFALG00000011128
manacus_vitellinus ENSMVIG00005009236
lepidothrix_coronata ENSLCOG00000007094
gallus_gallus ENSGALG00000014859
coturnix_japonica ENSCJPG00005010996
numida_meleagris ENSNMEG00000006165
anas_platyrhynchos_platyrhynchos ENSAPLG00000026432
apteryx_owenii ENSAOWG00000009286
apteryx_haastii ENSAHAG00000000705
apteryx_rowi ENSARWG00000016028
dromaius_novaehollandiae ENSDNVG00000017820
crocodylus_porosus ENSCPRG00005016172
chrysemys_picta_bellii ENSCPBG00000007722
gopherus_agassizii ENSGAGG00000002255
pelodiscus_sinensis ENSPSIG00000018191
anser_brachyrhynchus ENSABRG00000020543
nothoprocta_perdicaria ENSNPEG00000001109
chelonoidis_abingdonii ENSCABG00000009785
anser_brachyrhynchus ENSABRG00000006389
pogona_vitticeps ENSPVIG00000011496
anolis_carolinensis ENSACAG00000010702
salvator_merianae ENSSMRG00000018888
sphenodon_punctatus ENSSPUG00000017446
notechis_scutatus ENSNSUG00000017072
phascolarctos_cinereus ENSPCIG00000030602
notamacropus_eugenii ENSMEUG00000006759
sarcophilus_harrisii ENSSHAG00000011534
monodelphis_domestica ENSMODG00000020281
sus_scrofa ENSSSCG00000040959
tursiops_truncatus ENSTTRG00000009644
capra_hircus ENSCHIG00000020006
capra_hircus ENSCHIG00000024065
ovis_aries ENSOARG00000008729
bos_mutus ENSBMUG00000023177
bos_taurus ENSBTAG00000015504
bison_bison_bison ENSBBBG00000003267
vicugna_pacos ENSVPAG00000007062
ursus_americanus ENSUAMG00000019227
ursus_americanus ENSUAMG00000019226
ursus_maritimus ENSUMAG00000007169
ailuropoda_melanoleuca ENSAMEG00000003882
canis_lupus_familiaris ENSCAFG00000018578
vulpes_vulpes ENSVVUG00000025370
mustela_putorius_furo ENSMPUG00000014433
neovison_vison ENSNVIG00000003595
mustela_putorius_furo ENSMPUG00000017447
panthera_tigris_altaica ENSPTIG00000021445
felis_catus ENSFCAG00000029728
sorex_araneus ENSSARG00000004599
pteropus_vampyrus ENSPVAG00000014930
myotis_lucifugus ENSMLUG00000017183
equus_caballus ENSECAG00000019558
equus_asinus_asinus ENSEASG00005013512
propithecus_coquereli ENSPCOG00000013460
microcebus_murinus ENSMICG00000042242
otolemur_garnettii ENSOGAG00000029807
pan_paniscus ENSPPAG00000038106
pan_troglodytes ENSPTRG00000052013
gorilla_gorilla ENSGGOG00000024109
choloepus_hoffmanni ENSCHOG00000008150
dasypus_novemcinctus ENSDNOG00000032854
canis_lupus_dingo ENSCAFG00020022509
canis_lupus_dingo ENSCAFG00020022510
heterocephalus_glaber_female ENSHGLG00000005956
heterocephalus_glaber_male ENSHGLG00100015342
heterocephalus_glaber_female ENSHGLG00000003740
fukomys_damarensis ENSFDAG00000015028
chinchilla_lanigera ENSCLAG00000016740
octodon_degus ENSODEG00000000696
cavia_porcellus ENSCPOG00000033475
cavia_aperea ENSCAPG00000000381
ictidomys_tridecemlineatus ENSSTOG00000015383
spermophilus_dauricus ENSSDAG00000000628
urocitellus_parryii ENSUPAG00010003204
marmota_marmota_marmota ENSMMMG00000010479
dipodomys_ordii ENSDORG00000028178
castor_canadensis ENSCCNG00000027341
jaculus_jaculus ENSJJAG00000011423
mus_spicilegus ENSMSIG00000024919
mus_musculus ENSMUSG00000094870
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0019811
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0018933
mus_pahari MGP_PahariEiJ_G0016002
rattus_norvegicus ENSRNOG00000015925
meriones_unguiculatus ENSMUGG00000001423
peromyscus_maniculatus_bairdii ENSPEMG00000025948
microtus_ochrogaster ENSMOCG00000016567
cricetulus_griseus_crigri-picr ENSCGRG00015020069
cricetulus_griseus_chok1gshd ENSCGRG00001021210
cricetulus_griseus_crigri ENSCGRG00000015951
mesocricetus_auratus ENSMAUG00000000415
nannospalax_galili ENSNGAG00000016975
oryctolagus_cuniculus ENSOCUG00000017804
cebus_capucinus ENSCCAG00000034999
saimiri_boliviensis_boliviensis ENSSBOG00000021812
callithrix_jacchus ENSCJAG00000001280
aotus_nancymaae ENSANAG00000021961
pan_troglodytes ENSPTRG00000016842
pan_paniscus ENSPPAG00000024198
gorilla_gorilla ENSGGOG00000002252
homo_sapiens ENSG00000172262
pongo_abelii ENSPPYG00000015437
nomascus_leucogenys ENSNLEG00000010402
papio_anubis ENSPANG00000011134
chlorocebus_sabaeus ENSCSAG00000016781
theropithecus_gelada ENSTGEG00000010836
