apteryx_owenii ENSAOWG00000014833
apteryx_haastii ENSAHAG00000019351
apteryx_rowi ENSARWG00000008518
dromaius_novaehollandiae ENSDNVG00000015081
nothoprocta_perdicaria ENSNPEG00000015035
taeniopygia_guttata ENSTGUG00000003596
lonchura_striata_domestica ENSLSDG00000008765
serinus_canaria ENSSCAG00000004854
ficedula_albicollis ENSFALG00000010050
parus_major ENSPMJG00000008735
cyanistes_caeruleus ENSCCEG00000020079
zonotrichia_albicollis ENSZALG00000005425
junco_hyemalis ENSJHYG00000012278
lepidothrix_coronata ENSLCOG00000008555
manacus_vitellinus ENSMVIG00005006245
calidris_pugnax ENSCPUG00000013763
calidris_pygmaea ENSCPGG00000011557
melopsittacus_undulatus ENSMUNG00000016084
anas_platyrhynchos_platyrhynchos ENSAPLG00000015941
anser_brachyrhynchus ENSABRG00000014593
meleagris_gallopavo ENSMGAG00000007385
coturnix_japonica ENSCJPG00005008073
gallus_gallus ENSGALG00000007025
numida_meleagris ENSNMEG00000007003
crocodylus_porosus ENSCPRG00005011872
chrysemys_picta_bellii ENSCPBG00000011604
pelodiscus_sinensis ENSPSIG00000012625
pogona_vitticeps ENSPVIG00000008356
anolis_carolinensis ENSACAG00000007800
notechis_scutatus ENSNSUG00000010953
salvator_merianae ENSSMRG00000010421
sphenodon_punctatus ENSSPUG00000017175
octodon_degus ENSODEG00000017711
chinchilla_lanigera ENSCLAG00000000899
cavia_porcellus ENSCPOG00000008877
cavia_aperea ENSCAPG00000008883
heterocephalus_glaber_female ENSHGLG00000005157
heterocephalus_glaber_male ENSHGLG00100005979
fukomys_damarensis ENSFDAG00000018469
urocitellus_parryii ENSUPAG00010019198
ictidomys_tridecemlineatus ENSSTOG00000005472
marmota_marmota_marmota ENSMMMG00000022203
spermophilus_dauricus ENSSDAG00000002189
peromyscus_maniculatus_bairdii ENSPEMG00000021609
microtus_ochrogaster ENSMOCG00000019821
cricetulus_griseus_chok1gshd ENSCGRG00001023120
cricetulus_griseus_crigri-picr ENSCGRG00015024100
mesocricetus_auratus ENSMAUG00000016239
mus_spicilegus ENSMSIG00000011466
mus_spicilegus ENSMSIG00000011471
mus_musculus ENSMUSG00000052560
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0021076
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0020180
mus_pahari MGP_PahariEiJ_G0020184
rattus_norvegicus ENSRNOG00000026128
meriones_unguiculatus ENSMUGG00000005322
nannospalax_galili ENSNGAG00000024044
jaculus_jaculus ENSJJAG00000015994
oryctolagus_cuniculus ENSOCUG00000017747
ochotona_princeps ENSOPRG00000013082
dipodomys_ordii ENSDORG00000012517
dasypus_novemcinctus ENSDNOG00000035836
tupaia_belangeri ENSTBEG00000008540
pan_paniscus ENSPPAG00000043900
pan_troglodytes ENSPTRG00000004823
homo_sapiens ENSG00000139117
gorilla_gorilla ENSGGOG00000013974
pongo_abelii ENSPPYG00000004411
nomascus_leucogenys ENSNLEG00000030228
piliocolobus_tephrosceles ENSPTEG00000006179
piliocolobus_tephrosceles ENSPTEG00000006072
rhinopithecus_roxellana ENSRROG00000029079
rhinopithecus_bieti ENSRBIG00000028357
colobus_angolensis_palliatus ENSCANG00000030434
macaca_fascicularis ENSMFAG00000041185
macaca_nemestrina ENSMNEG00000030193
macaca_mulatta ENSMMUG00000013666
theropithecus_gelada ENSTGEG00000028691
cercocebus_atys ENSCATG00000004272
papio_anubis ENSPANG00000013195
mandrillus_leucophaeus ENSMLEG00000026693
chlorocebus_sabaeus ENSCSAG00000007329
cebus_capucinus ENSCCAG00000019687
saimiri_boliviensis_boliviensis ENSSBOG00000033944
callithrix_jacchus ENSCJAG00000018036
aotus_nancymaae ENSANAG00000021132
carlito_syrichta ENSTSYG00000012590
propithecus_coquereli ENSPCOG00000018616
prolemur_simus ENSPSMG00000010217
microcebus_murinus ENSMICG00000017464
otolemur_garnettii ENSOGAG00000007753
castor_canadensis ENSCCNG00000029147
pteropus_vampyrus ENSPVAG00000015330
myotis_lucifugus ENSMLUG00000013758
ovis_aries ENSOARG00000020074
capra_hircus ENSCHIG00000026435
bos_mutus ENSBMUG00000007243
bos_taurus ENSBTAG00000020914
bison_bison_bison ENSBBBG00000014248
tursiops_truncatus ENSTTRG00000016955
sus_scrofa ENSSSCG00000000778
vicugna_pacos ENSVPAG00000009168
ailuropoda_melanoleuca ENSAMEG00000010921
ursus_maritimus ENSUMAG00000024135
neovison_vison ENSNVIG00000013038
mustela_putorius_furo ENSMPUG00000000228
canis_lupus_familiaris ENSCAFG00000010406
canis_lupus_dingo ENSCAFG00020019768
vulpes_vulpes ENSVVUG00000012781
panthera_pardus ENSPPRG00000007422
panthera_tigris_altaica ENSPTIG00000009449
felis_catus ENSFCAG00000029103
equus_asinus_asinus ENSEASG00005004527
equus_caballus ENSECAG00000014870
loxodonta_africana ENSLAFG00000005722
procavia_capensis ENSPCAG00000014110
echinops_telfairi ENSETEG00000015803
choloepus_hoffmanni ENSCHOG00000009388
ornithorhynchus_anatinus ENSOANG00000002877
ornithorhynchus_anatinus ENSOANG00000021767
mus_spicilegus ENSMSIG00000017966
chelonoidis_abingdonii ENSCABG00000018647
gopherus_agassizii ENSGAGG00000003874
ornithorhynchus_anatinus ENSOANG00000028598
xenopus_tropicalis ENSXETG00000031332
latimeria_chalumnae ENSLACG00000004415
scleropages_formosus ENSSFOG00015011574
paramormyrops_kingsleyae ENSPKIG00000014095
scleropages_formosus ENSSFOG00015021205
paramormyrops_kingsleyae ENSPKIG00000002930
astyanax_mexicanus ENSAMXG00000005369
pygocentrus_nattereri ENSPNAG00000029478
ictalurus_punctatus ENSIPUG00000009664
danio_rerio ENSDARG00000102191
poecilia_latipinna ENSPLAG00000012896
poecilia_formosa ENSPFOG00000007544
poecilia_mexicana ENSPMEG00000002265
poecilia_reticulata ENSPREG00000007888
xiphophorus_maculatus ENSXMAG00000006615
xiphophorus_couchianus ENSXCOG00000015090
gambusia_affinis ENSGAFG00000013195
fundulus_heteroclitus ENSFHEG00000003261
cyprinodon_variegatus ENSCVAG00000001387
oryzias_latipes ENSORLG00020006731
oryzias_latipes ENSORLG00000019057
oryzias_latipes_asm223469v1 ENSORLG00015003837
oryzias_melastigma ENSOMEG00000015677
amphiprion_ocellaris ENSAOCG00000016266
cynoglossus_semilaevis ENSCSEG00000012416
periophthalmus_magnuspinnatus ENSPMGG00000004093
acanthochromis_polyacanthus ENSAPOG00000014549
amphiprion_percula ENSAPEG00000009053
stegastes_partitus ENSSPAG00000021815
kryptolebias_marmoratus ENSKMAG00000008347
pundamilia_nyererei ENSPNYG00000005537
haplochromis_burtoni ENSHBUG00000023338
astatotilapia_calliptera ENSACLG00000005474
maylandia_zebra ENSMZEG00005015833
neolamprologus_brichardi ENSNBRG00000022624
oreochromis_niloticus ENSONIG00000009828
amphilophus_citrinellus ENSACIG00000001782
monopterus_albus ENSMALG00000007583
mastacembelus_armatus ENSMAMG00000004654
takifugu_rubripes ENSTRUG00000007481
tetraodon_nigroviridis ENSTNIG00000010488
labrus_bergylta ENSLBEG00000028637
mola_mola ENSMMOG00000007166
anabas_testudineus ENSATEG00000007900
seriola_dumerili ENSSDUG00000012015
seriola_lalandi_dorsalis ENSSLDG00000011789
scophthalmus_maximus ENSSMAG00000019483
gasterosteus_aculeatus ENSGACG00000019027
hippocampus_comes ENSHCOG00000013407
gadus_morhua ENSGMOG00000003002
esox_lucius ENSELUG00000009620
lepisosteus_oculatus ENSLOCG00000016081
ciona_intestinalis ENSCING00000001809
