piliocolobus_tephrosceles ENSPTEG00000004319
colobus_angolensis_palliatus ENSCANG00000026912
rhinopithecus_roxellana ENSRROG00000044300
rhinopithecus_bieti ENSRBIG00000014533
macaca_mulatta ENSMMUG00000047174
macaca_fascicularis ENSMFAG00000043263
macaca_nemestrina ENSMNEG00000035552
cercocebus_atys ENSCATG00000042040
mandrillus_leucophaeus ENSMLEG00000034400
theropithecus_gelada ENSTGEG00000017747
papio_anubis ENSPANG00000031025
pan_paniscus ENSPPAG00000008189
pan_troglodytes ENSPTRG00000049178
gorilla_gorilla ENSGGOG00000038687
nomascus_leucogenys ENSNLEG00000034078
