poecilia_formosa ENSPFOG00000020530
poecilia_mexicana ENSPMEG00000020916
poecilia_latipinna ENSPLAG00000014267
poecilia_reticulata ENSPREG00000019405
xiphophorus_maculatus ENSXMAG00000019722
xiphophorus_couchianus ENSXCOG00000009446
gambusia_affinis ENSGAFG00000009427
cyprinodon_variegatus ENSCVAG00000015627
fundulus_heteroclitus ENSFHEG00000007173
kryptolebias_marmoratus ENSKMAG00000019589
oryzias_latipes_asm223469v1 ENSORLG00015000932
oryzias_latipes ENSORLG00000016192
oryzias_latipes ENSORLG00020005105
oryzias_melastigma ENSOMEG00000015257
maylandia_zebra ENSMZEG00005022746
maylandia_zebra ENSMZEG00005013298
astatotilapia_calliptera ENSACLG00000008462
pundamilia_nyererei ENSPNYG00000021315
haplochromis_burtoni ENSHBUG00000011665
maylandia_zebra ENSMZEG00005013290
neolamprologus_brichardi ENSNBRG00000017333
oreochromis_niloticus ENSONIG00000020922
amphilophus_citrinellus ENSACIG00000022167
amphiprion_ocellaris ENSAOCG00000011023
amphiprion_percula ENSAPEG00000014188
acanthochromis_polyacanthus ENSAPOG00000003319
stegastes_partitus ENSSPAG00000020394
takifugu_rubripes ENSTRUG00000002225
tetraodon_nigroviridis ENSTNIG00000001524
mola_mola ENSMMOG00000015222
cynoglossus_semilaevis ENSCSEG00000010624
seriola_dumerili ENSSDUG00000007985
seriola_lalandi_dorsalis ENSSLDG00000019955
scophthalmus_maximus ENSSMAG00000003117
monopterus_albus ENSMALG00000018589
mastacembelus_armatus ENSMAMG00000006934
anabas_testudineus ENSATEG00000015880
labrus_bergylta ENSLBEG00000022027
hippocampus_comes ENSHCOG00000003989
periophthalmus_magnuspinnatus ENSPMGG00000016197
esox_lucius ENSELUG00000008884
seriola_lalandi_dorsalis ENSSLDG00000014758
seriola_dumerili ENSSDUG00000005306
scophthalmus_maximus ENSSMAG00000016767
anabas_testudineus ENSATEG00000014938
labrus_bergylta ENSLBEG00000022342
amphiprion_ocellaris ENSAOCG00000008974
amphiprion_percula ENSAPEG00000000046
acanthochromis_polyacanthus ENSAPOG00000003479
stegastes_partitus ENSSPAG00000015318
cyprinodon_variegatus ENSCVAG00000019721
fundulus_heteroclitus ENSFHEG00000011651
haplochromis_burtoni ENSHBUG00000022994
pundamilia_nyererei ENSPNYG00000018822
maylandia_zebra ENSMZEG00005003358
astatotilapia_calliptera ENSACLG00000025187
oreochromis_niloticus ENSONIG00000003353
amphilophus_citrinellus ENSACIG00000023424
mola_mola ENSMMOG00000002034
periophthalmus_magnuspinnatus ENSPMGG00000013256
gadus_morhua ENSGMOG00000016246
esox_lucius ENSELUG00000006382
astyanax_mexicanus ENSAMXG00000025525
pygocentrus_nattereri ENSPNAG00000004508
ictalurus_punctatus ENSIPUG00000008073
danio_rerio ENSDARG00000088828
paramormyrops_kingsleyae ENSPKIG00000021982
scleropages_formosus ENSSFOG00015001521
lepisosteus_oculatus ENSLOCG00000017993
echinops_telfairi ENSETEG00000008690
sorex_araneus ENSSARG00000014535
mus_spicilegus ENSMSIG00000030732
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0014790
mus_musculus ENSMUSG00000025931
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0013985
mus_pahari MGP_PahariEiJ_G0027235
rattus_norvegicus ENSRNOG00000012830
meriones_unguiculatus ENSMUGG00000000682
cricetulus_griseus_chok1gshd ENSCGRG00001004665
cricetulus_griseus_crigri ENSCGRG00000014524
cricetulus_griseus_crigri-picr ENSCGRG00015021767
mesocricetus_auratus ENSMAUG00000011171
peromyscus_maniculatus_bairdii ENSPEMG00000019532
microtus_ochrogaster ENSMOCG00000011453
nannospalax_galili ENSNGAG00000019180
castor_canadensis ENSCCNG00000000862
heterocephalus_glaber_female ENSHGLG00000010601
heterocephalus_glaber_male ENSHGLG00100012307
fukomys_damarensis ENSFDAG00000005818
ictidomys_tridecemlineatus ENSSTOG00000013049
spermophilus_dauricus ENSSDAG00000007097
urocitellus_parryii ENSUPAG00010018506
marmota_marmota_marmota ENSMMMG00000024636
oryctolagus_cuniculus ENSOCUG00000003946
ochotona_princeps ENSOPRG00000015992
pan_paniscus ENSPPAG00000026339
pan_troglodytes ENSPTRG00000047053
homo_sapiens ENSG00000170915
gorilla_gorilla ENSGGOG00000038667
pongo_abelii ENSPPYG00000016706
nomascus_leucogenys ENSNLEG00000028996
macaca_mulatta ENSMMUG00000013715
macaca_fascicularis ENSMFAG00000004629
macaca_nemestrina ENSMNEG00000011526
papio_anubis ENSPANG00000005625
theropithecus_gelada ENSTGEG00000000754
cercocebus_atys ENSCATG00000020608
mandrillus_leucophaeus ENSMLEG00000013701
chlorocebus_sabaeus ENSCSAG00000019294
rhinopithecus_bieti ENSRBIG00000031177
rhinopithecus_roxellana ENSRROG00000006635
