gasterosteus_aculeatus ENSGACG00000013025
takifugu_rubripes ENSTRUG00000013420
labrus_bergylta ENSLBEG00000023941
labrus_bergylta ENSLBEG00000023961
mola_mola ENSMMOG00000015074
mastacembelus_armatus ENSMAMG00000014068
monopterus_albus ENSMALG00000016277
anabas_testudineus ENSATEG00000001515
astatotilapia_calliptera ENSACLG00000006797
maylandia_zebra ENSMZEG00005012989
pundamilia_nyererei ENSPNYG00000003364
haplochromis_burtoni ENSHBUG00000022791
neolamprologus_brichardi ENSNBRG00000022320
oreochromis_niloticus ENSONIG00000000739
amphilophus_citrinellus ENSACIG00000001692
fundulus_heteroclitus ENSFHEG00000020701
cyprinodon_variegatus ENSCVAG00000021173
xiphophorus_maculatus ENSXMAG00000029141
xiphophorus_couchianus ENSXCOG00000007684
poecilia_latipinna ENSPLAG00000007030
poecilia_mexicana ENSPMEG00000021698
poecilia_formosa ENSPFOG00000012656
poecilia_reticulata ENSPREG00000013419
gambusia_affinis ENSGAFG00000006185
kryptolebias_marmoratus ENSKMAG00000019097
oryzias_latipes ENSORLG00020014345
oryzias_latipes ENSORLG00000018051
oryzias_latipes_asm223469v1 ENSORLG00015012194
oryzias_melastigma ENSOMEG00000000976
scophthalmus_maximus ENSSMAG00000007657
cynoglossus_semilaevis ENSCSEG00000019312
seriola_lalandi_dorsalis ENSSLDG00000000126
seriola_dumerili ENSSDUG00000010235
amphiprion_ocellaris ENSAOCG00000001414
amphiprion_percula ENSAPEG00000000538
acanthochromis_polyacanthus ENSAPOG00000010167
stegastes_partitus ENSSPAG00000007984
hippocampus_comes ENSHCOG00000018862
hippocampus_comes ENSHCOG00000018779
periophthalmus_magnuspinnatus ENSPMGG00000017193
gadus_morhua ENSGMOG00000006172
esox_lucius ENSELUG00000000852
pygocentrus_nattereri ENSPNAG00000022601
astyanax_mexicanus ENSAMXG00000008504
danio_rerio ENSDARG00000090722
danio_rerio ENSDARG00000095751
scleropages_formosus ENSSFOG00015018277
lepisosteus_oculatus ENSLOCG00000017285
apteryx_haastii ENSAHAG00000010345
apteryx_owenii ENSAOWG00000002732
apteryx_rowi ENSARWG00000006105
dromaius_novaehollandiae ENSDNVG00000018138
nothoprocta_perdicaria ENSNPEG00000014063
zonotrichia_albicollis ENSZALG00000016128
junco_hyemalis ENSJHYG00000016357
serinus_canaria ENSSCAG00000014065
taeniopygia_guttata ENSTGUG00000011757
lonchura_striata_domestica ENSLSDG00000015964
ficedula_albicollis ENSFALG00000011521
parus_major ENSPMJG00000013631
cyanistes_caeruleus ENSCCEG00000015083
