equus_caballus ENSECAG00000002358
equus_asinus_asinus ENSEASG00005008893
myotis_lucifugus ENSMLUG00000025848
bison_bison_bison ENSBBBG00000020626
bos_mutus ENSBMUG00000008645
capra_hircus ENSCHIG00000023520
sus_scrofa ENSSSCG00000040135
ursus_maritimus ENSUMAG00000008907
ursus_americanus ENSUAMG00000023218
ailuropoda_melanoleuca ENSAMEG00000001570
neovison_vison ENSNVIG00000004189
canis_lupus_familiaris ENSCAFG00000007318
vulpes_vulpes ENSVVUG00000027792
panthera_tigris_altaica ENSPTIG00000006639
panthera_pardus ENSPPRG00000007399
felis_catus ENSFCAG00000023610
peromyscus_maniculatus_bairdii ENSPEMG00000004100
microtus_ochrogaster ENSMOCG00000003622
cricetulus_griseus_crigri ENSCGRG00000008360
cricetulus_griseus_crigri-picr ENSCGRG00015028610
cricetulus_griseus_chok1gshd ENSCGRG00001010738
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0021205
mus_musculus ENSMUSG00000063971
mus_spicilegus ENSMSIG00000008305
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0020312
mus_pahari MGP_PahariEiJ_G0020312
rattus_norvegicus ENSRNOG00000008242
meriones_unguiculatus ENSMUGG00000005550
nannospalax_galili ENSNGAG00000004487
jaculus_jaculus ENSJJAG00000010390
urocitellus_parryii ENSUPAG00010001492
ictidomys_tridecemlineatus ENSSTOG00000034342
marmota_marmota_marmota ENSMMMG00000000969
cavia_aperea ENSCAPG00000010790
cavia_porcellus ENSCPOG00000025903
fukomys_damarensis ENSFDAG00000017182
octodon_degus ENSODEG00000012310
chinchilla_lanigera ENSCLAG00000003145
castor_canadensis ENSCCNG00000020606
dipodomys_ordii ENSDORG00000026045
oryctolagus_cuniculus ENSOCUG00000027902
otolemur_garnettii ENSOGAG00000034551
prolemur_simus ENSPSMG00000004196
piliocolobus_tephrosceles ENSPTEG00000038393
loxodonta_africana ENSLAFG00000032327
