xiphophorus_couchianus ENSXCOG00000006843
oryzias_melastigma ENSOMEG00000014745
amphiprion_ocellaris ENSAOCG00000016187
notechis_scutatus ENSNSUG00000002769
salvator_merianae ENSSMRG00000022814
colobus_angolensis_palliatus ENSCANG00000019717
propithecus_coquereli ENSPCOG00000018418
cavia_aperea ENSCAPG00000014347
bos_taurus ENSBTAG00000053271
acanthochromis_polyacanthus ENSAPOG00000007355
cyprinodon_variegatus ENSCVAG00000020860
gopherus_agassizii ENSGAGG00000010652
chelonoidis_abingdonii ENSCABG00000003443
chrysemys_picta_bellii ENSCPBG00000010568
apteryx_rowi ENSARWG00000003919
apteryx_owenii ENSAOWG00000016424
apteryx_haastii ENSAHAG00000000360
dromaius_novaehollandiae ENSDNVG00000001694
nothoprocta_perdicaria ENSNPEG00000005864
manacus_vitellinus ENSMVIG00005009189
lepidothrix_coronata ENSLCOG00000008549
lonchura_striata_domestica ENSLSDG00000001634
taeniopygia_guttata ENSTGUG00000004878
zonotrichia_albicollis ENSZALG00000013445
junco_hyemalis ENSJHYG00000013535
serinus_canaria ENSSCAG00000015879
parus_major ENSPMJG00000012306
cyanistes_caeruleus ENSCCEG00000019986
ficedula_albicollis ENSFALG00000011916
calidris_pygmaea ENSCPGG00000000829
calidris_pugnax ENSCPUG00000008173
melopsittacus_undulatus ENSMUNG00000015502
anas_platyrhynchos_platyrhynchos ENSAPLG00000018329
anas_platyrhynchos_platyrhynchos ENSAPLG00000002561
anser_brachyrhynchus ENSABRG00000002696
gallus_gallus ENSGALG00000003841
meleagris_gallopavo ENSMGAG00000009749
numida_meleagris ENSNMEG00000011384
pogona_vitticeps ENSPVIG00000019250
notechis_scutatus ENSNSUG00000014342
salvator_merianae ENSSMRG00000002142
anolis_carolinensis ENSACAG00000006068
sarcophilus_harrisii ENSSHAG00000010957
phascolarctos_cinereus ENSPCIG00000010580
ornithorhynchus_anatinus ENSOANG00000013986
xenopus_tropicalis ENSXETG00000022599
latimeria_chalumnae ENSLACG00000014968
scleropages_formosus ENSSFOG00015018586
paramormyrops_kingsleyae ENSPKIG00000001078
scleropages_formosus ENSSFOG00015009367
paramormyrops_kingsleyae ENSPKIG00000020286
takifugu_rubripes ENSTRUG00000002169
tetraodon_nigroviridis ENSTNIG00000003675
hippocampus_comes ENSHCOG00000003061
scophthalmus_maximus ENSSMAG00000003055
amphiprion_ocellaris ENSAOCG00000016223
acanthochromis_polyacanthus ENSAPOG00000021745
cyprinodon_variegatus ENSCVAG00000003943
fundulus_heteroclitus ENSFHEG00000002958
xiphophorus_maculatus ENSXMAG00000001570
gambusia_affinis ENSGAFG00000007015
poecilia_mexicana ENSPMEG00000007748
poecilia_formosa ENSPFOG00000005187
poecilia_latipinna ENSPLAG00000018131
poecilia_reticulata ENSPREG00000009734
kryptolebias_marmoratus ENSKMAG00000012752
oryzias_latipes_asm223469v1 ENSORLG00015022092
oryzias_latipes_asm223469v1 ENSORLG00015022071
oryzias_latipes ENSORLG00000008408
oryzias_melastigma ENSOMEG00000018638
astatotilapia_calliptera ENSACLG00000022133
haplochromis_burtoni ENSHBUG00000013328
maylandia_zebra ENSMZEG00005020285
pundamilia_nyererei ENSPNYG00000019552
neolamprologus_brichardi ENSNBRG00000017837
oreochromis_niloticus ENSONIG00000006968
amphilophus_citrinellus ENSACIG00000007555
stegastes_partitus ENSSPAG00000021201
amphiprion_percula ENSAPEG00000015776
mastacembelus_armatus ENSMAMG00000011016
monopterus_albus ENSMALG00000012870
anabas_testudineus ENSATEG00000013228
mola_mola ENSMMOG00000014534
labrus_bergylta ENSLBEG00000022909
seriola_dumerili ENSSDUG00000014267
seriola_lalandi_dorsalis ENSSLDG00000002450
cynoglossus_semilaevis ENSCSEG00000006296
periophthalmus_magnuspinnatus ENSPMGG00000023066
esox_lucius ENSELUG00000014415
astyanax_mexicanus ENSAMXG00000003696
pygocentrus_nattereri ENSPNAG00000013398
ictalurus_punctatus ENSIPUG00000022755
danio_rerio ENSDARG00000074183
lepisosteus_oculatus ENSLOCG00000014305
pelodiscus_sinensis ENSPSIG00000010117
nothoprocta_perdicaria ENSNPEG00000005863
