erinaceus_europaeus ENSEEUG00000011758
myotis_lucifugus ENSMLUG00000005897
ursus_americanus ENSUAMG00000006281
ursus_maritimus ENSUMAG00000001327
mustela_putorius_furo ENSMPUG00000013693
neovison_vison ENSNVIG00000004146
canis_lupus_familiaris ENSCAFG00000011498
canis_lupus_dingo ENSCAFG00020022289
vulpes_vulpes ENSVVUG00000016038
panthera_pardus ENSPPRG00000008630
panthera_tigris_altaica ENSPTIG00000017750
felis_catus ENSFCAG00000029431
equus_caballus ENSECAG00000011987
equus_asinus_asinus ENSEASG00005007929
tursiops_truncatus ENSTTRG00000016503
sus_scrofa ENSSSCG00000009951
capra_hircus ENSCHIG00000017830
ovis_aries ENSOARG00000018712
bos_mutus ENSBMUG00000001122
bos_taurus ENSBTAG00000006592
bison_bison_bison ENSBBBG00000011357
pteropus_vampyrus ENSPVAG00000014143
chinchilla_lanigera ENSCLAG00000010231
octodon_degus ENSODEG00000017017
cavia_porcellus ENSCPOG00000009822
cavia_aperea ENSCAPG00000007020
heterocephalus_glaber_male ENSHGLG00100014339
heterocephalus_glaber_female ENSHGLG00000011538
fukomys_damarensis ENSFDAG00000009582
ictidomys_tridecemlineatus ENSSTOG00000009633
urocitellus_parryii ENSUPAG00010007123
spermophilus_dauricus ENSSDAG00000002949
marmota_marmota_marmota ENSMMMG00000018191
mus_spicilegus ENSMSIG00000007737
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0028573
mus_musculus ENSMUSG00000042216
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0027575
mus_pahari MGP_PahariEiJ_G0024157
rattus_norvegicus ENSRNOG00000000708
meriones_unguiculatus ENSMUGG00000015334
cricetulus_griseus_crigri ENSCGRG00000008174
cricetulus_griseus_chok1gshd ENSCGRG00001023747
cricetulus_griseus_crigri-picr ENSCGRG00015022917
mesocricetus_auratus ENSMAUG00000019888
microtus_ochrogaster ENSMOCG00000009331
peromyscus_maniculatus_bairdii ENSPEMG00000000139
nannospalax_galili ENSNGAG00000014722
jaculus_jaculus ENSJJAG00000023130
dipodomys_ordii ENSDORG00000015314
ochotona_princeps ENSOPRG00000004476
oryctolagus_cuniculus ENSOCUG00000012203
tupaia_belangeri ENSTBEG00000012826
pan_troglodytes ENSPTRG00000014181
pan_troglodytes ENSPTRG00000046587
pan_paniscus ENSPPAG00000025023
homo_sapiens ENSG00000167037
gorilla_gorilla ENSGGOG00000013936
pongo_abelii ENSPPYG00000011654
nomascus_leucogenys ENSNLEG00000007700
theropithecus_gelada ENSTGEG00000027583
papio_anubis ENSPANG00000008448
cercocebus_atys ENSCATG00000002153
mandrillus_leucophaeus ENSMLEG00000042242
macaca_mulatta ENSMMUG00000010839
macaca_fascicularis ENSMFAG00000020092
macaca_nemestrina ENSMNEG00000033806
chlorocebus_sabaeus ENSCSAG00000010256
colobus_angolensis_palliatus ENSCANG00000030598
piliocolobus_tephrosceles ENSPTEG00000025984
rhinopithecus_roxellana ENSRROG00000014117
rhinopithecus_bieti ENSRBIG00000028575
saimiri_boliviensis_boliviensis ENSSBOG00000035640
cebus_capucinus ENSCCAG00000028513
callithrix_jacchus ENSCJAG00000009381
aotus_nancymaae ENSANAG00000035500
carlito_syrichta ENSTSYG00000007858
prolemur_simus ENSPSMG00000024553
propithecus_coquereli ENSPCOG00000019635
microcebus_murinus ENSMICG00000034541
otolemur_garnettii ENSOGAG00000003544
vicugna_pacos ENSVPAG00000002339
ursus_americanus ENSUAMG00000014004
peromyscus_maniculatus_bairdii ENSPEMG00000016562
castor_canadensis ENSCCNG00000015495
loxodonta_africana ENSLAFG00000015725
procavia_capensis ENSPCAG00000016963
echinops_telfairi ENSETEG00000010171
choloepus_hoffmanni ENSCHOG00000005427
dasypus_novemcinctus ENSDNOG00000007196
phascolarctos_cinereus ENSPCIG00000009957
notamacropus_eugenii ENSMEUG00000011082
sarcophilus_harrisii ENSSHAG00000001947
monodelphis_domestica ENSMODG00000004182
ornithorhynchus_anatinus ENSOANG00000004092
anser_brachyrhynchus ENSABRG00000022212
anas_platyrhynchos_platyrhynchos ENSAPLG00000009722
meleagris_gallopavo ENSMGAG00000006598
coturnix_japonica ENSCJPG00005008415
gallus_gallus ENSGALG00000005379
numida_meleagris ENSNMEG00000021446
lepidothrix_coronata ENSLCOG00000012448
manacus_vitellinus ENSMVIG00005015103
junco_hyemalis ENSJHYG00000004498
zonotrichia_albicollis ENSZALG00000011242
serinus_canaria ENSSCAG00000005694
lonchura_striata_domestica ENSLSDG00000012408
taeniopygia_guttata ENSTGUG00000007521
ficedula_albicollis ENSFALG00000008643
cyanistes_caeruleus ENSCCEG00000015655
parus_major ENSPMJG00000013376
melopsittacus_undulatus ENSMUNG00000004533
calidris_pygmaea ENSCPGG00000009128
calidris_pugnax ENSCPUG00000019078
apteryx_haastii ENSAHAG00000012834
apteryx_owenii ENSAOWG00000001646
apteryx_rowi ENSARWG00000006403
dromaius_novaehollandiae ENSDNVG00000005891
nothoprocta_perdicaria ENSNPEG00000008564
crocodylus_porosus ENSCPRG00005011799
gopherus_agassizii ENSGAGG00000006396
chelonoidis_abingdonii ENSCABG00000007403
chrysemys_picta_bellii ENSCPBG00000021575
pelodiscus_sinensis ENSPSIG00000015921
pogona_vitticeps ENSPVIG00000017488
notechis_scutatus ENSNSUG00000018356
salvator_merianae ENSSMRG00000020867
sphenodon_punctatus ENSSPUG00000008317
latimeria_chalumnae ENSLACG00000010138
xenopus_tropicalis ENSXETG00000018672
scophthalmus_maximus ENSSMAG00000014135
cynoglossus_semilaevis ENSCSEG00000007635
seriola_dumerili ENSSDUG00000012219
seriola_lalandi_dorsalis ENSSLDG00000025163
monopterus_albus ENSMALG00000014045
mastacembelus_armatus ENSMAMG00000015759
anabas_testudineus ENSATEG00000009159
labrus_bergylta ENSLBEG00000007236
labrus_bergylta ENSLBEG00000009993
gasterosteus_aculeatus ENSGACG00000008977
mola_mola ENSMMOG00000017705
fundulus_heteroclitus ENSFHEG00000014979
cyprinodon_variegatus ENSCVAG00000004287
xiphophorus_maculatus ENSXMAG00000013962
xiphophorus_couchianus ENSXCOG00000017056
gambusia_affinis ENSGAFG00000012777
poecilia_latipinna ENSPLAG00000002459
poecilia_mexicana ENSPMEG00000020944
poecilia_formosa ENSPFOG00000011607
poecilia_reticulata ENSPREG00000022269
kryptolebias_marmoratus ENSKMAG00000016393
oryzias_latipes ENSORLG00020014974
oryzias_latipes ENSORLG00000007192
oryzias_latipes_asm223469v1 ENSORLG00015003427
oryzias_melastigma ENSOMEG00000002316
astatotilapia_calliptera ENSACLG00000026302
maylandia_zebra ENSMZEG00005016078
haplochromis_burtoni ENSHBUG00000006891
neolamprologus_brichardi ENSNBRG00000007726
pundamilia_nyererei ENSPNYG00000016029
oreochromis_niloticus ENSONIG00000013445
amphilophus_citrinellus ENSACIG00000016869
amphiprion_percula ENSAPEG00000023369
amphiprion_ocellaris ENSAOCG00000010165
acanthochromis_polyacanthus ENSAPOG00000007856
stegastes_partitus ENSSPAG00000011881
takifugu_rubripes ENSTRUG00000014620
tetraodon_nigroviridis ENSTNIG00000015880
hippocampus_comes ENSHCOG00000009083
periophthalmus_magnuspinnatus ENSPMGG00000018833
gadus_morhua ENSGMOG00000008748
esox_lucius ENSELUG00000002879
pygocentrus_nattereri ENSPNAG00000008897
astyanax_mexicanus ENSAMXG00000004296
ictalurus_punctatus ENSIPUG00000023080
danio_rerio ENSDARG00000028857
paramormyrops_kingsleyae ENSPKIG00000024877
scleropages_formosus ENSSFOG00015002541
tetraodon_nigroviridis ENSTNIG00000009063
takifugu_rubripes ENSTRUG00000012834
cynoglossus_semilaevis ENSCSEG00000015648
labrus_bergylta ENSLBEG00000017472
mola_mola ENSMMOG00000009353
gasterosteus_aculeatus ENSGACG00000016916
poecilia_formosa ENSPFOG00000019793
poecilia_latipinna ENSPLAG00000022695
poecilia_mexicana ENSPMEG00000008792
poecilia_reticulata ENSPREG00000013232
xiphophorus_maculatus ENSXMAG00000001453
gambusia_affinis ENSGAFG00000009141
cyprinodon_variegatus ENSCVAG00000021402
fundulus_heteroclitus ENSFHEG00000020803
kryptolebias_marmoratus ENSKMAG00000007073
oryzias_latipes ENSORLG00000008100
oryzias_latipes ENSORLG00020017740
oryzias_latipes_asm223469v1 ENSORLG00015004954
