haplochromis_burtoni ENSHBUG00000023399
astatotilapia_calliptera ENSACLG00000010114
maylandia_zebra ENSMZEG00005016156
pundamilia_nyererei ENSPNYG00000013219
neolamprologus_brichardi ENSNBRG00000015741
amphilophus_citrinellus ENSACIG00000014908
xiphophorus_couchianus ENSXCOG00000017550
xiphophorus_maculatus ENSXMAG00000007873
gambusia_affinis ENSGAFG00000002165
poecilia_mexicana ENSPMEG00000005708
poecilia_latipinna ENSPLAG00000023912
poecilia_reticulata ENSPREG00000022860
fundulus_heteroclitus ENSFHEG00000019059
cyprinodon_variegatus ENSCVAG00000003645
stegastes_partitus ENSSPAG00000008619
periophthalmus_magnuspinnatus ENSPMGG00000003104
seriola_lalandi_dorsalis ENSSLDG00000001356
amphiprion_percula ENSAPEG00000000711
amphiprion_ocellaris ENSAOCG00000016325
acanthochromis_polyacanthus ENSAPOG00000005620
labrus_bergylta ENSLBEG00000026832
mastacembelus_armatus ENSMAMG00000014378
scophthalmus_maximus ENSSMAG00000003240
anabas_testudineus ENSATEG00000003187
monopterus_albus ENSMALG00000022646
seriola_dumerili ENSSDUG00000020502
seriola_lalandi_dorsalis ENSSLDG00000019863
cynoglossus_semilaevis ENSCSEG00000018531
mola_mola ENSMMOG00000013638
oryzias_latipes ENSORLG00020010500
oryzias_latipes_asm223469v1 ENSORLG00015004124
oryzias_latipes ENSORLG00000022020
oryzias_melastigma ENSOMEG00000020930
hippocampus_comes ENSHCOG00000013775
pygocentrus_nattereri ENSPNAG00000029071
astyanax_mexicanus ENSAMXG00000031766
ictalurus_punctatus ENSIPUG00000007206
paramormyrops_kingsleyae ENSPKIG00000025364
scleropages_formosus ENSSFOG00015003525
