amphilophus_citrinellus ENSACIG00000011770
neolamprologus_brichardi ENSNBRG00000021972
amphiprion_percula ENSAPEG00000007109
amphiprion_ocellaris ENSAOCG00000020619
acanthochromis_polyacanthus ENSAPOG00000006108
cyprinodon_variegatus ENSCVAG00000009091
xiphophorus_maculatus ENSXMAG00000023657
kryptolebias_marmoratus ENSKMAG00000001551
oryzias_latipes ENSORLG00000027627
oryzias_latipes_asm223469v1 ENSORLG00015010471
oryzias_latipes ENSORLG00020020920
oryzias_melastigma ENSOMEG00000005731
seriola_dumerili ENSSDUG00000000516
seriola_lalandi_dorsalis ENSSLDG00000021240
scophthalmus_maximus ENSSMAG00000014489
scleropages_formosus ENSSFOG00015008353
