labrus_bergylta ENSLBEG00000000072
gasterosteus_aculeatus ENSGACG00000014887
takifugu_rubripes ENSTRUG00000009388
tetraodon_nigroviridis ENSTNIG00000000573
mola_mola ENSMMOG00000015685
scophthalmus_maximus ENSSMAG00000011959
cynoglossus_semilaevis ENSCSEG00000008679
poecilia_mexicana ENSPMEG00000003596
poecilia_formosa ENSPFOG00000000524
poecilia_latipinna ENSPLAG00000016602
poecilia_reticulata ENSPREG00000003800
xiphophorus_maculatus ENSXMAG00000012000
gambusia_affinis ENSGAFG00000021055
cyprinodon_variegatus ENSCVAG00000001338
fundulus_heteroclitus ENSFHEG00000001531
kryptolebias_marmoratus ENSKMAG00000001720
oryzias_latipes_asm223469v1 ENSORLG00015015500
oryzias_latipes ENSORLG00000024027
oryzias_latipes ENSORLG00020017573
oryzias_melastigma ENSOMEG00000019750
monopterus_albus ENSMALG00000000229
mastacembelus_armatus ENSMAMG00000008715
anabas_testudineus ENSATEG00000007069
seriola_dumerili ENSSDUG00000010610
seriola_lalandi_dorsalis ENSSLDG00000014629
amphiprion_percula ENSAPEG00000000499
amphiprion_ocellaris ENSAOCG00000022647
acanthochromis_polyacanthus ENSAPOG00000012336
stegastes_partitus ENSSPAG00000011804
astatotilapia_calliptera ENSACLG00000021284
pundamilia_nyererei ENSPNYG00000007194
maylandia_zebra ENSMZEG00005004413
haplochromis_burtoni ENSHBUG00000019147
neolamprologus_brichardi ENSNBRG00000005073
oreochromis_niloticus ENSONIG00000003137
amphilophus_citrinellus ENSACIG00000007993
periophthalmus_magnuspinnatus ENSPMGG00000007088
hippocampus_comes ENSHCOG00000005789
gadus_morhua ENSGMOG00000018241
esox_lucius ENSELUG00000018159
pygocentrus_nattereri ENSPNAG00000013235
astyanax_mexicanus ENSAMXG00000020210
ictalurus_punctatus ENSIPUG00000014957
danio_rerio ENSDARG00000008485
paramormyrops_kingsleyae ENSPKIG00000020719
lepisosteus_oculatus ENSLOCG00000001859
scleropages_formosus ENSSFOG00015011526
phascolarctos_cinereus ENSPCIG00000009598
notamacropus_eugenii ENSMEUG00000012417
monodelphis_domestica ENSMODG00000012209
sarcophilus_harrisii ENSSHAG00000015576
microtus_ochrogaster ENSMOCG00000007412
peromyscus_maniculatus_bairdii ENSPEMG00000000320
cricetulus_griseus_chok1gshd ENSCGRG00001000089
cricetulus_griseus_crigri-picr ENSCGRG00015019856
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0030680
mus_spicilegus ENSMSIG00000023034
mus_musculus ENSMUSG00000001802
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0029581
mus_pahari MGP_PahariEiJ_G0012815
rattus_norvegicus ENSRNOG00000011451
meriones_unguiculatus ENSMUGG00000014731
mesocricetus_auratus ENSMAUG00000022101
nannospalax_galili ENSNGAG00000010395
jaculus_jaculus ENSJJAG00000017356
urocitellus_parryii ENSUPAG00010010534
ictidomys_tridecemlineatus ENSSTOG00000009443
marmota_marmota_marmota ENSMMMG00000006727
castor_canadensis ENSCCNG00000028961
dipodomys_ordii ENSDORG00000002320
chinchilla_lanigera ENSCLAG00000011669
octodon_degus ENSODEG00000015710
cavia_porcellus ENSCPOG00000013712
cavia_aperea ENSCAPG00000010688
heterocephalus_glaber_female ENSHGLG00000015213
heterocephalus_glaber_male ENSHGLG00100004781
fukomys_damarensis ENSFDAG00000019495
otolemur_garnettii ENSOGAG00000034429
propithecus_coquereli ENSPCOG00000021536
prolemur_simus ENSPSMG00000014886
pan_troglodytes ENSPTRG00000010806
pan_paniscus ENSPPAG00000036881
homo_sapiens ENSG00000130881
gorilla_gorilla ENSGGOG00000006079
pongo_abelii ENSPPYG00000009826
nomascus_leucogenys ENSNLEG00000007676
cercocebus_atys ENSCATG00000033824
mandrillus_leucophaeus ENSMLEG00000042731
theropithecus_gelada ENSTGEG00000015014
papio_anubis ENSPANG00000018901
macaca_fascicularis ENSMFAG00000032091
macaca_mulatta ENSMMUG00000022872
macaca_nemestrina ENSMNEG00000024475
chlorocebus_sabaeus ENSCSAG00000004689
piliocolobus_tephrosceles ENSPTEG00000039325
colobus_angolensis_palliatus ENSCANG00000002386
rhinopithecus_bieti ENSRBIG00000042611
rhinopithecus_roxellana ENSRROG00000045555
saimiri_boliviensis_boliviensis ENSSBOG00000035415
cebus_capucinus ENSCCAG00000028610
callithrix_jacchus ENSCJAG00000000662
aotus_nancymaae ENSANAG00000027962
tupaia_belangeri ENSTBEG00000016851
cricetulus_griseus_crigri ENSCGRG00000002122
ursus_americanus ENSUAMG00000017448
vulpes_vulpes ENSVVUG00000016565
felis_catus ENSFCAG00000014920
oryctolagus_cuniculus ENSOCUG00000009440
ochotona_princeps ENSOPRG00000012109
microcebus_murinus ENSMICG00000032993
capra_hircus ENSCHIG00000012481
ovis_aries ENSOARG00000004396
bison_bison_bison ENSBBBG00000010366
bos_taurus ENSBTAG00000047062
tursiops_truncatus ENSTTRG00000012225
sus_scrofa ENSSSCG00000002863
equus_caballus ENSECAG00000010409
equus_asinus_asinus ENSEASG00005021238
pteropus_vampyrus ENSPVAG00000011610
myotis_lucifugus ENSMLUG00000012184
mustela_putorius_furo ENSMPUG00000007608
neovison_vison ENSNVIG00000019559
ailuropoda_melanoleuca ENSAMEG00000008312
canis_lupus_dingo ENSCAFG00020019720
canis_lupus_familiaris ENSCAFG00000007433
panthera_pardus ENSPPRG00000011026
dasypus_novemcinctus ENSDNOG00000034495
procavia_capensis ENSPCAG00000000573
echinops_telfairi ENSETEG00000017321
loxodonta_africana ENSLAFG00000027575
erinaceus_europaeus ENSEEUG00000009915
ornithorhynchus_anatinus ENSOANG00000012736
apteryx_owenii ENSAOWG00000015241
apteryx_haastii ENSAHAG00000014769
apteryx_rowi ENSARWG00000015340
dromaius_novaehollandiae ENSDNVG00000011063
nothoprocta_perdicaria ENSNPEG00000012254
lonchura_striata_domestica ENSLSDG00000003073
lonchura_striata_domestica ENSLSDG00000001834
taeniopygia_guttata ENSTGUG00000009422
junco_hyemalis ENSJHYG00000010914
zonotrichia_albicollis ENSZALG00000016636
serinus_canaria ENSSCAG00000011737
ficedula_albicollis ENSFALG00000007817
cyanistes_caeruleus ENSCCEG00000004052
parus_major ENSPMJG00000003592
lepidothrix_coronata ENSLCOG00000013603
manacus_vitellinus ENSMVIG00005003693
melopsittacus_undulatus ENSMUNG00000014770
calidris_pygmaea ENSCPGG00000004466
calidris_pugnax ENSCPUG00000008110
anas_platyrhynchos_platyrhynchos ENSAPLG00000007963
anser_brachyrhynchus ENSABRG00000009781
gallus_gallus ENSGALG00000004853
coturnix_japonica ENSCJPG00005014448
meleagris_gallopavo ENSMGAG00000005857
numida_meleagris ENSNMEG00000018550
crocodylus_porosus ENSCPRG00005004351
gopherus_agassizii ENSGAGG00000020610
chelonoidis_abingdonii ENSCABG00000013637
chrysemys_picta_bellii ENSCPBG00000001086
pelodiscus_sinensis ENSPSIG00000015032
sphenodon_punctatus ENSSPUG00000013385
pogona_vitticeps ENSPVIG00000021885
anolis_carolinensis ENSACAG00000006002
notechis_scutatus ENSNSUG00000012762
salvator_merianae ENSSMRG00000017100
latimeria_chalumnae ENSLACG00000009579
xenopus_tropicalis ENSXETG00000033897
