otolemur_garnettii ENSOGAG00000002513
rattus_norvegicus ENSRNOG00000023112
tupaia_belangeri ENSTBEG00000008670
capra_hircus ENSCHIG00000022454
bos_mutus ENSBMUG00000023790
sorex_araneus ENSSARG00000007919
pteropus_vampyrus ENSPVAG00000009340
ailuropoda_melanoleuca ENSAMEG00000007270
tursiops_truncatus ENSTTRG00000003776
vicugna_pacos ENSVPAG00000005464
microcebus_murinus ENSMICG00000007109
prolemur_simus ENSPSMG00000004263
pan_troglodytes ENSPTRG00000007144
pan_paniscus ENSPPAG00000027359
theropithecus_gelada ENSTGEG00000021495
macaca_fascicularis ENSMFAG00000039460
papio_anubis ENSPANG00000034038
aotus_nancymaae ENSANAG00000028244
callithrix_jacchus ENSCJAG00000044434
cavia_aperea ENSCAPG00000010413
cavia_aperea ENSCAPG00000006740
neovison_vison ENSNVIG00000018758
neovison_vison ENSNVIG00000024481
felis_catus ENSFCAG00000033932
panthera_pardus ENSPPRG00000023087
equus_caballus ENSECAG00000013269
choloepus_hoffmanni ENSCHOG00000006723
echinops_telfairi ENSETEG00000001288
ursus_americanus ENSUAMG00000006457
ursus_americanus ENSUAMG00000024384
meleagris_gallopavo ENSMGAG00000016121
anas_platyrhynchos ENSAPLG00000021084
erinaceus_europaeus ENSEEUG00000002457
canis_lupus ENSCAFG00020009484
pogona_vitticeps ENSPVIG00000023879
astatotilapia_calliptera ENSACLG00000002121
maylandia_zebra ENSMZEG00005009272
acanthochromis_polyacanthus ENSAPOG00000022298
acanthochromis_polyacanthus ENSAPOG00000021447
hucho_hucho ENSHHUG00000052632
