bison_bison_bison ENSBBBG00000003785
bos_mutus ENSBMUG00000021441
bos_taurus ENSBTAG00000015557
capra_hircus ENSCHIG00000012728
ovis_aries ENSOARG00000014548
sus_scrofa ENSSSCG00000013665
ursus_americanus ENSUAMG00000018665
ursus_maritimus ENSUMAG00000025115
ailuropoda_melanoleuca ENSAMEG00000012033
mustela_putorius_furo ENSMPUG00000006889
neovison_vison ENSNVIG00000023653
canis_lupus_dingo ENSCAFG00020023494
canis_lupus_familiaris ENSCAFG00000017946
vulpes_vulpes ENSVVUG00000028304
myotis_lucifugus ENSMLUG00000014180
macaca_nemestrina ENSMNEG00000037564
macaca_mulatta ENSMMUG00000037639
chlorocebus_sabaeus ENSCSAG00000007442
pongo_abelii ENSPPYG00000010540
tupaia_belangeri ENSTBEG00000011705
prolemur_simus ENSPSMG00000020692
castor_canadensis ENSCCNG00000030089
oryctolagus_cuniculus ENSOCUG00000010097
tursiops_truncatus ENSTTRG00000004976
vicugna_pacos ENSVPAG00000005299
pteropus_vampyrus ENSPVAG00000003669
sorex_araneus ENSSARG00000011580
echinops_telfairi ENSETEG00000017714
procavia_capensis ENSPCAG00000016458
loxodonta_africana ENSLAFG00000008805
dasypus_novemcinctus ENSDNOG00000033950
monodelphis_domestica ENSMODG00000005107
sarcophilus_harrisii ENSSHAG00000009636
notamacropus_eugenii ENSMEUG00000010354
chelonoidis_abingdonii ENSCABG00000015349
