pan_paniscus ENSPPAG00000036946
pan_troglodytes ENSPTRG00000007981
gorilla_gorilla ENSGGOG00000012028
homo_sapiens ENSG00000167194
pongo_abelii ENSPPYG00000007247
rhinopithecus_bieti ENSRBIG00000028784
rhinopithecus_roxellana ENSRROG00000034755
colobus_angolensis_palliatus ENSCANG00000033640
cercocebus_atys ENSCATG00000037291
mandrillus_leucophaeus ENSMLEG00000032028
macaca_mulatta ENSMMUG00000012245
macaca_fascicularis ENSMFAG00000034119
macaca_nemestrina ENSMNEG00000041187
papio_anubis ENSPANG00000016291
theropithecus_gelada ENSTGEG00000008705
chlorocebus_sabaeus ENSCSAG00000006159
saimiri_boliviensis_boliviensis ENSSBOG00000024582
cebus_capucinus ENSCCAG00000037624
callithrix_jacchus ENSCJAG00000006902
aotus_nancymaae ENSANAG00000035410
carlito_syrichta ENSTSYG00000003859
microcebus_murinus ENSMICG00000009112
otolemur_garnettii ENSOGAG00000003727
ochotona_princeps ENSOPRG00000009734
oryctolagus_cuniculus ENSOCUG00000021169
sorex_araneus ENSSARG00000001676
erinaceus_europaeus ENSEEUG00000006952
mus_spicilegus ENSMSIG00000027476
mus_musculus ENSMUSG00000045989
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0031582
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0030468
mus_pahari MGP_PahariEiJ_G0013678
rattus_norvegicus ENSRNOG00000036713
meriones_unguiculatus ENSMUGG00000012302
peromyscus_maniculatus_bairdii ENSPEMG00000009118
microtus_ochrogaster ENSMOCG00000014477
cricetulus_griseus_chok1gshd ENSCGRG00001019334
cricetulus_griseus_crigri-picr ENSCGRG00015025438
cricetulus_griseus_crigri ENSCGRG00000009040
mesocricetus_auratus ENSMAUG00000010675
nannospalax_galili ENSNGAG00000022713
jaculus_jaculus ENSJJAG00000013068
marmota_marmota_marmota ENSMMMG00000023734
ictidomys_tridecemlineatus ENSSTOG00000015001
spermophilus_dauricus ENSSDAG00000007456
urocitellus_parryii ENSUPAG00010009627
chinchilla_lanigera ENSCLAG00000012422
cavia_porcellus ENSCPOG00000010422
heterocephalus_glaber_male ENSHGLG00100001938
heterocephalus_glaber_female ENSHGLG00000011015
fukomys_damarensis ENSFDAG00000011382
prolemur_simus ENSPSMG00000001207
prolemur_simus ENSPSMG00000020261
prolemur_simus ENSPSMG00000001218
sus_scrofa ENSSSCG00000037075
bison_bison_bison ENSBBBG00000017414
bos_taurus ENSBTAG00000048797
ovis_aries ENSOARG00000004282
tursiops_truncatus ENSTTRG00000005523
pteropus_vampyrus ENSPVAG00000010552
mustela_putorius_furo ENSMPUG00000012556
neovison_vison ENSNVIG00000000197
vulpes_vulpes ENSVVUG00000026049
canis_lupus_dingo ENSCAFG00020017676
ursus_maritimus ENSUMAG00000011072
ursus_americanus ENSUAMG00000024147
ailuropoda_melanoleuca ENSAMEG00000015169
canis_lupus_familiaris ENSCAFG00000017083
panthera_tigris_altaica ENSPTIG00000012553
panthera_pardus ENSPPRG00000006308
felis_catus ENSFCAG00000045204
procavia_capensis ENSPCAG00000000051
loxodonta_africana ENSLAFG00000032500
dasypus_novemcinctus ENSDNOG00000011079
choloepus_hoffmanni ENSCHOG00000003054
notamacropus_eugenii ENSMEUG00000013040
