parus_major ENSPMJG00000010991
melopsittacus_undulatus ENSMUNG00000005308
manacus_vitellinus ENSMVIG00005011464
lepidothrix_coronata ENSLCOG00000010803
cyanistes_caeruleus ENSCCEG00000015284
serinus_canaria ENSSCAG00000000811
numida_meleagris ENSNMEG00000017142
coturnix_japonica ENSCJPG00005017459
anas_platyrhynchos_platyrhynchos ENSAPLG00000027848
calidris_pygmaea ENSCPGG00000009247
calidris_pugnax ENSCPUG00000007171
apteryx_haastii ENSAHAG00000002459
apteryx_owenii ENSAOWG00000001126
nothoprocta_perdicaria ENSNPEG00000002529
gopherus_agassizii ENSGAGG00000025769
chelonoidis_abingdonii ENSCABG00000002564
