periophthalmus_magnuspinnatus ENSPMGG00000015527
seriola_lalandi_dorsalis ENSSLDG00000004768
xiphophorus_couchianus ENSXCOG00000004155
bos_mutus ENSBMUG00000025805
bos_taurus ENSBTAG00000053224
bison_bison_bison ENSBBBG00000008575
capra_hircus ENSCHIG00000007600
bos_taurus ENSBTAG00000051877
vulpes_vulpes ENSVVUG00000004232
spermophilus_dauricus ENSSDAG00000014381
spermophilus_dauricus ENSSDAG00000010850
urocitellus_parryii ENSUPAG00010003405
marmota_marmota_marmota ENSMMMG00000022149
sarcophilus_harrisii ENSSHAG00000017845
phascolarctos_cinereus ENSPCIG00000031251
numida_meleagris ENSNMEG00000005179
ciona_savignyi ENSCSAVG00000000910
