xiphophorus_maculatus ENSXMAG00000027599
xiphophorus_couchianus ENSXCOG00000007903
cyprinodon_variegatus ENSCVAG00000004586
oryzias_latipes ENSORLG00020018352
oryzias_latipes ENSORLG00015004571
oryzias_latipes ENSORLG00000023223
oryzias_melastigma ENSOMEG00000008905
gouania_willdenowi ENSGWIG00000013092
lates_calcarifer ENSLCAG00010014062
mastacembelus_armatus ENSMAMG00000022164
periophthalmus_magnuspinnatus ENSPMGG00000009325
amphiprion_ocellaris ENSAOCG00000000702
parambassis_ranga ENSPRNG00000000107
oryzias_melastigma ENSOMEG00000009106
haplochromis_burtoni ENSHBUG00000001880
lates_calcarifer ENSLCAG00010015431
scophthalmus_maximus ENSSMAG00000021052
labrus_bergylta ENSLBEG00000005887
fundulus_heteroclitus ENSFHEG00000014353
cyprinodon_variegatus ENSCVAG00000022771
mola_mola ENSMMOG00000018719
hippocampus_comes ENSHCOG00000010036
electrophorus_electricus ENSEEEG00000010867
clupea_harengus ENSCHAG00000017647
