oryzias_melastigma ENSOMEG00000009388
oryzias_latipes ENSORLG00000024006
amphilophus_citrinellus ENSACIG00000024217
pundamilia_nyererei ENSPNYG00000008465
xiphophorus_maculatus ENSXMAG00000028403
poecilia_reticulata ENSPREG00000011671
poecilia_formosa ENSPFOG00000023497
poecilia_reticulata ENSPREG00000022585
xiphophorus_maculatus ENSXMAG00000022518
poecilia_reticulata ENSPREG00000022591
poecilia_formosa ENSPFOG00000010729
gambusia_affinis ENSGAFG00000003806
xiphophorus_couchianus ENSXCOG00000008824
xiphophorus_maculatus ENSXMAG00000022440
fundulus_heteroclitus ENSFHEG00000000866
poecilia_latipinna ENSPLAG00000002772
poecilia_mexicana ENSPMEG00000013767
xiphophorus_maculatus ENSXMAG00000026978
poecilia_reticulata ENSPREG00000011658
pundamilia_nyererei ENSPNYG00000001548
pundamilia_nyererei ENSPNYG00000001559
neolamprologus_brichardi ENSNBRG00000009868
amphilophus_citrinellus ENSACIG00000008275
amphiprion_ocellaris ENSAOCG00000011777
seriola_dumerili ENSSDUG00000008574
anabas_testudineus ENSATEG00000020888
hippocampus_comes ENSHCOG00000015102
hippocampus_comes ENSHCOG00000015131
hippocampus_comes ENSHCOG00000015243
periophthalmus_magnuspinnatus ENSPMGG00000011610
takifugu_rubripes ENSTRUG00000025737
