cynoglossus_semilaevis ENSCSEG00000001054
periophthalmus_magnuspinnatus ENSPMGG00000023331
takifugu_rubripes ENSTRUG00000014007
tetraodon_nigroviridis ENSTNIG00000017677
mola_mola ENSMMOG00000006266
labrus_bergylta ENSLBEG00000022658
amphiprion_percula ENSAPEG00000016743
amphiprion_ocellaris ENSAOCG00000014697
acanthochromis_polyacanthus ENSAPOG00000023030
stegastes_partitus ENSSPAG00000013964
astatotilapia_calliptera ENSACLG00000017876
maylandia_zebra ENSMZEG00005020629
pundamilia_nyererei ENSPNYG00000012100
haplochromis_burtoni ENSHBUG00000023151
neolamprologus_brichardi ENSNBRG00000004916
oreochromis_niloticus ENSONIG00000003105
amphilophus_citrinellus ENSACIG00000000334
fundulus_heteroclitus ENSFHEG00000000298
cyprinodon_variegatus ENSCVAG00000013136
poecilia_mexicana ENSPMEG00000024175
poecilia_latipinna ENSPLAG00000006632
poecilia_formosa ENSPFOG00000018594
poecilia_reticulata ENSPREG00000018410
xiphophorus_maculatus ENSXMAG00000026559
gambusia_affinis ENSGAFG00000019241
kryptolebias_marmoratus ENSKMAG00000013560
oryzias_latipes ENSORLG00000016203
oryzias_latipes ENSORLG00020018118
oryzias_latipes_asm223469v1 ENSORLG00015013822
oryzias_melastigma ENSOMEG00000005014
monopterus_albus ENSMALG00000013733
mastacembelus_armatus ENSMAMG00000013528
anabas_testudineus ENSATEG00000013953
seriola_dumerili ENSSDUG00000020488
seriola_lalandi_dorsalis ENSSLDG00000013548
scophthalmus_maximus ENSSMAG00000012885
hippocampus_comes ENSHCOG00000012048
esox_lucius ENSELUG00000005765
pygocentrus_nattereri ENSPNAG00000026009
astyanax_mexicanus ENSAMXG00000029597
ictalurus_punctatus ENSIPUG00000001148
danio_rerio ENSDARG00000074949
paramormyrops_kingsleyae ENSPKIG00000006363
scleropages_formosus ENSSFOG00015018314
lepisosteus_oculatus ENSLOCG00000009865
phascolarctos_cinereus ENSPCIG00000018529
notamacropus_eugenii ENSMEUG00000001999
sarcophilus_harrisii ENSSHAG00000007411
tursiops_truncatus ENSTTRG00000001885
vicugna_pacos ENSVPAG00000006187
sus_scrofa ENSSSCG00000008737
capra_hircus ENSCHIG00000011783
ovis_aries ENSOARG00000008859
bos_taurus ENSBTAG00000010343
bos_mutus ENSBMUG00000002973
bison_bison_bison ENSBBBG00000014745
equus_caballus ENSECAG00000007989
equus_asinus_asinus ENSEASG00005005409
myotis_lucifugus ENSMLUG00000009144
pteropus_vampyrus ENSPVAG00000007734
ursus_maritimus ENSUMAG00000001632
ursus_americanus ENSUAMG00000018698
ailuropoda_melanoleuca ENSAMEG00000001505
neovison_vison ENSNVIG00000000389
mustela_putorius_furo ENSMPUG00000002122
canis_lupus_familiaris ENSCAFG00000031380
canis_lupus_dingo ENSCAFG00020011417
vulpes_vulpes ENSVVUG00000015317
panthera_tigris_altaica ENSPTIG00000014769
panthera_pardus ENSPPRG00000009626
felis_catus ENSFCAG00000036933
pan_paniscus ENSPPAG00000000881
pan_troglodytes ENSPTRG00000015925
homo_sapiens ENSG00000163145
gorilla_gorilla ENSGGOG00000005890
pongo_abelii ENSPPYG00000014614
nomascus_leucogenys ENSNLEG00000016288
piliocolobus_tephrosceles ENSPTEG00000037802
colobus_angolensis_palliatus ENSCANG00000028166
rhinopithecus_bieti ENSRBIG00000017615
rhinopithecus_roxellana ENSRROG00000044883
