mandrillus_leucophaeus ENSMLEG00000025291
cercocebus_atys ENSCATG00000018410
macaca_nemestrina ENSMNEG00000045255
rhinopithecus_bieti ENSRBIG00000034805
piliocolobus_tephrosceles ENSPTEG00000020473
theropithecus_gelada ENSTGEG00000013594
papio_anubis ENSPANG00000035689
macaca_fascicularis ENSMFAG00000001504
rhinopithecus_bieti ENSRBIG00000028598
rhinopithecus_roxellana ENSRROG00000029736
colobus_angolensis ENSCANG00000035751
pan_troglodytes ENSPTRG00000052696
gorilla_gorilla ENSGGOG00000036854
nomascus_leucogenys ENSNLEG00000031101
