cyprinodon_variegatus ENSCVAG00000000937
poecilia_mexicana ENSPMEG00000014425
haplochromis_burtoni ENSHBUG00000014082
astatotilapia_calliptera ENSACLG00000017662
acanthochromis_polyacanthus ENSAPOG00000006881
gouania_willdenowi ENSGWIG00000014628
gasterosteus_aculeatus ENSGACG00000004593
seriola_lalandi ENSSLDG00000024335
seriola_dumerili ENSSDUG00000008802
cynoglossus_semilaevis ENSCSEG00000002352
labrus_bergylta ENSLBEG00000016912
larimichthys_crocea ENSLCRG00005011256
tetraodon_nigroviridis ENSTNIG00000001490
periophthalmus_magnuspinnatus ENSPMGG00000020166
hippocampus_comes ENSHCOG00000013533
astyanax_mexicanus ENSAMXG00005017059
astyanax_mexicanus ENSAMXG00000039657
pygocentrus_nattereri ENSPNAG00000013112
electrophorus_electricus ENSEEEG00000001656
clupea_harengus ENSCHAG00000006620
esox_lucius ENSELUG00000003554
astyanax_mexicanus ENSAMXG00000033686
ictalurus_punctatus ENSIPUG00000021090
xiphophorus_couchianus ENSXCOG00000020720
eptatretus_burgeri ENSEBUG00000016540
caenorhabditis_elegans WBGene00009386
