rhinopithecus_bieti ENSRBIG00000033976
rhinopithecus_roxellana ENSRROG00000043466
colobus_angolensis ENSCANG00000009337
piliocolobus_tephrosceles ENSPTEG00000001349
macaca_fascicularis ENSMFAG00000001871
macaca_mulatta ENSMMUG00000016851
macaca_nemestrina ENSMNEG00000037283
papio_anubis ENSPANG00000030177
cercocebus_atys ENSCATG00000036195
theropithecus_gelada ENSTGEG00000009832
mandrillus_leucophaeus ENSMLEG00000031976
pan_paniscus ENSPPAG00000039222
pan_troglodytes ENSPTRG00000042677
gorilla_gorilla ENSGGOG00000042804
pongo_abelii ENSPPYG00000011214
nomascus_leucogenys ENSNLEG00000031811
callithrix_jacchus ENSCJAG00000069535
prolemur_simus ENSPSMG00000016742
peromyscus_maniculatus ENSPEMG00000031188
cricetulus_griseus ENSCGRG00015015861
bos_indicus ENSBIXG00005020790
bos_indicus ENSBIXG00000020387
bos_mutus ENSBMUG00000022435
bos_taurus ENSBTAG00000051754
bison_bison ENSBBBG00000007619
sus_scrofa ENSSSCG00000040565
vulpes_vulpes ENSVVUG00000015436
canis_lupus ENSCAFG00020001006
neovison_vison ENSNVIG00000020092
ursus_americanus ENSUAMG00000012853
ursus_maritimus ENSUMAG00000022371
equus_asinus ENSEASG00005023201
equus_caballus ENSECAG00000030764
erinaceus_europaeus ENSEEUG00000010356
phascolarctos_cinereus ENSPCIG00000009708
