numida_meleagris ENSNMEG00000020090
meleagris_gallopavo ENSMGAG00000006188
anser_brachyrhynchus ENSABRG00000011644
anas_platyrhynchos_platyrhynchos ENSAPLG00000028367
taeniopygia_guttata ENSTGUG00000004594
apteryx_owenii ENSAOWG00000003701
apteryx_haastii ENSAHAG00000015058
apteryx_rowi ENSARWG00000018792
dromaius_novaehollandiae ENSDNVG00000007502
nothoprocta_perdicaria ENSNPEG00000005403
crocodylus_porosus ENSCPRG00005017699
chelonoidis_abingdonii ENSCABG00000008957
anolis_carolinensis ENSACAG00000028682
notechis_scutatus ENSNSUG00000006549
salvator_merianae ENSSMRG00000014576
fukomys_damarensis ENSFDAG00000021009
dipodomys_ordii ENSDORG00000025236
pan_paniscus ENSPPAG00000001260
carlito_syrichta ENSTSYG00000029817
pteropus_vampyrus ENSPVAG00000011929
erinaceus_europaeus ENSEEUG00000014328
scleropages_formosus ENSSFOG00015004383
