maylandia_zebra ENSMZEG00005003897
astatotilapia_calliptera ENSACLG00000006521
pundamilia_nyererei ENSPNYG00000010293
haplochromis_burtoni ENSHBUG00000022609
neolamprologus_brichardi ENSNBRG00000010861
amphilophus_citrinellus ENSACIG00000023081
amphiprion_ocellaris ENSAOCG00000001996
amphiprion_percula ENSAPEG00000017128
stegastes_partitus ENSSPAG00000022204
gambusia_affinis ENSGAFG00000008680
seriola_lalandi_dorsalis ENSSLDG00000015719
mola_mola ENSMMOG00000010995
hippocampus_comes ENSHCOG00000016746
esox_lucius ENSELUG00000009786
