peromyscus_maniculatus_bairdii ENSPEMG00000004450
microtus_ochrogaster ENSMOCG00000017940
cricetulus_griseus_crigri-picr ENSCGRG00015005632
mesocricetus_auratus ENSMAUG00000020466
mus_musculus ENSMUSG00000028407
mus_spicilegus ENSMSIG00000024832
meriones_unguiculatus ENSMUGG00000024405
nannospalax_galili ENSNGAG00000000030
jaculus_jaculus ENSJJAG00000013866
spermophilus_dauricus ENSSDAG00000000830
marmota_marmota_marmota ENSMMMG00000008846
urocitellus_parryii ENSUPAG00010007842
castor_canadensis ENSCCNG00000029381
