choloepus_hoffmanni ENSCHOG00000012006
dasypus_novemcinctus ENSDNOG00000042540
pan_troglodytes ENSPTRG00000003804
pan_paniscus ENSPPAG00000033745
homo_sapiens ENSG00000133321
gorilla_gorilla ENSGGOG00000000281
pongo_abelii ENSPPYG00000003131
nomascus_leucogenys ENSNLEG00000035013
macaca_fascicularis ENSMFAG00000035178
macaca_mulatta ENSMMUG00000045105
macaca_nemestrina ENSMNEG00000045290
mandrillus_leucophaeus ENSMLEG00000043996
cercocebus_atys ENSCATG00000042576
theropithecus_gelada ENSTGEG00000014744
papio_anubis ENSPANG00000005283
chlorocebus_sabaeus ENSCSAG00000006839
rhinopithecus_roxellana ENSRROG00000043528
rhinopithecus_bieti ENSRBIG00000042937
colobus_angolensis_palliatus ENSCANG00000043361
piliocolobus_tephrosceles ENSPTEG00000016096
cebus_capucinus ENSCCAG00000022470
saimiri_boliviensis_boliviensis ENSSBOG00000022541
callithrix_jacchus ENSCJAG00000018491
aotus_nancymaae ENSANAG00000032580
carlito_syrichta ENSTSYG00000013038
propithecus_coquereli ENSPCOG00000026183
prolemur_simus ENSPSMG00000004378
microcebus_murinus ENSMICG00000044321
otolemur_garnettii ENSOGAG00000005197
ursus_maritimus ENSUMAG00000016884
ursus_americanus ENSUAMG00000005532
ailuropoda_melanoleuca ENSAMEG00000005778
canis_lupus_dingo ENSCAFG00020013883
canis_lupus_familiaris ENSCAFG00000015087
vulpes_vulpes ENSVVUG00000029807
erinaceus_europaeus ENSEEUG00000003093
equus_asinus_asinus ENSEASG00005020101
equus_caballus ENSECAG00000031322
equus_caballus ENSECAG00000032959
equus_caballus ENSECAG00000019754
equus_asinus_asinus ENSEASG00005020110
equus_caballus ENSECAG00000036003
vicugna_pacos ENSVPAG00000000801
myotis_lucifugus ENSMLUG00000026251
myotis_lucifugus ENSMLUG00000030657
myotis_lucifugus ENSMLUG00000030115
myotis_lucifugus ENSMLUG00000030342
myotis_lucifugus ENSMLUG00000026517
myotis_lucifugus ENSMLUG00000024541
myotis_lucifugus ENSMLUG00000028902
myotis_lucifugus ENSMLUG00000022647
myotis_lucifugus ENSMLUG00000027447
myotis_lucifugus ENSMLUG00000027567
myotis_lucifugus ENSMLUG00000026896
myotis_lucifugus ENSMLUG00000027436
myotis_lucifugus ENSMLUG00000027799
myotis_lucifugus ENSMLUG00000029010
myotis_lucifugus ENSMLUG00000024108
myotis_lucifugus ENSMLUG00000026356
tupaia_belangeri ENSTBEG00000004041
tupaia_belangeri ENSTBEG00000004279
tupaia_belangeri ENSTBEG00000004668
piliocolobus_tephrosceles ENSPTEG00000016010
theropithecus_gelada ENSTGEG00000014776
ochotona_princeps ENSOPRG00000017148
procavia_capensis ENSPCAG00000009924
echinops_telfairi ENSETEG00000000363
spermophilus_dauricus ENSSDAG00000010385
urocitellus_parryii ENSUPAG00010008937
marmota_marmota_marmota ENSMMMG00000006663
sorex_araneus ENSSARG00000011775
astyanax_mexicanus ENSAMXG00000017456
poecilia_mexicana ENSPMEG00000009672
