amphiprion_percula ENSAPEG00000012472
amphiprion_ocellaris ENSAOCG00000001645
acanthochromis_polyacanthus ENSAPOG00000017154
stegastes_partitus ENSSPAG00000007967
periophthalmus_magnuspinnatus ENSPMGG00000014591
cynoglossus_semilaevis ENSCSEG00000013637
hippocampus_comes ENSHCOG00000019582
cyprinodon_variegatus ENSCVAG00000015840
fundulus_heteroclitus ENSFHEG00000009808
oryzias_latipes ENSORLG00020003842
oryzias_latipes ENSORLG00000015494
oryzias_latipes_asm223469v1 ENSORLG00015005029
oryzias_melastigma ENSOMEG00000022911
monopterus_albus ENSMALG00000004524
scophthalmus_maximus ENSSMAG00000007227
mola_mola ENSMMOG00000005739
mola_mola ENSMMOG00000005734
tetraodon_nigroviridis ENSTNIG00000004439
takifugu_rubripes ENSTRUG00000017997
gasterosteus_aculeatus ENSGACG00000006855
labrus_bergylta ENSLBEG00000028007
poecilia_mexicana ENSPMEG00000015993
poecilia_mexicana ENSPMEG00000005543
poecilia_formosa ENSPFOG00000007677
poecilia_latipinna ENSPLAG00000012361
poecilia_reticulata ENSPREG00000013599
xiphophorus_maculatus ENSXMAG00000028654
xiphophorus_couchianus ENSXCOG00000014302
gambusia_affinis ENSGAFG00000010944
kryptolebias_marmoratus ENSKMAG00000001185
pundamilia_nyererei ENSPNYG00000015940
maylandia_zebra ENSMZEG00005010996
haplochromis_burtoni ENSHBUG00000002705
astatotilapia_calliptera ENSACLG00000020580
neolamprologus_brichardi ENSNBRG00000004611
oreochromis_niloticus ENSONIG00000004350
amphilophus_citrinellus ENSACIG00000001458
mastacembelus_armatus ENSMAMG00000017820
anabas_testudineus ENSATEG00000001812
seriola_dumerili ENSSDUG00000013034
seriola_lalandi_dorsalis ENSSLDG00000022402
esox_lucius ENSELUG00000003046
petromyzon_marinus ENSPMAG00000008896
eptatretus_burgeri ENSEBUG00000003440
gadus_morhua ENSGMOG00000007105
paramormyrops_kingsleyae ENSPKIG00000007549
esox_lucius ENSELUG00000007813
astyanax_mexicanus ENSAMXG00000029355
