amphiprion_ocellaris ENSAOCG00000008001
amphiprion_percula ENSAPEG00000004599
acanthochromis_polyacanthus ENSAPOG00000023310
stegastes_partitus ENSSPAG00000003470
maylandia_zebra ENSMZEG00005016996
haplochromis_burtoni ENSHBUG00000015554
astatotilapia_calliptera ENSACLG00000024655
neolamprologus_brichardi ENSNBRG00000003684
hippocampus_comes ENSHCOG00000008976
xiphophorus_maculatus ENSXMAG00000006469
gambusia_affinis ENSGAFG00000014331
poecilia_formosa ENSPFOG00000024439
poecilia_latipinna ENSPLAG00000023897
poecilia_mexicana ENSPMEG00000021515
poecilia_reticulata ENSPREG00000008742
cyprinodon_variegatus ENSCVAG00000007329
oryzias_latipes ENSORLG00000007901
oryzias_latipes ENSORLG00020015768
oryzias_latipes_asm223469v1 ENSORLG00015011569
labrus_bergylta ENSLBEG00000002352
takifugu_rubripes ENSTRUG00000021946
monopterus_albus ENSMALG00000019457
mastacembelus_armatus ENSMAMG00000003688
anabas_testudineus ENSATEG00000014738
scophthalmus_maximus ENSSMAG00000021194
cynoglossus_semilaevis ENSCSEG00000018603
seriola_dumerili ENSSDUG00000008086
