oryzias_melastigma ENSOMEG00000001033
oryzias_latipes ENSORLG00015001679
cyprinodon_variegatus ENSCVAG00000014296
cyprinodon_variegatus ENSCVAG00000020416
scophthalmus_maximus ENSSMAG00000010731
gambusia_affinis ENSGAFG00000008573
acanthochromis_polyacanthus ENSAPOG00000000585
cynoglossus_semilaevis ENSCSEG00000007137
eptatretus_burgeri ENSEBUG00000004930
eptatretus_burgeri ENSEBUG00000010203
ciona_intestinalis ENSCING00000012938
drosophila_melanogaster FBgn0036587
latimeria_chalumnae ENSLACG00000001680
astyanax_mexicanus ENSAMXG00000034637
anas_platyrhynchos ENSAPLG00000018068
drosophila_melanogaster FBgn0262473
ciona_intestinalis ENSCING00000008196
ciona_savignyi ENSCSAVG00000000231
drosophila_melanogaster FBgn0243486
gambusia_affinis ENSGAFG00000016609
