petromyzon_marinus ENSPMAG00000007399
eptatretus_burgeri ENSEBUG00000012929
ciona_intestinalis ENSCING00000013152
ciona_savignyi ENSCSAVG00000007853
cavia_porcellus ENSCPOG00000036047
piliocolobus_tephrosceles ENSPTEG00000007711
amphiprion_ocellaris ENSAOCG00000002349
amphiprion_percula ENSAPEG00000003219
acanthochromis_polyacanthus ENSAPOG00000001263
stegastes_partitus ENSSPAG00000008987
oryzias_latipes_asm223469v1 ENSORLG00015018344
oryzias_latipes ENSORLG00020019411
oryzias_latipes ENSORLG00000006573
oryzias_melastigma ENSOMEG00000000853
fundulus_heteroclitus ENSFHEG00000008314
cyprinodon_variegatus ENSCVAG00000010858
poecilia_latipinna ENSPLAG00000011938
poecilia_mexicana ENSPMEG00000006735
poecilia_formosa ENSPFOG00000001191
gambusia_affinis ENSGAFG00000018514
xiphophorus_maculatus ENSXMAG00000000165
xiphophorus_couchianus ENSXCOG00000016530
poecilia_reticulata ENSPREG00000021083
kryptolebias_marmoratus ENSKMAG00000000339
pundamilia_nyererei ENSPNYG00000016366
maylandia_zebra ENSMZEG00005020352
haplochromis_burtoni ENSHBUG00000000911
astatotilapia_calliptera ENSACLG00000023696
neolamprologus_brichardi ENSNBRG00000017246
oreochromis_niloticus ENSONIG00000012376
amphilophus_citrinellus ENSACIG00000007981
labrus_bergylta ENSLBEG00000026354
monopterus_albus ENSMALG00000011003
seriola_dumerili ENSSDUG00000004821
anabas_testudineus ENSATEG00000014639
mastacembelus_armatus ENSMAMG00000015451
mola_mola ENSMMOG00000011156
seriola_lalandi_dorsalis ENSSLDG00000002163
tetraodon_nigroviridis ENSTNIG00000005936
takifugu_rubripes ENSTRUG00000020483
gasterosteus_aculeatus ENSGACG00000015810
cynoglossus_semilaevis ENSCSEG00000007000
hippocampus_comes ENSHCOG00000011836
esox_lucius ENSELUG00000018181
gadus_morhua ENSGMOG00000017528
cynoglossus_semilaevis ENSCSEG00000012182
pygocentrus_nattereri ENSPNAG00000020369
astyanax_mexicanus ENSAMXG00000011931
ictalurus_punctatus ENSIPUG00000013093
danio_rerio ENSDARG00000053318
paramormyrops_kingsleyae ENSPKIG00000007235
scleropages_formosus ENSSFOG00015020779
lepisosteus_oculatus ENSLOCG00000012709
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0020744
mus_musculus ENSMUSG00000022375
mus_spicilegus ENSMSIG00000029944
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0019846
mus_pahari MGP_PahariEiJ_G0019851
rattus_norvegicus ENSRNOG00000005233
meriones_unguiculatus ENSMUGG00000012019
cricetulus_griseus_chok1gshd ENSCGRG00001010334
cricetulus_griseus_crigri-picr ENSCGRG00015001813
mesocricetus_auratus ENSMAUG00000018373
microtus_ochrogaster ENSMOCG00000022669
peromyscus_maniculatus_bairdii ENSPEMG00000013800
nannospalax_galili ENSNGAG00000006342
jaculus_jaculus ENSJJAG00000014339
heterocephalus_glaber_female ENSHGLG00000007769
heterocephalus_glaber_male ENSHGLG00100007052
fukomys_damarensis ENSFDAG00000015448
chinchilla_lanigera ENSCLAG00000001275
chinchilla_lanigera ENSCLAG00000006997
dipodomys_ordii ENSDORG00000007605
urocitellus_parryii ENSUPAG00010006850
ictidomys_tridecemlineatus ENSSTOG00000011647
marmota_marmota_marmota ENSMMMG00000003839
oryctolagus_cuniculus ENSOCUG00000009754
ochotona_princeps ENSOPRG00000008776
octodon_degus ENSODEG00000000570
