amphiprion_percula ENSAPEG00000016286
amphiprion_ocellaris ENSAOCG00000014414
acanthochromis_polyacanthus ENSAPOG00000022563
stegastes_partitus ENSSPAG00000003174
fundulus_heteroclitus ENSFHEG00000015595
cyprinodon_variegatus ENSCVAG00000003370
poecilia_mexicana ENSPMEG00000011246
poecilia_formosa ENSPFOG00000007324
poecilia_latipinna ENSPLAG00000000775
poecilia_reticulata ENSPREG00000011811
xiphophorus_maculatus ENSXMAG00000015675
xiphophorus_couchianus ENSXCOG00000009403
gambusia_affinis ENSGAFG00000010932
kryptolebias_marmoratus ENSKMAG00000001821
oryzias_latipes ENSORLG00020022009
oryzias_latipes ENSORLG00000010872
oryzias_latipes_asm223469v1 ENSORLG00015019925
oryzias_melastigma ENSOMEG00000019079
astatotilapia_calliptera ENSACLG00000004715
maylandia_zebra ENSMZEG00005000915
maylandia_zebra ENSMZEG00005000075
haplochromis_burtoni ENSHBUG00000013956
pundamilia_nyererei ENSPNYG00000022574
neolamprologus_brichardi ENSNBRG00000021068
oreochromis_niloticus ENSONIG00000011064
amphilophus_citrinellus ENSACIG00000012393
scophthalmus_maximus ENSSMAG00000012827
cynoglossus_semilaevis ENSCSEG00000003911
seriola_lalandi_dorsalis ENSSLDG00000010934
seriola_dumerili ENSSDUG00000021776
monopterus_albus ENSMALG00000012233
mastacembelus_armatus ENSMAMG00000016970
anabas_testudineus ENSATEG00000013757
takifugu_rubripes ENSTRUG00000007835
tetraodon_nigroviridis ENSTNIG00000006426
mola_mola ENSMMOG00000019314
mola_mola ENSMMOG00000018567
labrus_bergylta ENSLBEG00000016122
gasterosteus_aculeatus ENSGACG00000013081
periophthalmus_magnuspinnatus ENSPMGG00000014263
gadus_morhua ENSGMOG00000011933
esox_lucius ENSELUG00000024553
pygocentrus_nattereri ENSPNAG00000000923
astyanax_mexicanus ENSAMXG00000034294
ictalurus_punctatus ENSIPUG00000006487
danio_rerio ENSDARG00000018006
scleropages_formosus ENSSFOG00015004508
paramormyrops_kingsleyae ENSPKIG00000014616
lepisosteus_oculatus ENSLOCG00000008664
phascolarctos_cinereus ENSPCIG00000013233
notamacropus_eugenii ENSMEUG00000012543
sarcophilus_harrisii ENSSHAG00000013341
monodelphis_domestica ENSMODG00000012904
dasypus_novemcinctus ENSDNOG00000041333
dasypus_novemcinctus ENSDNOG00000047261
cebus_capucinus ENSCCAG00000029277
callithrix_jacchus ENSCJAG00000006619
saimiri_boliviensis_boliviensis ENSSBOG00000032532
saimiri_boliviensis_boliviensis ENSSBOG00000026336
cebus_capucinus ENSCCAG00000024536
aotus_nancymaae ENSANAG00000006197
piliocolobus_tephrosceles ENSPTEG00000007169
colobus_angolensis_palliatus ENSCANG00000028197
rhinopithecus_roxellana ENSRROG00000033083
rhinopithecus_bieti ENSRBIG00000015913
chlorocebus_sabaeus ENSCSAG00000010500
mandrillus_leucophaeus ENSMLEG00000026137
macaca_nemestrina ENSMNEG00000023345
macaca_fascicularis ENSMFAG00000040460
macaca_mulatta ENSMMUG00000003443
theropithecus_gelada ENSTGEG00000005571
cercocebus_atys ENSCATG00000037353
papio_anubis ENSPANG00000026052
pan_paniscus ENSPPAG00000042226
pan_troglodytes ENSPTRG00000006705
homo_sapiens ENSG00000100749
gorilla_gorilla ENSGGOG00000004089
pongo_abelii ENSPPYG00000029830
nomascus_leucogenys ENSNLEG00000000646
carlito_syrichta ENSTSYG00000014466
carlito_syrichta ENSTSYG00000026565
prolemur_simus ENSPSMG00000023797
propithecus_coquereli ENSPCOG00000022627
microcebus_murinus ENSMICG00000034345
carlito_syrichta ENSTSYG00000029153
otolemur_garnettii ENSOGAG00000016785
microcebus_murinus ENSMICG00000030687
aotus_nancymaae ENSANAG00000029782
tupaia_belangeri ENSTBEG00000003153
ictidomys_tridecemlineatus ENSSTOG00000011492
marmota_marmota_marmota ENSMMMG00000002184
urocitellus_parryii ENSUPAG00010020732
spermophilus_dauricus ENSSDAG00000003800
octodon_degus ENSODEG00000009241
octodon_degus ENSODEG00000006817
octodon_degus ENSODEG00000002522
chinchilla_lanigera ENSCLAG00000014417
heterocephalus_glaber_female ENSHGLG00000005848
heterocephalus_glaber_male ENSHGLG00100011660
heterocephalus_glaber_female ENSHGLG00000006143
heterocephalus_glaber_male ENSHGLG00100008438
heterocephalus_glaber_male ENSHGLG00100004354
heterocephalus_glaber_female ENSHGLG00000005277
fukomys_damarensis ENSFDAG00000021286
cavia_porcellus ENSCPOG00000001772
cavia_aperea ENSCAPG00000012815
castor_canadensis ENSCCNG00000030516
dipodomys_ordii ENSDORG00000007474
cricetulus_griseus_crigri-picr ENSCGRG00015013134
cricetulus_griseus_crigri ENSCGRG00000016925
cricetulus_griseus_chok1gshd ENSCGRG00001013851
mesocricetus_auratus ENSMAUG00000006754
microtus_ochrogaster ENSMOCG00000020450
peromyscus_maniculatus_bairdii ENSPEMG00000013231
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0018944
mus_spicilegus ENSMSIG00000010465
mus_musculus ENSMUSG00000021115
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0018094
mus_pahari MGP_PahariEiJ_G0029851
rattus_norvegicus ENSRNOG00000005274
meriones_unguiculatus ENSMUGG00000005686
nannospalax_galili ENSNGAG00000024250
jaculus_jaculus ENSJJAG00000019139
jaculus_jaculus ENSJJAG00000022424
oryctolagus_cuniculus ENSOCUG00000021326
ochotona_princeps ENSOPRG00000004668
sorex_araneus ENSSARG00000009110
loxodonta_africana ENSLAFG00000008883
procavia_capensis ENSPCAG00000006242
capra_hircus ENSCHIG00000022864
ovis_aries ENSOARG00000000106
bos_mutus ENSBMUG00000001932
bos_taurus ENSBTAG00000014230
bison_bison_bison ENSBBBG00000023072
sus_scrofa ENSSSCG00000002506
tursiops_truncatus ENSTTRG00000005719
vicugna_pacos ENSVPAG00000008974
vicugna_pacos ENSVPAG00000004373
ursus_americanus ENSUAMG00000019297
ursus_maritimus ENSUMAG00000002317
ailuropoda_melanoleuca ENSAMEG00000014202
neovison_vison ENSNVIG00000004984
mustela_putorius_furo ENSMPUG00000003048
canis_lupus_dingo ENSCAFG00020011419
canis_lupus_familiaris ENSCAFG00000017802
vulpes_vulpes ENSVVUG00000028350
panthera_tigris_altaica ENSPTIG00000018679
panthera_pardus ENSPPRG00000006698
felis_catus ENSFCAG00000008254
equus_asinus_asinus ENSEASG00005021560
equus_caballus ENSECAG00000019890
pteropus_vampyrus ENSPVAG00000013518
myotis_lucifugus ENSMLUG00000017036
erinaceus_europaeus ENSEEUG00000007888
choloepus_hoffmanni ENSCHOG00000001573
echinops_telfairi ENSETEG00000020298
ornithorhynchus_anatinus ENSOANG00000012141
anser_brachyrhynchus ENSABRG00000001832
anas_platyrhynchos_platyrhynchos ENSAPLG00000006288
