bison_bison_bison ENSBBBG00000009162
bos_taurus ENSBTAG00000002888
capra_hircus ENSCHIG00000021548
ovis_aries ENSOARG00000015285
tursiops_truncatus ENSTTRG00000013940
ursus_maritimus ENSUMAG00000007826
ursus_americanus ENSUAMG00000004078
ailuropoda_melanoleuca ENSAMEG00000016881
neovison_vison ENSNVIG00000000786
mustela_putorius_furo ENSMPUG00000006092
canis_lupus_familiaris ENSCAFG00000005914
canis_lupus_dingo ENSCAFG00020016159
vulpes_vulpes ENSVVUG00000011020
panthera_pardus ENSPPRG00000018820
panthera_tigris_altaica ENSPTIG00000004238
felis_catus ENSFCAG00000024338
erinaceus_europaeus ENSEEUG00000012350
vicugna_pacos ENSVPAG00000001014
sus_scrofa ENSSSCG00000024065
sorex_araneus ENSSARG00000003013
myotis_lucifugus ENSMLUG00000010233
pteropus_vampyrus ENSPVAG00000011263
tupaia_belangeri ENSTBEG00000008354
dipodomys_ordii ENSDORG00000005875
meriones_unguiculatus ENSMUGG00000026907
bos_mutus ENSBMUG00000025189
cavia_aperea ENSCAPG00000006448
loxodonta_africana ENSLAFG00000018670
procavia_capensis ENSPCAG00000012553
equus_asinus_asinus ENSEASG00005021228
equus_caballus ENSECAG00000014638
dasypus_novemcinctus ENSDNOG00000031531
choloepus_hoffmanni ENSCHOG00000007784
pan_paniscus ENSPPAG00000043706
pan_troglodytes ENSPTRG00000005268
homo_sapiens ENSG00000179104
gorilla_gorilla ENSGGOG00000028180
pongo_abelii ENSPPYG00000004806
nomascus_leucogenys ENSNLEG00000005311
colobus_angolensis_palliatus ENSCANG00000012507
piliocolobus_tephrosceles ENSPTEG00000037366
rhinopithecus_bieti ENSRBIG00000030044
rhinopithecus_roxellana ENSRROG00000032205
macaca_fascicularis ENSMFAG00000038030
macaca_nemestrina ENSMNEG00000028808
chlorocebus_sabaeus ENSCSAG00000003860
macaca_mulatta ENSMMUG00000011305
cercocebus_atys ENSCATG00000040764
theropithecus_gelada ENSTGEG00000027314
mandrillus_leucophaeus ENSMLEG00000039198
papio_anubis ENSPANG00000008622
saimiri_boliviensis_boliviensis ENSSBOG00000024696
cebus_capucinus ENSCCAG00000037661
callithrix_jacchus ENSCJAG00000019420
aotus_nancymaae ENSANAG00000036537
carlito_syrichta ENSTSYG00000012013
microcebus_murinus ENSMICG00000031682
prolemur_simus ENSPSMG00000015469
propithecus_coquereli ENSPCOG00000005514
otolemur_garnettii ENSOGAG00000000477
urocitellus_parryii ENSUPAG00010013331
ictidomys_tridecemlineatus ENSSTOG00000007091
spermophilus_dauricus ENSSDAG00000005699
marmota_marmota_marmota ENSMMMG00000001120
castor_canadensis ENSCCNG00000023204
chinchilla_lanigera ENSCLAG00000008519
fukomys_damarensis ENSFDAG00000004009
cavia_porcellus ENSCPOG00000005425
peromyscus_maniculatus_bairdii ENSPEMG00000020725
microtus_ochrogaster ENSMOCG00000012479
cricetulus_griseus_crigri-picr ENSCGRG00015008619
