anabas_testudineus ENSATEG00000011702
mastacembelus_armatus ENSMAMG00000013093
seriola_dumerili ENSSDUG00000019704
seriola_lalandi_dorsalis ENSSLDG00000005965
cynoglossus_semilaevis ENSCSEG00000004143
maylandia_zebra ENSMZEG00005008341
pundamilia_nyererei ENSPNYG00000014042
haplochromis_burtoni ENSHBUG00000000327
astatotilapia_calliptera ENSACLG00000026208
amphilophus_citrinellus ENSACIG00000015682
takifugu_rubripes ENSTRUG00000020278
periophthalmus_magnuspinnatus ENSPMGG00000016527
danio_rerio ENSDARG00000094729
ictalurus_punctatus ENSIPUG00000002977
