gorilla_gorilla ENSGGOG00000005912
homo_sapiens ENSG00000181481
pan_troglodytes ENSPTRG00000008967
pan_paniscus ENSPPAG00000031531
pongo_abelii ENSPPYG00000008145
papio_anubis ENSPANG00000023083
theropithecus_gelada ENSTGEG00000013635
mandrillus_leucophaeus ENSMLEG00000036696
macaca_mulatta ENSMMUG00000007967
macaca_fascicularis ENSMFAG00000002510
macaca_nemestrina ENSMNEG00000037190
cercocebus_atys ENSCATG00000010095
chlorocebus_sabaeus ENSCSAG00000006495
rhinopithecus_roxellana ENSRROG00000043224
colobus_angolensis_palliatus ENSCANG00000024478
rhinopithecus_bieti ENSRBIG00000032245
cebus_capucinus ENSCCAG00000034866
saimiri_boliviensis_boliviensis ENSSBOG00000030138
callithrix_jacchus ENSCJAG00000014235
aotus_nancymaae ENSANAG00000020022
carlito_syrichta ENSTSYG00000034618
propithecus_coquereli ENSPCOG00000022621
microcebus_murinus ENSMICG00000005151
prolemur_simus ENSPSMG00000016233
otolemur_garnettii ENSOGAG00000001193
dipodomys_ordii ENSDORG00000025558
castor_canadensis ENSCCNG00000028864
cricetulus_griseus_crigri-picr ENSCGRG00015013954
cricetulus_griseus_chok1gshd ENSCGRG00001013219
cricetulus_griseus_crigri ENSCGRG00000012082
mesocricetus_auratus ENSMAUG00000022173
microtus_ochrogaster ENSMOCG00000008236
peromyscus_maniculatus_bairdii ENSPEMG00000018511
nannospalax_galili ENSNGAG00000002228
jaculus_jaculus ENSJJAG00000023784
heterocephalus_glaber_male ENSHGLG00100018731
heterocephalus_glaber_female ENSHGLG00000011319
fukomys_damarensis ENSFDAG00000013460
octodon_degus ENSODEG00000013107
chinchilla_lanigera ENSCLAG00000007154
cavia_aperea ENSCAPG00000002233
cavia_porcellus ENSCPOG00000004880
ictidomys_tridecemlineatus ENSSTOG00000027338
urocitellus_parryii ENSUPAG00010022541
marmota_marmota_marmota ENSMMMG00000012984
oryctolagus_cuniculus ENSOCUG00000008741
ochotona_princeps ENSOPRG00000014844
tursiops_truncatus ENSTTRG00000016426
sus_scrofa ENSSSCG00000017737
ovis_aries ENSOARG00000011908
capra_hircus ENSCHIG00000022049
bos_mutus ENSBMUG00000010324
bos_taurus ENSBTAG00000017225
bison_bison_bison ENSBBBG00000008504
vicugna_pacos ENSVPAG00000006904
myotis_lucifugus ENSMLUG00000027267
myotis_lucifugus ENSMLUG00000008059
pteropus_vampyrus ENSPVAG00000007291
ursus_maritimus ENSUMAG00000015298
ursus_americanus ENSUAMG00000002119
ailuropoda_melanoleuca ENSAMEG00000005569
mustela_putorius_furo ENSMPUG00000014696
neovison_vison ENSNVIG00000018939
canis_lupus_familiaris ENSCAFG00000018462
canis_lupus_dingo ENSCAFG00020014772
vulpes_vulpes ENSVVUG00000020698
panthera_pardus ENSPPRG00000011481
panthera_tigris_altaica ENSPTIG00000021371
felis_catus ENSFCAG00000009132
erinaceus_europaeus ENSEEUG00000007134
equus_caballus ENSECAG00000014806
equus_asinus_asinus ENSEASG00005010893
castor_canadensis ENSCCNG00000028865
piliocolobus_tephrosceles ENSPTEG00000003170
canis_lupus_dingo ENSCAFG00020014771
choloepus_hoffmanni ENSCHOG00000003251
dasypus_novemcinctus ENSDNOG00000036014
loxodonta_africana ENSLAFG00000004933
procavia_capensis ENSPCAG00000010904
