macaca_fascicularis ENSMFAG00000003600
macaca_nemestrina ENSMNEG00000042086
macaca_mulatta ENSMMUG00000048347
theropithecus_gelada ENSTGEG00000008542
papio_anubis ENSPANG00000030167
mandrillus_leucophaeus ENSMLEG00000028567
cercocebus_atys ENSCATG00000042734
rhinopithecus_roxellana ENSRROG00000039321
rhinopithecus_bieti ENSRBIG00000030610
colobus_angolensis_palliatus ENSCANG00000038541
pan_troglodytes ENSPTRG00000048743
pan_paniscus ENSPPAG00000037319
gorilla_gorilla ENSGGOG00000001565
nomascus_leucogenys ENSNLEG00000031669
prolemur_simus ENSPSMG00000014243
urocitellus_parryii ENSUPAG00010023719
spermophilus_dauricus ENSSDAG00000018569
marmota_marmota_marmota ENSMMMG00000014464
