homo_sapiens ENSG00000170920
gorilla_gorilla ENSGGOG00000006778
pan_troglodytes ENSPTRG00000050254
pan_paniscus ENSPPAG00000015342
callithrix_jacchus ENSCJAG00000040900
carlito_syrichta ENSTSYG00000000405
fukomys_damarensis ENSFDAG00000003039
fukomys_damarensis ENSFDAG00000002063
heterocephalus_glaber_male ENSHGLG00100002351
heterocephalus_glaber_female ENSHGLG00000000411
chinchilla_lanigera ENSCLAG00000003723
fukomys_damarensis ENSFDAG00000002178
fukomys_damarensis ENSFDAG00000004840
fukomys_damarensis ENSFDAG00000005618
fukomys_damarensis ENSFDAG00000005812
fukomys_damarensis ENSFDAG00000000293
fukomys_damarensis ENSFDAG00000004773
fukomys_damarensis ENSFDAG00000000704
heterocephalus_glaber_male ENSHGLG00100020724
heterocephalus_glaber_female ENSHGLG00000019952
heterocephalus_glaber_male ENSHGLG00100000588
heterocephalus_glaber_male ENSHGLG00100021266
heterocephalus_glaber_female ENSHGLG00000020466
ictidomys_tridecemlineatus ENSSTOG00000021467
urocitellus_parryii ENSUPAG00010005650
tupaia_belangeri ENSTBEG00000003645
sorex_araneus ENSSARG00000006559
sorex_araneus ENSSARG00000008279
sorex_araneus ENSSARG00000007313
equus_caballus ENSECAG00000034410
myotis_lucifugus ENSMLUG00000013749
loxodonta_africana ENSLAFG00000028965
mustela_putorius_furo ENSMPUG00000019718
neovison_vison ENSNVIG00000015391
canis_lupus_dingo ENSCAFG00020023372
panthera_tigris_altaica ENSPTIG00000001820
panthera_pardus ENSPPRG00000016010
felis_catus ENSFCAG00000041085
tursiops_truncatus ENSTTRG00000002235
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0032935
mus_musculus ENSMUSG00000095957
mus_spicilegus ENSMSIG00000014695
mus_musculus ENSMUSG00000095525
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0031814
mus_pahari MGP_PahariEiJ_G0014690
rattus_norvegicus ENSRNOG00000026489
meriones_unguiculatus ENSMUGG00000011334
cricetulus_griseus_crigri-picr ENSCGRG00015023669
cricetulus_griseus_crigri ENSCGRG00000019919
cricetulus_griseus_chok1gshd ENSCGRG00001000833
dasypus_novemcinctus ENSDNOG00000046850
echinops_telfairi ENSETEG00000004885
