anolis_carolinensis ENSACAG00000010780
pogona_vitticeps ENSPVIG00000022783
notechis_scutatus ENSNSUG00000001816
salvator_merianae ENSSMRG00000003900
bos_taurus ENSBTAG00000039415
bos_mutus ENSBMUG00000024951
bison_bison_bison ENSBBBG00000008842
capra_hircus ENSCHIG00000020746
tursiops_truncatus ENSTTRG00000008629
sus_scrofa ENSSSCG00000033432
equus_caballus ENSECAG00000017006
equus_asinus_asinus ENSEASG00005011974
erinaceus_europaeus ENSEEUG00000011579
vulpes_vulpes ENSVVUG00000029165
canis_lupus_dingo ENSCAFG00020002758
ursus_americanus ENSUAMG00000024401
ursus_maritimus ENSUMAG00000022847
neovison_vison ENSNVIG00000000572
mustela_putorius_furo ENSMPUG00000005867
panthera_pardus ENSPPRG00000001166
panthera_tigris_altaica ENSPTIG00000011906
felis_catus ENSFCAG00000033397
pteropus_vampyrus ENSPVAG00000010763
ictidomys_tridecemlineatus ENSSTOG00000029882
urocitellus_parryii ENSUPAG00010009507
spermophilus_dauricus ENSSDAG00000022313
marmota_marmota_marmota ENSMMMG00000012007
heterocephalus_glaber_female ENSHGLG00000005642
heterocephalus_glaber_male ENSHGLG00100000448
heterocephalus_glaber_male ENSHGLG00100018855
heterocephalus_glaber_male ENSHGLG00100010736
heterocephalus_glaber_female ENSHGLG00000002056
fukomys_damarensis ENSFDAG00000017307
nannospalax_galili ENSNGAG00000013364
castor_canadensis ENSCCNG00000000921
dipodomys_ordii ENSDORG00000001211
oryctolagus_cuniculus ENSOCUG00000002904
callithrix_jacchus ENSCJAG00000044277
aotus_nancymaae ENSANAG00000031451
homo_sapiens ENSG00000254505
pongo_abelii ENSPPYG00000005691
theropithecus_gelada ENSTGEG00000022077
macaca_nemestrina ENSMNEG00000043545
macaca_nemestrina ENSMNEG00000033977
chlorocebus_sabaeus ENSCSAG00000015989
macaca_nemestrina ENSMNEG00000016439
piliocolobus_tephrosceles ENSPTEG00000020617
tupaia_belangeri ENSTBEG00000010409
tupaia_belangeri ENSTBEG00000004848
prolemur_simus ENSPSMG00000015468
otolemur_garnettii ENSOGAG00000010657
procavia_capensis ENSPCAG00000015924
echinops_telfairi ENSETEG00000006239
loxodonta_africana ENSLAFG00000025529
echinops_telfairi ENSETEG00000004198
dasypus_novemcinctus ENSDNOG00000005682
sorex_araneus ENSSARG00000008328
phascolarctos_cinereus ENSPCIG00000010707
notamacropus_eugenii ENSMEUG00000010894
monodelphis_domestica ENSMODG00000003266
latimeria_chalumnae ENSLACG00000004648
