dipodomys_ordii ENSDORG00000014964
ictidomys_tridecemlineatus ENSSTOG00000031325
ochotona_princeps ENSOPRG00000018556
cebus_capucinus ENSCCAG00000027004
paramormyrops_kingsleyae ENSPKIG00000021672
pygocentrus_nattereri ENSPNAG00000010880
oryzias_melastigma ENSOMEG00000020116
xiphophorus_couchianus ENSXCOG00000000635
seriola_lalandi_dorsalis ENSSLDG00000011626
periophthalmus_magnuspinnatus ENSPMGG00000018046
bos_mutus ENSBMUG00000012413
panthera_tigris_altaica ENSPTIG00000006685
peromyscus_maniculatus_bairdii ENSPEMG00000030423
pan_troglodytes ENSPTRG00000008483
colobus_angolensis_palliatus ENSCANG00000019499
neovison_vison ENSNVIG00000010517
zonotrichia_albicollis ENSZALG00000009343
ciona_savignyi ENSCSAVG00000004058
