homo_sapiens ENSG00000158497
gorilla_gorilla ENSGGOG00000007079
pan_troglodytes ENSPTRG00000048752
pongo_abelii ENSPPYG00000015901
nomascus_leucogenys ENSNLEG00000027190
rhinopithecus_roxellana ENSRROG00000043817
rhinopithecus_bieti ENSRBIG00000035788
colobus_angolensis_palliatus ENSCANG00000029973
papio_anubis ENSPANG00000029402
theropithecus_gelada ENSTGEG00000027884
cercocebus_atys ENSCATG00000042712
macaca_fascicularis ENSMFAG00000004056
macaca_mulatta ENSMMUG00000046781
macaca_nemestrina ENSMNEG00000028636
mandrillus_leucophaeus ENSMLEG00000036049
chlorocebus_sabaeus ENSCSAG00000012344
cebus_capucinus ENSCCAG00000026580
prolemur_simus ENSPSMG00000011510
