cavia_porcellus ENSCPOG00000002209
cavia_aperea ENSCAPG00000010769
octodon_degus ENSODEG00000015682
chinchilla_lanigera ENSCLAG00000013525
heterocephalus_glaber ENSHGLG00000014029
heterocephalus_glaber ENSHGLG00100015801
fukomys_damarensis ENSFDAG00000011025
urocitellus_parryii ENSUPAG00010019326
ictidomys_tridecemlineatus ENSSTOG00000021574
spermophilus_dauricus ENSSDAG00000005593
marmota_marmota ENSMMMG00000004525
peromyscus_maniculatus ENSPEMG00000001880
mesocricetus_auratus ENSMAUG00000021248
microtus_ochrogaster ENSMOCG00000003232
mus_spicilegus ENSMSIG00000004069
mus_spretus MGP_SPRETEiJ_G0030597
mus_musculus ENSMUSG00000074220
mus_caroli MGP_CAROLIEiJ_G0029501
rattus_norvegicus ENSRNOG00000020777
meriones_unguiculatus ENSMUGG00000012168
mus_pahari MGP_PahariEiJ_G0012735
cricetulus_griseus ENSCGRG00001022691
cricetulus_griseus ENSCGRG00015009134
nannospalax_galili ENSNGAG00000012275
jaculus_jaculus ENSJJAG00000024392
castor_canadensis ENSCCNG00000009507
oryctolagus_cuniculus ENSOCUG00000037527
ochotona_princeps ENSOPRG00000001326
tupaia_belangeri ENSTBEG00000005166
pan_troglodytes ENSPTRG00000010898
pan_paniscus ENSPPAG00000033307
homo_sapiens ENSG00000161298
gorilla_gorilla ENSGGOG00000009292
pongo_abelii ENSPPYG00000009904
nomascus_leucogenys ENSNLEG00000003063
piliocolobus_tephrosceles ENSPTEG00000017954
rhinopithecus_roxellana ENSRROG00000034531
colobus_angolensis ENSCANG00000029017
cercocebus_atys ENSCATG00000031255
mandrillus_leucophaeus ENSMLEG00000040106
papio_anubis ENSPANG00000035561
macaca_mulatta ENSMMUG00000016449
macaca_nemestrina ENSMNEG00000039690
macaca_fascicularis ENSMFAG00000043559
chlorocebus_sabaeus ENSCSAG00000004201
callithrix_jacchus ENSCJAG00000009464
saimiri_boliviensis ENSSBOG00000021633
cebus_capucinus ENSCCAG00000029221
aotus_nancymaae ENSANAG00000035208
carlito_syrichta ENSTSYG00000014470
propithecus_coquereli ENSPCOG00000022688
microcebus_murinus ENSMICG00000037643
prolemur_simus ENSPSMG00000001894
otolemur_garnettii ENSOGAG00000025946
pteropus_vampyrus ENSPVAG00000014052
myotis_lucifugus ENSMLUG00000015074
equus_caballus ENSECAG00000018834
equus_asinus ENSEASG00005002285
bos_indicus ENSBIXG00005010395
bos_indicus ENSBIXG00000006100
bos_taurus ENSBTAG00000008084
bos_mutus ENSBMUG00000019034
bison_bison ENSBBBG00000022122
capra_hircus ENSCHIG00000017739
ovis_aries ENSOARG00000005318
sus_scrofa ENSSSCG00000002933
tursiops_truncatus ENSTTRG00000001414
vicugna_pacos ENSVPAG00000009825
vicugna_pacos ENSVPAG00000009277
ursus_americanus ENSUAMG00000020566
ursus_maritimus ENSUMAG00000020868
ailuropoda_melanoleuca ENSAMEG00000001055
neovison_vison ENSNVIG00000015950
mustela_putorius ENSMPUG00000005592
canis_lupus ENSCAFG00020018091
canis_lupus ENSCAFG00000047451
vulpes_vulpes ENSVVUG00000013563
panthera_pardus ENSPPRG00000023141
panthera_tigris ENSPTIG00000004148
felis_catus ENSFCAG00000026545
sorex_araneus ENSSARG00000009413
choloepus_hoffmanni ENSCHOG00000004936
dasypus_novemcinctus ENSDNOG00000032742
loxodonta_africana ENSLAFG00000011372
procavia_capensis ENSPCAG00000004980
echinops_telfairi ENSETEG00000007677
