poecilia_mexicana ENSPMEG00000003365
poecilia_latipinna ENSPLAG00000002017
xiphophorus_maculatus ENSXMAG00000028525
cyprinodon_variegatus ENSCVAG00000020662
kryptolebias_marmoratus ENSKMAG00000007955
oryzias_latipes ENSORLG00000014694
oryzias_latipes ENSORLG00020021591
oryzias_latipes_asm223469v1 ENSORLG00015018144
pundamilia_nyererei ENSPNYG00000007196
maylandia_zebra ENSMZEG00005019345
haplochromis_burtoni ENSHBUG00000018518
amphiprion_ocellaris ENSAOCG00000004896
amphiprion_percula ENSAPEG00000011384
acanthochromis_polyacanthus ENSAPOG00000003233
stegastes_partitus ENSSPAG00000015023
anabas_testudineus ENSATEG00000018346
mastacembelus_armatus ENSMAMG00000017282
seriola_dumerili ENSSDUG00000001213
seriola_lalandi_dorsalis ENSSLDG00000007468
scophthalmus_maximus ENSSMAG00000018036
cynoglossus_semilaevis ENSCSEG00000007699
hippocampus_comes ENSHCOG00000018320
esox_lucius ENSELUG00000012123
ictalurus_punctatus ENSIPUG00000011254
pygocentrus_nattereri ENSPNAG00000008239
astyanax_mexicanus ENSAMXG00000005185
danio_rerio ENSDARG00000099804
scleropages_formosus ENSSFOG00015002572
paramormyrops_kingsleyae ENSPKIG00000010001
lepisosteus_oculatus ENSLOCG00000010616
