gopherus_agassizii ENSGAGG00000024662
chelonoidis_abingdonii ENSCABG00000004066
chrysemys_picta_bellii ENSCPBG00000023390
pelodiscus_sinensis ENSPSIG00000008517
crocodylus_porosus ENSCPRG00005011582
sphenodon_punctatus ENSSPUG00000013378
calidris_pugnax ENSCPUG00000018308
melopsittacus_undulatus ENSMUNG00000009764
calidris_pygmaea ENSCPGG00000016397
parus_major ENSPMJG00000000209
cyanistes_caeruleus ENSCCEG00000011361
taeniopygia_guttata ENSTGUG00000006406
lonchura_striata_domestica ENSLSDG00000014183
junco_hyemalis ENSJHYG00000001279
zonotrichia_albicollis ENSZALG00000010029
serinus_canaria ENSSCAG00000013460
ficedula_albicollis ENSFALG00000010937
manacus_vitellinus ENSMVIG00005006635
lepidothrix_coronata ENSLCOG00000012857
anser_brachyrhynchus ENSABRG00000022998
anas_platyrhynchos_platyrhynchos ENSAPLG00000012866
gallus_gallus ENSGALG00000028587
coturnix_japonica ENSCJPG00005003803
apteryx_owenii ENSAOWG00000014151
apteryx_rowi ENSARWG00000003987
apteryx_haastii ENSAHAG00000002322
dromaius_novaehollandiae ENSDNVG00000014378
anolis_carolinensis ENSACAG00000003044
pogona_vitticeps ENSPVIG00000007250
notechis_scutatus ENSNSUG00000019224
salvator_merianae ENSSMRG00000022689
notamacropus_eugenii ENSMEUG00000010579
phascolarctos_cinereus ENSPCIG00000030503
monodelphis_domestica ENSMODG00000004035
meriones_unguiculatus ENSMUGG00000003566
meriones_unguiculatus ENSMUGG00000003558
dipodomys_ordii ENSDORG00000024865
otolemur_garnettii ENSOGAG00000030642
choloepus_hoffmanni ENSCHOG00000013739
mus_spicilegus ENSMSIG00000006491
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0025271
mus_musculus ENSMUSG00000034723
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0024351
mus_pahari MGP_PahariEiJ_G0025796
rattus_norvegicus ENSRNOG00000024852
meriones_unguiculatus ENSMUGG00000025936
cricetulus_griseus_chok1gshd ENSCGRG00001011118
cricetulus_griseus_crigri ENSCGRG00000012091
mesocricetus_auratus ENSMAUG00000019706
microtus_ochrogaster ENSMOCG00000021335
peromyscus_maniculatus_bairdii ENSPEMG00000013286
nannospalax_galili ENSNGAG00000016728
jaculus_jaculus ENSJJAG00000014192
castor_canadensis ENSCCNG00000024191
heterocephalus_glaber_male ENSHGLG00100018185
heterocephalus_glaber_female ENSHGLG00000016480
fukomys_damarensis ENSFDAG00000007417
chinchilla_lanigera ENSCLAG00000012074
octodon_degus ENSODEG00000007734
cavia_porcellus ENSCPOG00000000445
urocitellus_parryii ENSUPAG00010000875
ictidomys_tridecemlineatus ENSSTOG00000003933
spermophilus_dauricus ENSSDAG00000011155
marmota_marmota_marmota ENSMMMG00000000869
ochotona_princeps ENSOPRG00000015363
oryctolagus_cuniculus ENSOCUG00000007336
homo_sapiens ENSG00000125827
gorilla_gorilla ENSGGOG00000040910
pan_paniscus ENSPPAG00000030629
pan_troglodytes ENSPTRG00000042827
pongo_abelii ENSPPYG00000010699
nomascus_leucogenys ENSNLEG00000014111
macaca_mulatta ENSMMUG00000021137
macaca_nemestrina ENSMNEG00000030652
macaca_fascicularis ENSMFAG00000043422
theropithecus_gelada ENSTGEG00000014649
papio_anubis ENSPANG00000007162
chlorocebus_sabaeus ENSCSAG00000013556
mandrillus_leucophaeus ENSMLEG00000033934
cercocebus_atys ENSCATG00000028178
colobus_angolensis_palliatus ENSCANG00000041794
piliocolobus_tephrosceles ENSPTEG00000003682
rhinopithecus_bieti ENSRBIG00000043597
rhinopithecus_bieti ENSRBIG00000028155
rhinopithecus_roxellana ENSRROG00000039242
cebus_capucinus ENSCCAG00000032919
saimiri_boliviensis_boliviensis ENSSBOG00000033337
callithrix_jacchus ENSCJAG00000021316
aotus_nancymaae ENSANAG00000028585
carlito_syrichta ENSTSYG00000013645
propithecus_coquereli ENSPCOG00000023284
prolemur_simus ENSPSMG00000003770
microcebus_murinus ENSMICG00000043492
tupaia_belangeri ENSTBEG00000001909
bos_taurus ENSBTAG00000035323
bos_mutus ENSBMUG00000019892
bison_bison_bison ENSBBBG00000012124
capra_hircus ENSCHIG00000008791
ovis_aries ENSOARG00000008980
tursiops_truncatus ENSTTRG00000010993
sus_scrofa ENSSSCG00000021353
ursus_maritimus ENSUMAG00000005236
ursus_americanus ENSUAMG00000001042
ailuropoda_melanoleuca ENSAMEG00000016019
mustela_putorius_furo ENSMPUG00000006408
neovison_vison ENSNVIG00000018532
canis_lupus_dingo ENSCAFG00020000183
canis_lupus_familiaris ENSCAFG00000005883
vulpes_vulpes ENSVVUG00000023329
panthera_pardus ENSPPRG00000006913
panthera_tigris_altaica ENSPTIG00000017547
felis_catus ENSFCAG00000040472
erinaceus_europaeus ENSEEUG00000014678
sorex_araneus ENSSARG00000003228
pteropus_vampyrus ENSPVAG00000010714
myotis_lucifugus ENSMLUG00000013197
equus_asinus_asinus ENSEASG00005001624
equus_caballus ENSECAG00000007522
cavia_aperea ENSCAPG00000012193
dasypus_novemcinctus ENSDNOG00000013831
vicugna_pacos ENSVPAG00000002377
loxodonta_africana ENSLAFG00000016245
procavia_capensis ENSPCAG00000012338
echinops_telfairi ENSETEG00000002277
ornithorhynchus_anatinus ENSOANG00000008415
xenopus_tropicalis ENSXETG00000026035
latimeria_chalumnae ENSLACG00000003712
scleropages_formosus ENSSFOG00015015468
paramormyrops_kingsleyae ENSPKIG00000015835
pygocentrus_nattereri ENSPNAG00000030077
astyanax_mexicanus ENSAMXG00000039592
ictalurus_punctatus ENSIPUG00000004746
danio_rerio ENSDARG00000101512
esox_lucius ENSELUG00000013273
lepisosteus_oculatus ENSLOCG00000016438
