capra_hircus ENSCHIG00000000593
ovis_aries ENSOARG00000016619
bos_mutus ENSBMUG00000015714
bos_taurus ENSBTAG00000018172
bison_bison_bison ENSBBBG00000001056
tursiops_truncatus ENSTTRG00000013143
sus_scrofa ENSSSCG00000032116
equus_asinus_asinus ENSEASG00005005909
equus_caballus ENSECAG00000018725
ursus_maritimus ENSUMAG00000017696
ursus_americanus ENSUAMG00000000486
ailuropoda_melanoleuca ENSAMEG00000001174
mustela_putorius_furo ENSMPUG00000011059
neovison_vison ENSNVIG00000023602
canis_lupus_dingo ENSCAFG00020013661
canis_lupus_familiaris ENSCAFG00000012948
vulpes_vulpes ENSVVUG00000005384
panthera_pardus ENSPPRG00000002469
felis_catus ENSFCAG00000018066
erinaceus_europaeus ENSEEUG00000010531
rhinopithecus_bieti ENSRBIG00000028570
rhinopithecus_roxellana ENSRROG00000039955
piliocolobus_tephrosceles ENSPTEG00000029390
colobus_angolensis_palliatus ENSCANG00000035865
theropithecus_gelada ENSTGEG00000012209
papio_anubis ENSPANG00000018790
cercocebus_atys ENSCATG00000045085
macaca_fascicularis ENSMFAG00000040871
macaca_nemestrina ENSMNEG00000008573
mandrillus_leucophaeus ENSMLEG00000041931
chlorocebus_sabaeus ENSCSAG00000002118
homo_sapiens ENSG00000181396
pan_paniscus ENSPPAG00000033934
gorilla_gorilla ENSGGOG00000001580
pan_troglodytes ENSPTRG00000009802
pongo_abelii ENSPPYG00000008778
nomascus_leucogenys ENSNLEG00000002243
cebus_capucinus ENSCCAG00000028711
callithrix_jacchus ENSCJAG00000045236
saimiri_boliviensis_boliviensis ENSSBOG00000031110
aotus_nancymaae ENSANAG00000037221
propithecus_coquereli ENSPCOG00000028822
prolemur_simus ENSPSMG00000003130
microcebus_murinus ENSMICG00000004525
otolemur_garnettii ENSOGAG00000010942
carlito_syrichta ENSTSYG00000001206
castor_canadensis ENSCCNG00000010343
dipodomys_ordii ENSDORG00000014856
cricetulus_griseus_chok1gshd ENSCGRG00001002648
cricetulus_griseus_crigri ENSCGRG00000018167
mesocricetus_auratus ENSMAUG00000012101
peromyscus_maniculatus_bairdii ENSPEMG00000010690
microtus_ochrogaster ENSMOCG00000019027
mus_spicilegus ENSMSIG00000011740
mus_musculus ENSMUSG00000025169
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0018401
mus_pahari MGP_PahariEiJ_G0018684
rattus_norvegicus ENSRNOG00000036668
cricetulus_griseus_crigri-picr ENSCGRG00015024344
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0017557
meriones_unguiculatus ENSMUGG00000018995
nannospalax_galili ENSNGAG00000017660
jaculus_jaculus ENSJJAG00000001492
chinchilla_lanigera ENSCLAG00000004475
octodon_degus ENSODEG00000007453
cavia_porcellus ENSCPOG00000022303
cavia_aperea ENSCAPG00000012777
heterocephalus_glaber_female ENSHGLG00000006783
heterocephalus_glaber_male ENSHGLG00100004965
fukomys_damarensis ENSFDAG00000020958
urocitellus_parryii ENSUPAG00010017074
ictidomys_tridecemlineatus ENSSTOG00000003877
spermophilus_dauricus ENSSDAG00000002111
marmota_marmota_marmota ENSMMMG00000003157
oryctolagus_cuniculus ENSOCUG00000023793
choloepus_hoffmanni ENSCHOG00000000834
myotis_lucifugus ENSMLUG00000026232
panthera_tigris_altaica ENSPTIG00000011024
dasypus_novemcinctus ENSDNOG00000003450
procavia_capensis ENSPCAG00000007004
loxodonta_africana ENSLAFG00000017339
phascolarctos_cinereus ENSPCIG00000016943
notamacropus_eugenii ENSMEUG00000003759
monodelphis_domestica ENSMODG00000007092
ornithorhynchus_anatinus ENSOANG00000000392
pelodiscus_sinensis ENSPSIG00000008946
gopherus_agassizii ENSGAGG00000001340
crocodylus_porosus ENSCPRG00005007398
anolis_carolinensis ENSACAG00000016853
pogona_vitticeps ENSPVIG00000019870
notechis_scutatus ENSNSUG00000015895
salvator_merianae ENSSMRG00000023131
sphenodon_punctatus ENSSPUG00000007255
calidris_pygmaea ENSCPGG00000010297
calidris_pugnax ENSCPUG00000004094
melopsittacus_undulatus ENSMUNG00000010356
parus_major ENSPMJG00000008404
cyanistes_caeruleus ENSCCEG00000011052
taeniopygia_guttata ENSTGUG00000007697
lonchura_striata_domestica ENSLSDG00000006005
serinus_canaria ENSSCAG00000003348
junco_hyemalis ENSJHYG00000011723
zonotrichia_albicollis ENSZALG00000008795
ficedula_albicollis ENSFALG00000000800
lepidothrix_coronata ENSLCOG00000003489
manacus_vitellinus ENSMVIG00005019014
meleagris_gallopavo ENSMGAG00000003848
coturnix_japonica ENSCJPG00005020620
gallus_gallus ENSGALG00000001618
numida_meleagris ENSNMEG00000015814
anser_brachyrhynchus ENSABRG00000019284
anas_platyrhynchos_platyrhynchos ENSAPLG00000008478
apteryx_owenii ENSAOWG00000015919
apteryx_haastii ENSAHAG00000008189
apteryx_rowi ENSARWG00000010183
dromaius_novaehollandiae ENSDNVG00000005762
xenopus_tropicalis ENSXETG00000012231
latimeria_chalumnae ENSLACG00000011884
fundulus_heteroclitus ENSFHEG00000017341
cyprinodon_variegatus ENSCVAG00000010788
xiphophorus_maculatus ENSXMAG00000012750
xiphophorus_couchianus ENSXCOG00000002555
gambusia_affinis ENSGAFG00000001536
poecilia_mexicana ENSPMEG00000005246
poecilia_formosa ENSPFOG00000018219
poecilia_latipinna ENSPLAG00000005315
poecilia_reticulata ENSPREG00000001058
kryptolebias_marmoratus ENSKMAG00000001951
oryzias_latipes ENSORLG00000027548
oryzias_latipes ENSORLG00020008666
oryzias_latipes_asm223469v1 ENSORLG00015007171
oryzias_melastigma ENSOMEG00000005550
pundamilia_nyererei ENSPNYG00000005475
haplochromis_burtoni ENSHBUG00000004588
astatotilapia_calliptera ENSACLG00000020020
maylandia_zebra ENSMZEG00005019351
neolamprologus_brichardi ENSNBRG00000016335
oreochromis_niloticus ENSONIG00000019668
amphilophus_citrinellus ENSACIG00000020092
amphiprion_percula ENSAPEG00000019888
amphiprion_ocellaris ENSAOCG00000011226
acanthochromis_polyacanthus ENSAPOG00000014539
stegastes_partitus ENSSPAG00000014257
monopterus_albus ENSMALG00000000721
mastacembelus_armatus ENSMAMG00000001130
anabas_testudineus ENSATEG00000003982
mola_mola ENSMMOG00000004812
takifugu_rubripes ENSTRUG00000008823
gasterosteus_aculeatus ENSGACG00000005292
labrus_bergylta ENSLBEG00000024287
labrus_bergylta ENSLBEG00000004338
hippocampus_comes ENSHCOG00000018880
scophthalmus_maximus ENSSMAG00000004219
cynoglossus_semilaevis ENSCSEG00000000351
seriola_dumerili ENSSDUG00000009338
seriola_lalandi_dorsalis ENSSLDG00000019136
periophthalmus_magnuspinnatus ENSPMGG00000023266
gadus_morhua ENSGMOG00000014569
esox_lucius ENSELUG00000023571
pygocentrus_nattereri ENSPNAG00000000928
astyanax_mexicanus ENSAMXG00000036703
ictalurus_punctatus ENSIPUG00000018706
danio_rerio ENSDARG00000078481
scleropages_formosus ENSSFOG00015002687
paramormyrops_kingsleyae ENSPKIG00000021877
lepisosteus_oculatus ENSLOCG00000011795
ciona_savignyi ENSCSAVG00000001084
ciona_intestinalis ENSCING00000003987
