calidris_pugnax ENSCPUG00000002746
meleagris_gallopavo ENSMGAG00000011339
serinus_canaria ENSSCAG00000007401
apteryx_haastii ENSAHAG00000016656
apteryx_rowi ENSARWG00000011529
apteryx_owenii ENSAOWG00000009517
nothoprocta_perdicaria ENSNPEG00000013905
crocodylus_porosus ENSCPRG00005002379
pogona_vitticeps ENSPVIG00000023838
ictidomys_tridecemlineatus ENSSTOG00000002166
urocitellus_parryii ENSUPAG00010007081
neovison_vison ENSNVIG00000023900
gorilla_gorilla ENSGGOG00000024332
peromyscus_maniculatus_bairdii ENSPEMG00000029432
loxodonta_africana ENSLAFG00000028985
canis_lupus_dingo ENSCAFG00020022966
equus_caballus ENSECAG00000019597
microcebus_murinus ENSMICG00000036780
cavia_porcellus ENSCPOG00000008581
cavia_aperea ENSCAPG00000015660
spermophilus_dauricus ENSSDAG00000006008
oryctolagus_cuniculus ENSOCUG00000011287
prolemur_simus ENSPSMG00000012902
tupaia_belangeri ENSTBEG00000012497
myotis_lucifugus ENSMLUG00000009982
ovis_aries ENSOARG00000015838
mustela_putorius_furo ENSMPUG00000007452
otolemur_garnettii ENSOGAG00000034461
ursus_maritimus ENSUMAG00000003099
bos_taurus ENSBTAG00000021767
pelodiscus_sinensis ENSPSIG00000005068
cyanistes_caeruleus ENSCCEG00000010889
zonotrichia_albicollis ENSZALG00000010336
melopsittacus_undulatus ENSMUNG00000004308
gallus_gallus ENSGALG00000030515
canis_lupus_familiaris ENSCAFG00000006177
ailuropoda_melanoleuca ENSAMEG00000009833
peromyscus_maniculatus_bairdii ENSPEMG00000030245
anas_platyrhynchos_platyrhynchos ENSAPLG00000014911
esox_lucius ENSELUG00000024382
esox_lucius ENSELUG00000001979
latimeria_chalumnae ENSLACG00000007295
eptatretus_burgeri ENSEBUG00000013266
xiphophorus_maculatus ENSXMAG00000001424
labrus_bergylta ENSLBEG00000002796
seriola_lalandi_dorsalis ENSSLDG00000006077
canis_lupus_dingo ENSCAFG00020024553
canis_lupus_familiaris ENSCAFG00000030703
vicugna_pacos ENSVPAG00000002958
piliocolobus_tephrosceles ENSPTEG00000038479
chlorocebus_sabaeus ENSCSAG00000003709
homo_sapiens ENSG00000177889
pan_troglodytes ENSPTRG00000005297
macaca_nemestrina ENSMNEG00000040126
dipodomys_ordii ENSDORG00000000650
heterocephalus_glaber_female ENSHGLG00000008071
microtus_ochrogaster ENSMOCG00000009395
mustela_putorius_furo ENSMPUG00000018354
echinops_telfairi ENSETEG00000001882
salvator_merianae ENSSMRG00000011068
callithrix_jacchus ENSCJAG00000002979
cercocebus_atys ENSCATG00000044365
mus_pahari MGP_PahariEiJ_G0031334
meriones_unguiculatus ENSMUGG00000022596
bos_mutus ENSBMUG00000006152
ovis_aries ENSOARG00000020093
phascolarctos_cinereus ENSPCIG00000001489
sphenodon_punctatus ENSSPUG00000015015
cebus_capucinus ENSCCAG00000033947
aotus_nancymaae ENSANAG00000036950
macaca_mulatta ENSMMUG00000020634
rhinopithecus_roxellana ENSRROG00000038745
castor_canadensis ENSCCNG00000018087
felis_catus ENSFCAG00000004260
mustela_putorius_furo ENSMPUG00000007718
bison_bison_bison ENSBBBG00000019905
equus_asinus_asinus ENSEASG00005019358
sarcophilus_harrisii ENSSHAG00000007776
cricetulus_griseus_chok1gshd ENSCGRG00001014867
cricetulus_griseus_crigri-picr ENSCGRG00015006628
jaculus_jaculus ENSJJAG00000011721
chinchilla_lanigera ENSCLAG00000005227
oryctolagus_cuniculus ENSOCUG00000006757
pongo_abelii ENSPPYG00000004832
nomascus_leucogenys ENSNLEG00000005695
macaca_fascicularis ENSMFAG00000000379
monodelphis_domestica ENSMODG00000009451
lonchura_striata_domestica ENSLSDG00000016647
junco_hyemalis ENSJHYG00000011412
parus_major ENSPMJG00000012857
coturnix_japonica ENSCJPG00005004949
gopherus_agassizii ENSGAGG00000010119
anolis_carolinensis ENSACAG00000012573
rattus_norvegicus ENSRNOG00000058053
tursiops_truncatus ENSTTRG00000003311
vulpes_vulpes ENSVVUG00000006152
fukomys_damarensis ENSFDAG00000017950
mandrillus_leucophaeus ENSMLEG00000023980
pan_paniscus ENSPPAG00000028330
carlito_syrichta ENSTSYG00000008800
microcebus_murinus ENSMICG00000045891
chinchilla_lanigera ENSCLAG00000000593
sorex_araneus ENSSARG00000005945
panthera_tigris_altaica ENSPTIG00000018236
capra_hircus ENSCHIG00000025703
sus_scrofa ENSSSCG00000000908
notamacropus_eugenii ENSMEUG00000002944
chelonoidis_abingdonii ENSCABG00000000182
ficedula_albicollis ENSFALG00000010709
manacus_vitellinus ENSMVIG00005002473
lepidothrix_coronata ENSLCOG00000008081
taeniopygia_guttata ENSTGUG00000008263
calidris_pygmaea ENSCPGG00000002514
anser_brachyrhynchus ENSABRG00000010730
marmota_marmota_marmota ENSMMMG00000020474
cricetulus_griseus_crigri ENSCGRG00000000909
colobus_angolensis_palliatus ENSCANG00000033816
vulpes_vulpes ENSVVUG00000020035
ornithorhynchus_anatinus ENSOANG00000006626
numida_meleagris ENSNMEG00000006203
callithrix_jacchus ENSCJAG00000043726
cebus_capucinus ENSCCAG00000025263
microcebus_murinus ENSMICG00000014081
ictidomys_tridecemlineatus ENSSTOG00000024642
loxodonta_africana ENSLAFG00000011226
cebus_capucinus ENSCCAG00000018988
carlito_syrichta ENSTSYG00000005966
meriones_unguiculatus ENSMUGG00000003848
vulpes_vulpes ENSVVUG00000017152
mesocricetus_auratus ENSMAUG00000013097
propithecus_coquereli ENSPCOG00000007167
canis_lupus_familiaris ENSCAFG00000020048
rhinopithecus_bieti ENSRBIG00000031484
rhinopithecus_roxellana ENSRROG00000043591
rhinopithecus_roxellana ENSRROG00000037832
colobus_angolensis_palliatus ENSCANG00000037599
procavia_capensis ENSPCAG00000000090
canis_lupus_familiaris ENSCAFG00000001747
canis_lupus_dingo ENSCAFG00020021596
vulpes_vulpes ENSVVUG00000006965
rhinopithecus_roxellana ENSRROG00000036766
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0016570
marmota_marmota_marmota ENSMMMG00000023921
heterocephalus_glaber_male ENSHGLG00100016977
nannospalax_galili ENSNGAG00000013689
theropithecus_gelada ENSTGEG00000001726
canis_lupus_dingo ENSCAFG00020013426
panthera_pardus ENSPPRG00000015222
theropithecus_gelada ENSTGEG00000006932
cercocebus_atys ENSCATG00000030954
macaca_mulatta ENSMMUG00000041559
macaca_fascicularis ENSMFAG00000032950
macaca_nemestrina ENSMNEG00000041928
mandrillus_leucophaeus ENSMLEG00000036190
choloepus_hoffmanni ENSCHOG00000003409
choloepus_hoffmanni ENSCHOG00000003963
colobus_angolensis_palliatus ENSCANG00000001794
piliocolobus_tephrosceles ENSPTEG00000030710
piliocolobus_tephrosceles ENSPTEG00000012942
rhinopithecus_roxellana ENSRROG00000036722
macaca_fascicularis ENSMFAG00000028408
macaca_mulatta ENSMMUG00000047532
theropithecus_gelada ENSTGEG00000008292
pan_paniscus ENSPPAG00000042979
pan_troglodytes ENSPTRG00000047156
nomascus_leucogenys ENSNLEG00000028643
castor_canadensis ENSCCNG00000010022
nannospalax_galili ENSNGAG00000010667
octodon_degus ENSODEG00000018949
cavia_aperea ENSCAPG00000012420
rhinopithecus_roxellana ENSRROG00000040098
rhinopithecus_bieti ENSRBIG00000025242
colobus_angolensis_palliatus ENSCANG00000011188
piliocolobus_tephrosceles ENSPTEG00000032780
piliocolobus_tephrosceles ENSPTEG00000034136
macaca_nemestrina ENSMNEG00000014792
spermophilus_dauricus ENSSDAG00000000846
spermophilus_dauricus ENSSDAG00000024925
mesocricetus_auratus ENSMAUG00000003983
mus_spicilegus ENSMSIG00000025479
fukomys_damarensis ENSFDAG00000006417
cavia_porcellus ENSCPOG00000039570
nannospalax_galili ENSNGAG00000001424
ochotona_princeps ENSOPRG00000015607
rhinopithecus_bieti ENSRBIG00000021931
rhinopithecus_roxellana ENSRROG00000025866
colobus_angolensis_palliatus ENSCANG00000038146
macaca_fascicularis ENSMFAG00000030134
macaca_mulatta ENSMMUG00000032326
chlorocebus_sabaeus ENSCSAG00000000285
mandrillus_leucophaeus ENSMLEG00000006651
cercocebus_atys ENSCATG00000015972
papio_anubis ENSPANG00000004675
rhinopithecus_roxellana ENSRROG00000023801
cebus_capucinus ENSCCAG00000037598
saimiri_boliviensis_boliviensis ENSSBOG00000021691
carlito_syrichta ENSTSYG00000028191
saimiri_boliviensis_boliviensis ENSSBOG00000026970
heterocephalus_glaber_male ENSHGLG00100010623
heterocephalus_glaber_female ENSHGLG00000011732
jaculus_jaculus ENSJJAG00000014013
neovison_vison ENSNVIG00000021988
choloepus_hoffmanni ENSCHOG00000005653
cebus_capucinus ENSCCAG00000037489
