erinaceus_europaeus ENSEEUG00000013127
sorex_araneus ENSSARG00000006813
equus_asinus_asinus ENSEASG00005022328
equus_caballus ENSECAG00000035378
equus_caballus ENSECAG00000038591
vulpes_vulpes ENSVVUG00000029652
canis_lupus_dingo ENSCAFG00020012542
ursus_maritimus ENSUMAG00000024907
ursus_americanus ENSUAMG00000016543
neovison_vison ENSNVIG00000008969
panthera_pardus ENSPPRG00000009665
ovis_aries ENSOARG00000004079
capra_hircus ENSCHIG00000005931
bos_taurus ENSBTAG00000048847
sus_scrofa ENSSSCG00000039995
myotis_lucifugus ENSMLUG00000015834
castor_canadensis ENSCCNG00000002059
spermophilus_dauricus ENSSDAG00000009274
oryctolagus_cuniculus ENSOCUG00000015359
tupaia_belangeri ENSTBEG00000013180
choloepus_hoffmanni ENSCHOG00000007049
dasypus_novemcinctus ENSDNOG00000034448
