gorilla_gorilla ENSGGOG00000042885
nomascus_leucogenys ENSNLEG00000034335
macaca_fascicularis ENSMFAG00000040255
macaca_nemestrina ENSMNEG00000034937
cercocebus_atys ENSCATG00000037262
papio_anubis ENSPANG00000033602
mandrillus_leucophaeus ENSMLEG00000039774
rhinopithecus_bieti ENSRBIG00000040606
rhinopithecus_roxellana ENSRROG00000044564
colobus_angolensis_palliatus ENSCANG00000041981
macaca_mulatta ENSMMUG00000045761
pan_paniscus ENSPPAG00000033726
aotus_nancymaae ENSANAG00000033537
cebus_capucinus ENSCCAG00000025971
propithecus_coquereli ENSPCOG00000017483
spermophilus_dauricus ENSSDAG00000005331
