clupea_harengus ENSCHAG00000021845
denticeps_clupeoides ENSDCDG00000013024
astyanax_mexicanus ENSAMXG00000017635
astyanax_mexicanus ENSAMXG00005004076
pygocentrus_nattereri ENSPNAG00000016437
danio_rerio ENSDARG00000016213
lates_calcarifer ENSLCAG00010013977
lates_calcarifer ENSLCAG00010025836
seriola_dumerili ENSSDUG00000016340
scophthalmus_maximus ENSSMAG00000003577
larimichthys_crocea ENSLCRG00005012945
labrus_bergylta ENSLBEG00000021672
anabas_testudineus ENSATEG00000021544
xiphophorus_maculatus ENSXMAG00000002410
xiphophorus_couchianus ENSXCOG00000011063
gambusia_affinis ENSGAFG00000015590
poecilia_formosa ENSPFOG00000001741
poecilia_latipinna ENSPLAG00000021817
poecilia_mexicana ENSPMEG00000012064
poecilia_reticulata ENSPREG00000006103
fundulus_heteroclitus ENSFHEG00000001448
cyprinodon_variegatus ENSCVAG00000012778
oryzias_melastigma ENSOMEG00000023935
stegastes_partitus ENSSPAG00000022749
maylandia_zebra ENSMZEG00005018666
astatotilapia_calliptera ENSACLG00000020206
pundamilia_nyererei ENSPNYG00000014445
haplochromis_burtoni ENSHBUG00000022311
neolamprologus_brichardi ENSNBRG00000007906
oreochromis_niloticus ENSONIG00000001667
mastacembelus_armatus ENSMAMG00000012893
hucho_hucho ENSHHUG00000044130
lepisosteus_oculatus ENSLOCG00000007096
gallus_gallus ENSGALG00000049767
pogona_vitticeps ENSPVIG00000020300
anolis_carolinensis ENSACAG00000007276
notechis_scutatus ENSNSUG00000015255
salvator_merianae ENSSMRG00000000650
sphenodon_punctatus ENSSPUG00000008431
gopherus_agassizii ENSGAGG00000010483
chelonoidis_abingdonii ENSCABG00000016781
chrysemys_picta ENSCPBG00000019614
pelodiscus_sinensis ENSPSIG00000015292
phascolarctos_cinereus ENSPCIG00000016656
vombatus_ursinus ENSVURG00010024336
sarcophilus_harrisii ENSSHAG00000003735
monodelphis_domestica ENSMODG00000002151
ornithorhynchus_anatinus ENSOANG00000006101
xenopus_tropicalis ENSXETG00000001023
latimeria_chalumnae ENSLACG00000016107
erpetoichthys_calabaricus ENSECRG00000016649
